timestamp_ms,ax,ay,az,gx,gy,gz
0,-3.8722,0.1772,-0.0065,1289.31,-1984.07,515.62
10,-3.8723,0.1943,-0.0238,-1304.44,-827.82,-1500.06
20,-3.8723,0.2092,-0.0286,883.06,953.49,1734.31
30,-3.8723,0.2134,-0.0238,-1210.69,344.12,-1937.56
40,-3.8723,0.2097,-0.0186,-679.44,953.49,-1250.06
50,-3.8723,0.2043,-0.0188,-1148.19,1625.37,-765.69
60,-3.8723,0.2034,-0.0278,-1835.69,1594.12,-765.69
70,-3.8723,0.2097,-0.0380,-1960.69,437.87,-703.19
80,-3.8723,0.2173,-0.0441,-1148.19,-859.01,-640.75
90,-3.8723,0.2238,-0.0537,-179.44,-1640.26,-937.62
100,-3.8723,0.2301,-0.0721,648.68,1125.43,-1781.37
110,-3.8723,0.2350,-0.0950,1461.18,-1233.95,1124.82
120,-3.8723,0.2396,-0.1108,-1913.82,-155.82,609.13
130,-3.8723,0.2421,-0.1085,-1320.07,1812.93,1109.13
140,-3.8723,0.2413,-0.0913,-1007.57,-1890.20,-1390.87
150,-3.8722,0.2422,-0.0670,-1101.32,312.93,1265.44
160,-3.8721,0.2463,-0.0375,-991.94,-577.70,531.07
170,-3.8721,0.2545,-0.0038,-460.69,-796.45,-140.75
180,-3.8719,0.2688,0.0284,586.18,-483.89,-875.06
190,-3.8718,0.2870,0.0530,-1585.69,-358.89,-1890.62
200,-3.8718,0.3027,0.0703,742.43,-1218.20,-265.56
210,-3.8718,0.3154,0.0770,-1241.94,1000.55,-671.75
220,-3.8718,0.3348,0.0674,383.06,1859.99,-1140.50
230,-3.8718,0.3577,0.0494,-1132.57,625.61,-1437.38
240,-3.8718,0.3690,0.0375,1789.31,-1671.20,1968.81
250,-3.8718,0.3635,0.0389,-757.57,797.55,1906.31
260,-3.8718,0.3445,0.0538,-1460.69,985.05,-1218.69
270,-3.8717,0.3230,0.0763,101.81,-1108.70,656.31
280,-3.8717,0.3093,0.0975,1351.81,1766.24,-781.13
290,-3.8716,0.3088,0.1118,-398.19,484.92,1890.81
300,-3.8716,0.3199,0.1173,-460.69,-1686.95,-234.19
310,-3.8715,0.3348,0.1151,961.18,-983.76,593.93
320,-3.8715,0.3469,0.1077,-1132.57,-1265.01,547.06
330,-3.8716,0.3550,0.0974,414.31,1781.92,-312.32
340,-3.8716,0.3599,0.0881,1445.56,469.42,-1109.19
350,-3.8716,0.3572,0.0824,-1929.44,-718.08,-1062.38
360,-3.8716,0.3455,0.0813,1726.81,-1452.45,-93.63
370,-3.8715,0.3293,0.0864,226.81,-1593.08,1312.62
380,-3.8715,0.3153,0.0986,-1835.69,-936.89,-968.63
390,-3.8713,0.3080,0.1215,367.43,625.61,1515.81
400,-3.8712,0.3094,0.1561,-570.07,-452.58,922.06
410,-3.8711,0.3197,0.1938,-382.57,-15.08,1031.49
420,-3.8710,0.3328,0.2229,929.93,813.11,859.74
430,-3.8710,0.3385,0.2356,-1398.19,531.86,-843.32
440,-3.8710,0.3352,0.2273,-663.82,-1843.14,-780.82
450,-3.8710,0.3302,0.2029,-1085.69,1094.36,1187.93
460,-3.8711,0.3295,0.1775,-1726.32,1969.36,-1937.13
470,-3.8712,0.3342,0.1632,-1820.07,-1280.64,-718.44
480,-3.8712,0.3403,0.1658,-1210.69,891.24,-1937.19
490,-3.8712,0.3405,0.1783,-429.44,1219.36,1750.31
500,-3.8712,0.3330,0.1866,-413.82,-1171.26,1187.81
510,-3.8712,0.3221,0.1902,-1366.94,-108.76,719.06
520,-3.8712,0.3104,0.1962,1242.43,344.36,578.49
530,-3.8712,0.3027,0.2054,-257.57,1109.92,375.37
540,-3.8712,0.3016,0.2175,-1241.94,-1702.58,187.87
550,-3.8713,0.3036,0.2321,-1382.57,-155.70,-46.51
560,-3.8713,0.3073,0.2418,-1132.57,1703.67,-702.70
570,-3.8713,0.3124,0.2400,-663.82,-1046.33,-1983.95
580,-3.8713,0.3208,0.2303,-7.57,-1280.70,172.30
590,-3.8715,0.3281,0.2225,1070.56,1484.99,-1796.45
600,-3.8715,0.3278,0.2181,-1991.94,484.99,484.80
610,-3.8716,0.3187,0.2159,1961.18,-77.51,-609.01
620,-3.8716,0.3013,0.2213,804.93,-358.76,-671.51
630,-3.8715,0.2762,0.2365,-1429.44,328.67,219.18
640,-3.8715,0.2490,0.2529,-632.57,-1733.89,1547.30
650,-3.8715,0.2271,0.2589,-116.94,375.43,-1452.64
660,-3.8715,0.2157,0.2572,1070.56,1141.05,-1046.39
670,-3.8715,0.2219,0.2607,-382.57,922.24,-780.76
680,-3.8713,0.2487,0.2734,414.31,1375.43,187.99
690,-3.8713,0.2872,0.2886,-163.82,-999.57,1922.36
700,-3.8713,0.3209,0.2996,773.68,938.05,-296.33
710,-3.8712,0.3390,0.3064,1086.18,-1655.64,1016.17
720,-3.8712,0.3422,0.3160,-601.32,-780.64,1813.05
730,-3.8712,0.3405,0.3326,-195.07,453.74,-1499.39
740,-3.8712,0.3469,0.3567,-413.82,-1421.26,-468.14
750,-3.8711,0.3628,0.3888,414.31,1656.92,891.30
760,-3.8711,0.3816,0.4221,-1554.44,1766.30,-1608.64
770,-3.8711,0.3977,0.4452,851.81,-1968.02,-108.58
780,-3.8710,0.4093,0.4502,-1085.69,985.11,578.98
790,-3.8711,0.4187,0.4387,398.68,1625.79,-436.65
800,-3.8711,0.4290,0.4198,1601.81,157.04,875.85
810,-3.8712,0.4393,0.4045,-1085.69,1735.17,1641.42
820,-3.8713,0.4465,0.3986,242.43,-217.90,-1093.02
830,-3.8713,0.4476,0.3983,1164.31,-983.52,860.11
840,-3.8715,0.4418,0.4032,1304.93,-1014.77,-436.77
850,-3.8715,0.4287,0.4131,554.93,-389.77,-1155.52
