timestamp_ms,ax,ay,az,gx,gy,gz
0,-3.8712,0.3188,0.1942,617.43,1469.36,-999.63
10,-3.8712,0.3071,0.1898,820.56,859.99,-687.13
20,-3.8711,0.2849,0.1855,-679.44,297.42,234.74
30,-3.8711,0.2614,0.1816,476.81,-249.45,1422.18
40,-3.8711,0.2471,0.1788,1461.18,-749.51,-1827.82
50,-3.8711,0.2444,0.1810,-366.94,-1108.95,-1530.94
60,-3.8711,0.2512,0.1924,-710.69,-827.70,-984.07
70,-3.8710,0.2676,0.2096,164.31,625.49,125.37
80,-3.8710,0.2917,0.2239,-1741.94,-1171.39,1437.87
90,-3.8710,0.3175,0.2305,1351.81,656.80,-1608.95
100,-3.8710,0.3348,0.2319,648.68,1500.61,-921.45
110,-3.8710,0.3346,0.2332,-1132.57,1688.11,-171.45
120,-3.8708,0.3213,0.2349,-1163.82,1844.36,562.93
130,-3.8708,0.3080,0.2388,1133.06,-1936.89,969.18
140,-3.8708,0.3057,0.2432,-570.07,-1436.95,625.43
150,-3.8710,0.3185,0.2445,-866.94,-874.45,-280.82
160,-3.8710,0.3372,0.2474,773.68,-702.51,-1249.57
170,-3.8710,0.3453,0.2527,-835.69,-327.51,1859.80
180,-3.8710,0.3335,0.2555,211.18,344.42,1937.99
190,-3.8710,0.3052,0.2549,-1304.44,703.74,-577.64
200,-3.8708,0.2725,0.2500,-929.44,625.55,937.99
210,-3.8708,0.2457,0.2402,-1116.94,0.49,1578.61
220,-3.8708,0.2310,0.2350,-538.82,-1249.57,1187.93
230,-3.8710,0.2286,0.2333,1570.56,-1921.45,-327.70
240,-3.8710,0.2301,0.2290,1273.68,1859.80,1703.55
250,-3.8710,0.2275,0.2280,1461.18,1312.93,219.18
260,-3.8711,0.2181,0.2297,1133.06,1187.93,-1249.57
270,-3.8711,0.1981,0.2280,-70.07,1406.62,969.18
280,-3.8712,0.1677,0.2249,1367.43,1187.87,-249.57
290,-3.8712,0.1338,0.2251,1476.81,781.56,-171.45
300,-3.8711,0.1078,0.2330,1133.06,812.74,1484.80
310,-3.8710,0.0972,0.2476,1804.93,1828.31,94.18
320,-3.8710,0.0995,0.2607,445.56,-312.32,-1499.57
330,-3.8710,0.1036,0.2682,742.43,1375.18,-77.64
340,-3.8708,0.0996,0.2706,1273.68,-1671.69,266.11
350,-3.8710,0.0845,0.2694,758.06,-1359.19,-187.01
360,-3.8710,0.0620,0.2640,-1179.44,-1515.50,-1390.14
370,-3.8710,0.0380,0.2551,-54.44,1796.94,703.61
380,-3.8711,0.0137,0.2411,867.43,656.31,-1515.14
390,-3.8711,-0.0132,0.2253,1758.06,-1140.62,422.30
400,-3.8712,-0.0405,0.2151,-1679.44,859.31,-1358.95
410,-3.8712,-0.0619,0.2108,-1179.44,-453.25,1234.74
420,-3.8712,-0.0742,0.2115,86.18,-1000.12,500.37
430,-3.8712,-0.0747,0.2139,-1491.94,-906.43,125.37
440,-3.8713,-0.0621,0.2102,-1554.44,-609.56,-390.26
450,-3.8713,-0.0417,0.1981,54.93,-1078.25,-1280.88
460,-3.8713,-0.0212,0.1852,-1335.69,1374.88,1531.62
470,-3.8713,-0.0077,0.1787,1289.31,-281.31,390.93
480,-3.8715,-0.0062,0.1750,-976.32,-1109.44,-421.57
490,-3.8715,-0.0156,0.1719,-788.82,-1578.19,-499.69
500,-3.8713,-0.0289,0.1705,-1991.94,-1984.44,15.93
510,-3.8713,-0.0376,0.1691,304.93,1843.69,781.56
520,-3.8713,-0.0383,0.1635,-804.44,1656.13,1594.06
530,-3.8713,-0.0354,0.1527,-898.19,937.38,-1984.07
540,-3.8713,-0.0316,0.1383,-523.19,-437.62,1968.99
550,-3.8713,-0.0275,0.1251,-38.82,1718.63,1640.87
560,-3.8713,-0.0254,0.1158,492.43,31.19,1500.24
570,-3.8713,-0.0267,0.1123,758.06,-1156.31,-1796.69
580,-3.8713,-0.0310,0.1167,586.18,-1609.44,-234.19
590,-3.8712,-0.0342,0.1294,39.31,-1046.94,1937.68
600,-3.8711,-0.0315,0.1472,-366.94,578.00,375.24
610,-3.8711,-0.0199,0.1646,-23.19,-1140.75,-1327.88
620,-3.8710,0.0016,0.1791,1461.18,1078.06,859.68
630,-3.8710,0.0295,0.1884,211.18,-1078.12,-1155.94
640,-3.8708,0.0582,0.1877,-210.69,109.38,172.24
650,-3.8708,0.0826,0.1812,-538.82,31.31,453.49
660,-3.8710,0.0991,0.1766,-1413.82,-812.38,-171.57
670,-3.8710,0.1034,0.1766,695.56,-1390.44,-749.69
680,-3.8710,0.0985,0.1823,1242.43,-1390.44,-421.57
690,-3.8708,0.0944,0.1926,617.43,-671.69,328.43
700,-3.8708,0.0986,0.2053,86.18,656.43,1015.99
