timestamp_ms,ax,ay,az,gx,gy,gz
0,-3.8712,0.1349,-0.0029,789.31,-749.76,-453.19
10,-3.8712,0.1342,0.0024,1273.68,-374.76,-546.94
20,-3.8712,0.1312,0.0076,1179.93,312.74,-734.38
30,-3.8712,0.1292,0.0114,804.93,968.99,-656.25
40,-3.8712,0.1282,0.0131,539.31,1453.37,-484.38
50,-3.8712,0.1290,0.0116,414.31,1672.12,-515.62
60,-3.8712,0.1315,0.0083,523.68,1484.62,-703.12
70,-3.8712,0.1343,0.0044,836.18,1062.74,-765.62
80,-3.8712,0.1357,0.0006,1195.56,562.74,-750.00
90,-3.8712,0.1344,-0.0007,1383.06,78.37,-687.50
100,-3.8712,0.1324,0.0005,1211.18,-93.51,-515.69
110,-3.8712,0.1323,0.0020,961.18,62.74,-515.62
120,-3.8712,0.1322,0.0020,945.56,250.24,-625.00
130,-3.8712,0.1315,0.0016,929.93,250.24,-640.62
140,-3.8712,0.1302,0.0017,836.18,203.37,-609.38
150,-3.8712,0.1276,0.0021,679.93,218.99,-562.50
160,-3.8712,0.1255,0.0028,336.18,265.87,-531.25
170,-3.8712,0.1255,0.0033,70.56,359.62,-578.12
180,-3.8712,0.1249,0.0039,70.56,422.12,-656.25
190,-3.8712,0.1223,0.0056,-7.57,500.18,-687.50
200,-3.8712,0.1211,0.0081,-335.69,718.93,-562.50
210,-3.8712,0.1238,0.0096,-491.94,1031.43,-421.88
220,-3.8712,0.1282,0.0093,-148.19,1234.56,-390.62
230,-3.8712,0.1316,0.0077,414.31,1187.74,-562.50
240,-3.8712,0.1332,0.0051,851.81,984.62,-718.75
250,-3.8712,0.1326,0.0021,1054.93,656.49,-671.88
260,-3.8712,0.1318,-0.0009,976.81,265.87,-656.25
270,-3.8712,0.1317,-0.0029,883.06,-109.13,-671.94
280,-3.8712,0.1322,-0.0026,867.43,-374.76,-687.56
290,-3.8712,0.1328,0.0001,929.93,-327.88,-656.31
300,-3.8712,0.1329,0.0028,1008.06,15.87,-640.62
310,-3.8712,0.1322,0.0039,1023.68,359.62,-718.75
320,-3.8712,0.1305,0.0045,929.93,500.24,-812.50
330,-3.8712,0.1285,0.0057,711.18,578.37,-718.75
340,-3.8712,0.1257,0.0072,461.18,734.62,-515.62
350,-3.8712,0.1230,0.0079,101.81,922.12,-375.00
360,-3.8712,0.1227,0.0074,-241.94,1015.81,-359.38
370,-3.8712,0.1244,0.0060,-288.82,953.31,-468.75
380,-3.8712,0.1259,0.0039,-70.07,765.81,-687.50
390,-3.8712,0.1262,0.0013,117.43,500.24,-859.38
400,-3.8712,0.1262,-0.0004,164.31,172.12,-734.38
410,-3.8712,0.1266,0.0002,164.31,-46.63,-390.69
420,-3.8712,0.1273,0.0024,211.18,31.49,-265.62
430,-3.8712,0.1282,0.0048,304.93,312.74,-359.38
440,-3.8712,0.1283,0.0062,414.31,609.62,-562.50
450,-3.8712,0.1292,0.0055,429.93,797.12,-687.50
460,-3.8712,0.1315,0.0020,539.31,703.37,-671.88
470,-3.8712,0.1355,-0.0017,836.18,250.24,-703.12
480,-3.8712,0.1383,-0.0031,1351.81,-218.51,-796.94
490,-3.8712,0.1378,-0.0017,1711.18,-390.38,-812.56
500,-3.8712,0.1357,0.0023,1648.68,-218.51,-734.44
510,-3.8712,0.1333,0.0067,1383.06,297.12,-640.62
520,-3.8712,0.1309,0.0093,1070.56,859.62,-703.12
530,-3.8712,0.1284,0.0096,758.06,1187.74,-750.00
540,-3.8712,0.1256,0.0079,445.56,1234.62,-734.38
550,-3.8712,0.1240,0.0046,86.18,1015.87,-687.50
560,-3.8712,0.1246,0.0009,-116.94,593.93,-531.25
570,-3.8712,0.1261,-0.0011,-38.82,109.56,-359.38
580,-3.8712,0.1274,-0.0015,148.68,-140.38,-328.19
590,-3.8712,0.1279,-0.0004,320.56,-187.26,-375.06
600,-3.8712,0.1279,0.0023,383.06,-46.63,-546.94
610,-3.8712,0.1277,0.0050,383.06,297.12,-781.25
620,-3.8712,0.1274,0.0065,351.81,640.87,-750.00
630,-3.8712,0.1287,0.0065,320.56,828.37,-578.12
640,-3.8712,0.1306,0.0055,476.81,828.37,-546.88
650,-3.8712,0.1313,0.0043,726.81,703.37,-671.88
660,-3.8712,0.1331,0.0027,820.56,547.12,-718.75
670,-3.8712,0.1364,0.0018,1039.31,343.99,-750.00
680,-3.8712,0.1383,0.0029,1461.18,234.62,-750.00
690,-3.8712,0.1365,0.0044,1711.18,375.24,-703.12
700,-3.8712,0.1312,0.0052,1476.81,562.74,-703.12
710,-3.8712,0.1270,0.0046,804.93,672.12,-796.88
720,-3.8712,0.1248,0.0031,258.06,593.99,-765.62
730,-3.8712,0.1224,0.0018,-23.19,390.81,-593.75
740,-3.8712,0.1204,0.0021,-320.07,234.56,-500.00
750,-3.8712,0.1200,0.0031,-585.69,265.81,-437.50
760,-3.8712,0.1208,0.0038,-632.57,390.81,-375.00
770,-3.8712,0.1229,0.0040,-523.19,484.56,-437.50
780,-3.8712,0.1257,0.0026,-257.57,515.81,-609.38
790,-3.8712,0.1284,0.0002,101.81,328.37,-796.88
800,-3.8712,0.1298,-0.0015,445.56,31.49,-890.62
810,-3.8712,0.1282,-0.0015,617.43,-187.26,-718.81
820,-3.8712,0.1261,0.0005,414.31,-187.26,-390.69
830,-3.8712,0.1268,0.0037,148.68,62.74,-156.25
840,-3.8712,0.1290,0.0062,242.43,468.99,-234.38
850,-3.8712,0.1310,0.0071,523.68,797.12,-578.12
860,-3.8712,0.1318,0.0067,773.68,906.49,-859.38
870,-3.8712,0.1315,0.0054,883.06,859.62,-890.62
880,-3.8712,0.1300,0.0027,836.18,687.74,-718.75
