timestamp_ms,ax,ay,az,gx,gy,gz
0,-3.8741,1.6761,-0.9683,-913.82,-1371.83,248.11
10,-3.8739,1.6887,-0.9703,-1445.07,65.73,-626.89
20,-3.8735,1.6620,-0.9540,164.31,-199.83,-220.70
30,-3.8732,1.6075,-0.9253,742.43,1893.86,1669.98
40,-3.8729,1.5591,-0.8994,1773.68,1565.61,779.42
50,-3.8728,1.5417,-0.8961,-429.44,877.99,-17.40
60,-3.8724,1.5530,-0.9211,1351.81,1299.87,1482.60
70,-3.8721,1.5792,-0.9703,-1210.69,-1903.26,-1986.21
80,-3.8716,1.6226,-1.0359,-1851.32,-200.07,1294.92
90,-3.8711,1.6812,-1.1147,-304.44,-590.64,-1564.58
100,-3.8706,1.7278,-1.2053,-804.44,1315.73,-517.82
110,-3.8701,1.7217,-1.2974,1164.31,1722.11,1841.37
120,-3.8699,1.6354,-1.3553,383.06,1940.86,-533.81
130,-3.8698,1.4725,-1.3419,1336.18,-1481.20,-362.06
140,-3.8696,1.2642,-1.2750,492.43,237.24,13.00
150,-3.8696,1.0559,-1.2119,1820.56,799.32,403.75
160,-3.8695,0.8889,-1.1929,-835.69,877.01,1903.87
170,-3.8690,0.7850,-1.2231,1789.31,-685.79,747.62
180,-3.8683,0.7462,-1.3019,492.43,-560.97,1341.31
190,-3.8674,0.7496,-1.4369,-476.32,1360.78,-1190.06
200,-3.8666,0.7534,-1.5991,-38.82,79.53,872.19
210,-3.8661,0.7334,-1.7236,445.56,-686.04,528.08
220,-3.8661,0.6891,-1.7842,1883.06,-623.60,-1081.54
230,-3.8665,0.6161,-1.7947,211.18,-373.66,-347.29
240,-3.8671,0.5052,-1.7637,-1132.57,-1717.59,699.58
250,-3.8680,0.3582,-1.6967,679.93,-1749.02,-612.85
260,-3.8689,0.1949,-1.6135,1851.81,-1171.20,-1815.86
270,-3.8696,0.0372,-1.5391,961.18,1469.12,1606.20
280,-3.8702,-0.0997,-1.4805,773.68,-999.94,-1346.80
290,-3.8706,-0.2063,-1.4287,-757.57,-1484.62,75.20
300,-3.8710,-0.2855,-1.3978,1601.81,1140.20,309.69
310,-3.8713,-0.3441,-1.3992,-538.82,1093.14,1747.25
320,-3.8717,-0.3837,-1.4033,-38.82,921.14,-893.37
330,-3.8721,-0.4094,-1.3851,-1101.32,389.83,-455.87
340,-3.8724,-0.4360,-1.3390,-398.19,-1282.10,-1518.37
350,-3.8729,-0.4771,-1.2664,195.56,624.15,-127.62
360,-3.8734,-0.5255,-1.1721,-1054.44,1920.90,-424.38
370,-3.8739,-0.5662,-1.0574,742.43,1983.34,-1752.32
380,-3.8744,-0.5955,-0.9285,-460.69,670.72,1904.17
390,-3.8749,-0.6147,-0.7992,-210.69,1170.65,-236.21
400,-3.8440,-0.6285,-0.6929,1320.56,1717.53,-532.84
410,-3.8442,-0.6343,-0.6301,-445.07,-673.16,1264.22
