timestamp_ms,ax,ay,az,gx,gy,gz
0,-3.8717,-0.2153,-0.7643,-1679.44,-359.92,-1923.77
10,-3.8723,-0.1577,-0.6294,445.56,-1812.93,-1267.15
20,-3.8727,-0.1547,-0.5745,-179.44,-547.24,1967.47
30,-3.8728,-0.2112,-0.5721,211.18,-1515.93,-1923.03
40,-3.8728,-0.2810,-0.5729,976.81,-1219.18,-1454.28
50,-3.8728,-0.3245,-0.5601,39.31,-1313.05,1842.59
60,-3.8729,-0.3397,-0.5587,-1523.19,327.45,-1797.97
70,-3.8730,-0.3484,-0.5917,523.68,499.33,1686.40
80,-3.8732,-0.3643,-0.6493,-585.69,280.52,-1641.78
90,-3.8733,-0.3806,-0.7013,1383.06,905.52,-188.78
100,-3.8733,-0.3893,-0.7299,-710.69,-1750.79,795.47
110,-3.8734,-0.3945,-0.7432,-1820.07,-1407.04,1139.16
120,-3.8735,-0.4036,-0.7545,1508.06,889.83,-1673.34
130,-3.8735,-0.4130,-0.7629,351.81,-563.29,1217.22
140,-3.8735,-0.4136,-0.7593,-851.32,-1641.48,779.72
150,-3.8737,-0.4044,-0.7399,-929.44,-1172.73,-485.90
160,-3.8737,-0.3929,-0.7073,242.43,1311.71,982.91
170,-3.8738,-0.3916,-0.6735,1711.18,1483.58,-1626.40
180,-3.8738,-0.4165,-0.6556,1883.06,1811.71,1670.53
190,-3.8737,-0.4712,-0.6527,-1304.44,92.90,311.22
200,-3.8735,-0.5402,-0.6558,-304.44,467.77,1936.22
210,-3.8733,-0.5922,-0.6624,-1132.57,77.03,951.84
220,-3.8732,-0.6075,-0.6603,211.18,-766.78,-63.84
230,-3.8729,-0.5923,-0.6311,-1757.57,-501.22,904.91
240,-3.8729,-0.5557,-0.5696,195.56,-766.78,-1673.16
250,-3.8729,-0.5027,-0.4867,883.06,-891.72,1905.09
260,-3.8728,-0.4525,-0.4065,-335.69,1717.71,1061.52
270,-3.8726,-0.4250,-0.3600,-1913.82,-16.54,-688.35
280,-3.8721,-0.4208,-0.3591,1601.81,1936.65,-828.86
290,-3.8715,-0.4280,-0.3773,-1851.32,-1953.98,-1891.36
300,-3.8710,-0.4393,-0.3701,1226.81,-282.10,-547.67
310,-3.8706,-0.4730,-0.3292,-226.32,639.71,905.52
320,-3.8706,-0.5485,-0.2687,-538.82,1874.02,1889.95
