timestamp_ms,ax,ay,az,gx,gy,gz
0,-3.8723,-1.0803,-0.5741,-1195.07,-127.14,-297.97
10,-3.8722,-1.1077,-0.6157,1726.81,-1470.89,1155.09
20,-3.8722,-1.1528,-0.6111,-1773.19,1200.93,-1798.10
30,-3.8723,-1.2169,-0.5551,445.56,1794.62,-329.35
40,-3.8724,-1.3075,-0.4834,242.43,966.37,1686.40
50,-3.8727,-1.4110,-0.4091,648.68,-1861.94,-1516.60
60,-3.8729,-1.4894,-0.3083,-601.32,-346.56,-828.98
70,-3.8732,-1.5204,-0.1824,1367.43,543.95,-94.36
80,-3.8733,-1.5088,-0.0686,1398.68,668.88,999.63
90,-3.8735,-1.4700,-0.0026,-1116.94,-768.62,-703.31
100,-3.8735,-1.4127,0.0061,-148.19,-315.43,578.06
110,-3.8735,-1.3409,-0.0272,-820.07,794.07,1750.00
120,-3.8734,-1.2681,-0.0718,367.43,528.63,1734.31
130,-3.8733,-1.2136,-0.1007,1695.56,-1174.38,-1640.81
140,-3.8732,-1.1936,-0.1071,664.31,-877.38,1374.76
150,-3.8732,-1.2081,-0.1045,-773.19,-1689.88,1546.63
160,-3.8732,-1.2343,-0.1018,1367.43,-1361.76,249.76
170,-3.8733,-1.2450,-0.0945,-1976.32,-1018.07,-593.99
180,-3.8733,-1.2349,-0.0857,648.68,-80.57,-953.37
190,-3.8733,-1.2145,-0.0865,1945.56,1044.43,-1562.68
200,-3.8733,-1.1951,-0.1111,554.93,935.12,1968.57
210,-3.8733,-1.1844,-0.1665,-960.69,1794.49,-1343.99
220,-3.8732,-1.1898,-0.2421,398.68,-1299.19,718.38
230,-3.8732,-1.2112,-0.3055,-288.82,1028.87,-500.49
240,-3.8730,-1.2269,-0.3318,976.81,903.87,-1609.99
250,-3.8729,-1.2178,-0.3335,-1038.82,1544.43,1280.58
260,-3.8728,-1.1853,-0.3438,133.06,1325.74,546.20
270,-3.8727,-1.1360,-0.3833,289.31,13.31,624.33
280,-3.8726,-1.0750,-0.4517,-1398.19,-1049.13,1139.83
290,-3.8724,-1.0156,-0.5419,-1585.69,-1799.01,1389.71
300,-3.8723,-0.9650,-0.6409,-1991.94,-1345.76,-1876.10
310,-3.8722,-0.9221,-0.7269,492.43,1982.48,-32.53
320,-3.8719,-0.8868,-0.7896,1976.81,-1033.08,-1626.46
330,-3.8717,-0.8530,-0.8362,-1507.57,-1048.65,1170.29
340,-3.8716,-0.8142,-0.8763,-1179.44,982.67,-423.52
350,-3.8713,-0.7712,-0.9149,-210.69,-157.90,1029.48
360,-3.8712,-0.7269,-0.9454,1289.31,-1095.28,1170.04
370,-3.8712,-0.6886,-0.9528,-1038.82,-1001.46,-689.39
380,-3.8711,-0.6658,-0.9503,-132.57,-1938.90,638.73
390,-3.8711,-0.6566,-0.9774,-1210.69,-1626.34,-17.52
400,-3.8708,-0.6494,-1.0344,-38.82,-1095.09,1701.17
410,-3.8707,-0.6318,-1.0686,883.06,-391.91,-1595.83
420,-3.8707,-0.6080,-1.0426,-866.94,-766.91,-1220.89
430,-3.8708,-0.6069,-0.9825,-1820.07,-1438.72,-1205.20
440,-3.8710,-0.6438,-0.9272,-1679.44,-1751.22,435.55
450,-3.8712,-0.6864,-0.8950,1601.81,1326.84,-783.08
460,-3.8712,-0.6935,-0.9141,148.68,1451.78,-626.77
470,-3.8710,-0.6626,-1.0018,-757.57,-985.78,1279.42
480,-3.8707,-0.6079,-1.1251,-804.44,-220.09,1310.49
490,-3.8706,-0.5304,-1.2244,-1804.44,-1.22,-236.63
500,-3.8705,-0.4272,-1.2587,117.43,-704.16,1450.68
510,-3.8706,-0.3062,-1.2188,1320.56,-1094.60,-1955.63
520,-3.8707,-0.1758,-1.1353,820.56,15.01,1169.49
530,-3.8708,-0.0298,-1.0697,1508.06,-1297.24,-471.01
540,-3.8707,0.1376,-1.0632,195.56,-906.31,-736.51
550,-3.8705,0.3130,-1.1075,1617.43,-93.51,-1595.89
560,-3.8702,0.4769,-1.1676,70.56,-1765.01,-1970.95
570,-3.8701,0.6158,-1.1918,1054.93,-1452.21,-17.94
580,-3.8700,0.7253,-1.1392,-1163.82,-545.72,-1455.51
590,-3.8700,0.8141,-1.0090,851.81,-1811.10,1122.74
600,-3.8701,0.9100,-0.8302,211.18,-1154.66,591.74
