timestamp_ms,ax,ay,az,gx,gy,gz
0,-3.8715,-0.1328,-0.3702,-695.07,1405.94,-1250.73
10,-3.8715,-0.1345,-0.3671,-991.94,624.69,-1125.73
20,-3.8715,-0.1356,-0.3595,-1210.69,1030.94,-1531.98
30,-3.8715,-0.1370,-0.3529,-1351.32,1999.69,1686.77
40,-3.8715,-0.1389,-0.3485,-1523.19,-1156.56,827.39
50,-3.8715,-0.1429,-0.3450,-1773.19,-594.06,61.77
60,-3.8716,-0.1465,-0.3427,1711.18,-140.93,-469.48
70,-3.8716,-0.1451,-0.3447,1258.06,155.94,-641.30
80,-3.8716,-0.1381,-0.3488,1429.93,-109.68,-453.86
90,-3.8715,-0.1279,-0.3495,-1663.82,-625.31,46.14
100,-3.8715,-0.1272,-0.3414,617.43,31.01,14.95
110,-3.8716,-0.1350,-0.3402,-273.19,312.19,-188.17
120,-3.8716,-0.1405,-0.3433,-1273.19,468.44,-63.17
130,-3.8715,-0.1410,-0.3502,-1976.32,77.82,249.33
140,-3.8715,-0.1364,-0.3573,1961.18,-812.81,671.14
150,-3.8715,-0.1306,-0.3604,-1445.07,-1719.06,1108.64
160,-3.8715,-0.1277,-0.3594,-710.69,1890.32,1311.77
170,-3.8715,-0.1285,-0.3567,-335.69,-1984.68,1218.02
180,-3.8715,-0.1317,-0.3530,-445.07,-1640.93,1014.89
190,-3.8715,-0.1353,-0.3521,-851.32,-1172.18,1155.52
200,-3.8715,-0.1377,-0.3593,-1304.44,-1047.18,1921.14
210,-3.8715,-0.1394,-0.3699,-1616.94,-1969.06,-844.48
220,-3.8713,-0.1418,-0.3752,-1835.69,671.57,186.77
230,-3.8713,-0.1472,-0.3729,1851.81,-15.93,327.33
240,-3.8715,-0.1552,-0.3660,1164.31,280.94,-266.36
250,-3.8715,-0.1617,-0.3574,148.68,1171.57,-1078.86
260,-3.8715,-0.1655,-0.3470,-695.07,-1734.74,1905.52
270,-3.8715,-0.1663,-0.3376,-1179.44,-406.62,702.39
280,-3.8716,-0.1638,-0.3330,-1273.19,796.51,-235.05
290,-3.8716,-0.1589,-0.3354,-960.69,1390.26,-453.80
300,-3.8716,-0.1550,-0.3423,-335.69,1077.76,-47.55
310,-3.8715,-0.1549,-0.3468,164.31,202.82,702.45
320,-3.8715,-0.1582,-0.3462,179.93,-375.31,1374.27
330,-3.8715,-0.1646,-0.3428,-241.94,-297.24,1577.39
340,-3.8715,-0.1724,-0.3394,-1054.44,140.26,1249.33
350,-3.8715,-0.1797,-0.3363,1945.56,577.76,577.45
360,-3.8715,-0.1862,-0.3347,1008.06,968.38,186.83
370,-3.8715,-0.1888,-0.3342,179.93,1171.51,280.58
380,-3.8715,-0.1569,-0.3577,-1351.32,-422.24,-1516.36
390,-3.8715,-0.1482,-0.3649,-70.07,-1765.99,-203.86
400,-3.8713,-0.1449,-0.3688,1039.31,1312.19,811.77
410,-3.8713,-0.1501,-0.3718,1461.18,812.19,1218.02
420,-3.8713,-0.1624,-0.3745,789.31,421.57,1124.27
430,-3.8713,-0.1749,-0.3754,-773.19,77.76,905.52
440,-3.8713,-0.1810,-0.3737,1617.43,-31.62,702.33
450,-3.8713,-0.1794,-0.3704,836.18,187.13,389.89
460,-3.8715,-0.1752,-0.3660,1039.31,609.01,-281.98
470,-3.8715,-0.1727,-0.3602,1586.18,1171.51,-1297.61
480,-3.8715,-0.1741,-0.3547,1898.68,1905.88,1671.14
490,-3.8715,-0.1779,-0.3506,1726.81,-1390.99,874.27
500,-3.8715,-0.1826,-0.3488,1242.43,-859.74,358.64
510,-3.8715,-0.1866,-0.3495,633.06,-625.37,249.27
520,-3.8715,-0.1869,-0.3492,117.43,-719.12,514.89
530,-3.8715,-0.1815,-0.3450,86.18,-687.87,608.64
540,-3.8715,-0.1737,-0.3400,773.68,-140.99,218.02
550,-3.8716,-0.1685,-0.3403,1773.68,499.63,-156.92
560,-3.8715,-0.1682,-0.3477,-1554.44,452.76,139.95
570,-3.8715,-0.1700,-0.3549,-1523.19,-484.74,1202.39
580,-3.8715,-0.1680,-0.3552,-1757.57,-1406.62,-1641.36
590,-3.8715,-0.1616,-0.3514,-1491.94,-1453.49,-1094.48
600,-3.8715,-0.1555,-0.3505,-679.44,-969.12,-1063.23
610,-3.8715,-0.1530,-0.3536,101.81,-844.06,-1016.36
620,-3.8715,-0.1509,-0.3556,429.93,-1250.31,-813.23
630,-3.8715,-0.1475,-0.3567,695.56,-1500.31,-750.73
640,-3.8715,-0.1484,-0.3636,1133.06,-1640.93,-813.23
650,-3.8715,-0.1598,-0.3751,1008.06,1468.44,-469.48
660,-3.8713,-0.1760,-0.3624,929.93,46.51,358.64
670,-3.8715,-0.1697,-0.3563,1476.81,1624.63,-891.36
680,-3.8715,-0.1689,-0.3613,-1710.69,-1594.12,-1703.86
690,-3.8715,-0.1718,-0.3669,-1616.94,1765.26,-1485.11
700,-3.8715,-0.1725,-0.3617,-1976.32,1046.51,-1235.11
710,-3.8715,-0.1689,-0.3463,1929.93,1718.38,1952.39
720,-3.8715,-0.1632,-0.3344,-1616.94,-312.87,233.64
730,-3.8716,-0.1633,-0.3383,-882.57,1218.38,-1125.67
740,-3.8716,-0.1708,-0.3517,-898.19,718.38,-1000.67
750,-3.8715,-0.1772,-0.3619,-1851.32,-1000.37,421.14
760,-3.8715,-0.1780,-0.3641,1320.56,1687.13,1827.39
770,-3.8715,-0.1744,-0.3599,1226.81,1405.88,-1719.48
780,-3.8715,-0.1692,-0.3549,1679.93,1952.76,1858.64
790,-3.8715,-0.1628,-0.3531,-1648.19,-1406.62,1311.77
800,-3.8715,-0.1570,-0.3530,-835.69,-1187.87,1108.64
810,-3.8715,-0.1544,-0.3505,-85.69,-1172.24,968.02
820,-3.8715,-0.1566,-0.3456,242.43,-844.06,546.14
830,-3.8715,-0.1616,-0.3439,-38.82,-219.12,93.02
840,-3.8715,-0.1655,-0.3475,-679.44,-0.37,108.64
850,-3.8715,-0.1676,-0.3541,-1179.44,-469.12,749.27
860,-3.8715,-0.1691,-0.3591,-1445.07,-1312.87,1530.52
870,-3.8715,-0.1696,-0.3594,-1632.57,-1953.49,1889.89
880,-3.8715,-0.1735,-0.3602,-1695.07,-1984.74,1733.64
890,-3.8715,-0.1826,-0.3625,1804.93,1905.88,1374.27
900,-3.8715,-0.1914,-0.3602,633.06,1609.01,1124.27
910,-3.8715,-0.1949,-0.3500,-491.94,1905.82,546.14
920,-3.8716,-0.1910,-0.3375,-945.07,-781.68,-469.48
930,-3.8716,-0.1833,-0.3353,-445.07,812.07,-1344.42
940,-3.8715,-0.1674,-0.3669,1836.18,1562.13,-1469.48
950,-3.8715,-0.1609,-0.3582,-1413.82,1046.51,-703.86
960,-3.8715,-0.1556,-0.3461,-585.69,-1828.49,-1250.73
970,-3.8715,-0.1538,-0.3411,86.18,-281.56,1874.27
980,-3.8715,-0.1547,-0.3446,320.56,359.07,1499.33
990,-3.8715,-0.1571,-0.3494,211.18,-94.06,1483.64
1000,-3.8715,-0.1602,-0.3496,-101.32,-703.49,1405.52
1010,-3.8715,-0.1639,-0.3491,-491.94,-734.74,983.64
1020,-3.8715,-0.1688,-0.3536,-976.32,-672.24,639.89
1030,-3.8715,-0.1733,-0.3650,-1601.32,-1250.37,1202.39
1040,-3.8715,-0.1749,-0.3766,1820.56,1296.51,-1500.73
1050,-3.8715,-0.1730,-0.3802,1617.43,-187.87,-328.92
1060,-3.8713,-0.1703,-0.3757,1867.43,-656.62,14.83
1070,-3.8715,-0.1694,-0.3683,-1788.82,-78.49,-391.42
1080,-3.8715,-0.1711,-0.3607,-1679.44,874.63,-1047.61
1090,-3.8715,-0.1733,-0.3534,-1898.19,1843.38,-1781.98
1100,-3.8715,-0.1741,-0.3485,1820.56,-1219.12,1436.77
1110,-3.8715,-0.1741,-0.3481,1726.81,-594.12,718.02
1120,-3.8715,-0.1738,-0.3528,1726.81,-547.24,499.27
1130,-3.8715,-0.1720,-0.3602,1758.06,-1140.99,1030.52
1140,-3.8715,-0.1708,-0.3672,1992.43,1905.88,-1985.11
1150,-3.8715,-0.1722,-0.3730,-1851.32,1015.26,-1203.86
1160,-3.8715,-0.1759,-0.3779,1961.18,265.26,-672.61
1170,-3.8715,-0.1777,-0.3783,1492.43,-359.74,-375.79
1180,-3.8715,-0.1765,-0.3713,1258.06,-406.62,-657.04
1190,-3.8715,-0.1747,-0.3600,1414.31,484.01,-1625.73
1200,-3.8715,-0.1725,-0.3503,1648.68,1937.13,1046.14
1210,-3.8715,-0.1689,-0.3459,1929.93,-828.49,139.89
1220,-3.8715,-0.1741,-0.3597,-1585.69,-1359.74,1311.77
1230,-3.8715,-0.1775,-0.3619,1726.81,1968.38,1874.27
1240,-3.8715,-0.1781,-0.3606,1289.31,1687.13,1968.02
1250,-3.8715,-0.1757,-0.3569,1211.18,1859.01,1702.39
1260,-3.8715,-0.1722,-0.3533,1523.68,-1672.24,1374.27
1270,-3.8715,-0.1700,-0.3523,1961.18,-1203.49,1077.39
1280,-3.8715,-0.1693,-0.3538,-1757.57,-1078.49,858.64
1290,-3.8715,-0.1705,-0.3540,-1663.82,-1265.99,671.14
1300,-3.8715,-0.1731,-0.3510,-1820.07,-1297.24,343.02
1310,-3.8716,-0.1758,-0.3457,1851.81,-906.62,-172.61
1320,-3.8716,-0.1788,-0.3420,1508.06,-234.74,-547.61
1330,-3.8716,-0.1803,-0.3440,1117.43,234.01,-453.80
1340,-3.8715,-0.1771,-0.3486,929.93,-15.99,77.39
1350,-3.8715,-0.1710,-0.3527,1336.18,-609.74,780.52
1360,-3.8715,-0.1667,-0.3562,-1882.57,-1125.37,1452.39
1370,-3.8715,-0.1663,-0.3600,-1335.69,-1578.49,-1969.48
1380,-3.8715,-0.1675,-0.3643,-1273.19,1937.13,-1360.11
1390,-3.8715,-0.1687,-0.3693,-1429.44,1390.26,-735.11
1400,-3.8715,-0.1716,-0.3735,-1585.69,749.63,-266.36
1410,-3.8715,-0.1765,-0.3737,-1960.69,202.76,-188.23
1420,-3.8715,-0.1796,-0.3696,1414.31,187.13,-438.23
1430,-3.8715,-0.1785,-0.3645,1023.68,702.76,-906.98
1440,-3.8715,-0.1738,-0.3613,1164.31,1359.01,-1360.11
1450,-3.8715,-0.1682,-0.3605,1758.06,1765.26,-1578.86
1460,-3.8715,-0.1635,-0.3606,-1523.19,1874.63,-1547.61
1470,-3.8715,-0.1613,-0.3599,-913.82,1859.01,-1391.36
1480,-3.8715,-0.1633,-0.3568,-632.57,1952.76,-1516.36
1490,-3.8715,-0.1763,-0.3566,1117.43,-1265.99,874.27
1500,-3.8715,-0.1694,-0.3588,1445.56,-1625.37,1296.14
1510,-3.8715,-0.1630,-0.3586,-1679.44,-1906.62,1671.14
1520,-3.8715,-0.1592,-0.3556,-851.32,-1890.99,1718.02
1530,-3.8715,-0.1577,-0.3514,-366.94,-1500.37,1405.52
1540,-3.8715,-0.1553,-0.3495,-179.44,-969.12,1124.27
1550,-3.8715,-0.1511,-0.3502,133.06,-719.06,1046.14
1560,-3.8715,-0.1481,-0.3523,664.31,-812.81,1046.14
1570,-3.8715,-0.1487,-0.3547,1054.93,-1078.43,1186.77
1580,-3.8715,-0.1542,-0.3586,976.81,-1390.93,1436.77
1590,-3.8715,-0.1620,-0.3632,273.68,-1890.93,1733.64
1600,-3.8715,-0.1675,-0.3651,-726.32,1530.88,-1953.86
1610,-3.8715,-0.1674,-0.3646,-1429.44,1280.88,-1594.48
1620,-3.8715,-0.1630,-0.3628,-1413.82,1343.38,-1297.61
1630,-3.8715,-0.1573,-0.3584,-851.32,1577.76,-1422.61
1640,-3.8715,-0.1530,-0.3499,-132.57,-1859.74,1921.14
1650,-3.8715,-0.1506,-0.3409,429.93,-765.93,983.64
1660,-3.8715,-0.1523,-0.3390,726.81,374.69,124.33
1670,-3.8716,-0.1567,-0.3448,508.06,624.69,-78.80
1680,-3.8715,-0.1604,-0.3512,-54.44,-125.37,343.02
1690,-3.8715,-0.1602,-0.3529,-523.19,-937.87,843.02
1700,-3.8715,-0.1586,-0.3553,-491.94,-1156.62,1139.89
1710,-3.8715,-0.1617,-0.3627,-288.82,-1469.12,1546.14
1720,-3.8715,-0.1675,-0.3687,-695.07,1593.38,-1485.11
1730,-3.8715,-0.1697,-0.3657,-1429.44,827.76,-641.36
1740,-3.8715,-0.1665,-0.3553,-1710.69,1202.76,-938.23
1750,-3.8715,-0.1609,-0.3461,-1304.44,-1469.12,1952.39
1760,-3.8715,-0.1577,-0.3550,54.93,-1031.56,1764.89
1770,-3.8715,-0.1593,-0.3558,-179.44,-1422.24,-1844.48
1780,-3.8715,-0.1615,-0.3564,-382.57,-1531.62,-1906.98
1790,-3.8715,-0.1649,-0.3579,-663.82,-1609.74,1686.77
1800,-3.8715,-0.1674,-0.3602,-1101.32,-1797.24,1436.77
1810,-3.8715,-0.1672,-0.3611,-1413.82,1905.88,1374.27
1820,-3.8715,-0.1655,-0.3601,-1398.19,1796.51,1296.14
1830,-3.8715,-0.1643,-0.3585,-1179.44,1921.51,1077.39
1840,-3.8715,-0.1614,-0.3574,-1023.19,-1875.37,905.52
1850,-3.8715,-0.1572,-0.3573,-648.19,-1734.74,983.64
1860,-3.8715,-0.1545,-0.3577,-116.94,-1719.12,1264.89
1870,-3.8715,-0.1527,-0.3568,226.81,-1765.93,1530.52
1880,-3.8715,-0.1520,-0.3540,461.18,-1656.56,1530.52
1890,-3.8715,-0.1533,-0.3513,554.93,-1297.18,1311.77
1900,-3.8715,-0.1556,-0.3499,383.06,-953.43,1077.39
1910,-3.8715,-0.1593,-0.3502,86.18,-765.93,952.39
1920,-3.8715,-0.1653,-0.3531,-382.57,-812.87,1061.77
