timestamp_ms,ax,ay,az,gx,gy,gz
0,-3.8732,-0.7765,-0.8568,1711.18,-1032.59,1138.98
10,-3.8728,-0.9070,-0.7990,617.43,-1657.78,-1314.21
20,-3.8723,-1.0304,-0.7118,-85.69,1748.17,982.79
30,-3.8721,-1.1110,-0.6804,117.43,904.24,998.60
40,-3.8719,-1.1353,-0.7332,1804.93,919.68,-1798.22
50,-3.8717,-1.1099,-0.8473,-1304.44,-1830.38,607.91
60,-3.8715,-1.0602,-0.9596,1945.56,-439.70,1217.04
70,-3.8710,-1.0078,-1.0034,304.93,1185.42,1326.23
80,-3.8704,-0.9601,-1.0018,-991.94,-423.89,-1127.01
90,-3.8699,-0.9099,-1.0139,1117.43,-220.64,-1908.26
100,-3.8696,-0.8446,-1.0441,-460.69,-1767.46,451.11
110,-3.8695,-0.7664,-1.0859,-101.32,-1626.71,279.17
120,-3.8695,-0.6953,-1.1566,1914.31,1014.10,-439.64
130,-3.8695,-0.6481,-1.2507,-991.94,-32.65,-189.82
140,-3.8695,-0.6196,-1.3342,1054.93,-79.41,638.12
150,-3.8696,-0.5978,-1.3787,695.56,1233.15,841.13
160,-3.8696,-0.5677,-1.3765,-507.57,-454.35,481.63
170,-3.8696,-0.5227,-1.3422,-663.82,-173.03,-409.00
180,-3.8694,-0.4569,-1.2852,1101.81,217.71,263.00
190,-3.8694,-0.3575,-1.2278,1523.68,-485.29,-783.81
200,-3.8695,-0.2295,-1.2037,-1757.57,-1141.36,-299.32
210,-3.8698,-0.1075,-1.2030,-1366.94,1937.01,-236.76
220,-3.8699,-0.0098,-1.1935,-1757.57,-1968.99,-658.63
230,-3.8699,0.0717,-1.1691,-1241.94,-750.06,-1158.63
240,-3.8700,0.1354,-1.1399,1179.93,-1640.50,-596.07
250,-3.8702,0.1877,-1.1086,1336.18,-1906.01,-1861.63
260,-3.8706,0.2440,-1.0737,39.31,-1905.88,482.18
270,-3.8711,0.3154,-1.0200,-757.57,-1437.07,1544.74
280,-3.8715,0.3884,-0.9404,383.06,1438.11,1435.49
290,-3.8717,0.4427,-0.8638,1726.81,-374.27,-1501.89
300,-3.8718,0.4954,-0.8105,679.93,1438.35,482.67
310,-3.8722,0.5558,-0.7800,-585.69,250.92,-720.34
320,-3.8724,0.6218,-0.7721,-851.32,157.29,545.35
330,-3.8728,0.6958,-0.7853,-398.19,1173.03,435.97
340,-3.8733,0.7531,-0.8069,1070.56,-514.28,-329.71
350,-3.8735,0.7777,-0.8121,398.68,720.21,-1985.96
360,-3.8738,0.7762,-0.7889,-445.07,48.34,-157.84
