timestamp_ms,ax,ay,az,gx,gy,gz
0,-3.8721,0.4891,-0.2153,-226.32,-968.02,1468.32
10,-3.8719,0.5862,-0.2405,-1382.57,438.42,-234.80
20,-3.8717,0.6959,-0.2533,-960.69,1219.85,-625.49
30,-3.8715,0.8044,-0.2559,1086.18,-420.53,1280.70
40,-3.8715,0.8998,-0.2655,-1023.19,-748.47,-484.92
50,-3.8715,0.9858,-0.2727,-820.07,-1982.67,-375.55
60,-3.8713,1.0674,-0.2628,-1804.44,1095.64,1640.08
70,-3.8712,1.1421,-0.2433,633.06,-1638.55,-1250.55
80,-3.8710,1.2147,-0.2164,-1804.44,861.57,624.51
90,-3.8708,1.2843,-0.1875,-507.57,299.19,1233.95
100,-3.8707,1.3356,-0.1694,398.68,2.50,1140.26
110,-3.8706,1.3601,-0.1644,-1038.82,-1684.94,1452.76
120,-3.8705,1.3680,-0.1622,-1898.19,-1044.25,1765.26
130,-3.8704,1.3654,-0.1650,-882.57,-763.00,1390.26
140,-3.8702,1.3494,-0.1737,-1226.32,-1122.38,249.63
150,-3.8702,1.3115,-0.1826,726.81,1768.25,1343.38
160,-3.8704,1.2538,-0.1777,-116.94,627.50,1484.01
170,-3.8707,1.1968,-0.1503,492.43,1252.44,-1156.62
180,-3.8711,1.1505,-0.1294,1195.56,767.94,655.94
190,-3.8716,1.1150,-0.1304,-726.32,-560.30,-422.18
200,-3.8718,1.0848,-0.1453,-1273.19,-685.36,-1734.68
210,-3.8719,1.0442,-0.1705,-1132.57,1408.33,640.32
220,-3.8721,0.9802,-0.1995,1664.31,-1826.11,937.13
230,-3.8722,0.8925,-0.2246,1476.81,-1529.36,1858.95
240,-3.8723,0.7886,-0.2479,-1757.57,-748.29,-937.99
250,-3.8723,0.6812,-0.2657,945.56,267.15,437.01
260,-3.8724,0.5697,-0.2708,-804.44,1985.66,1530.70
270,-3.8726,0.4319,-0.2585,929.93,1344.85,1952.58
280,-3.8727,0.2488,-0.2386,-710.69,-1092.96,-1734.92
290,-3.8727,0.0284,-0.2397,-148.19,1453.55,1062.01
300,-3.8726,-0.2223,-0.2493,-351.32,1312.50,1437.01
310,-3.8723,-0.5186,-0.2339,-445.07,108.89,-1156.74
320,-3.8719,-0.8573,-0.2076,1633.06,-1922.91,1671.39
330,-3.8716,-1.1837,-0.1880,-1726.32,1435.79,593.32
340,-3.8712,-1.4242,-0.1709,492.43,-49.19,905.82
350,-3.8708,-1.5475,-0.1562,1711.18,-1862.18,-1515.99
360,-3.8705,-1.5872,-0.1448,1929.93,12.57,-187.81
370,-3.8701,-1.6256,-0.1270,851.81,1481.26,-625.31
380,-3.8699,-1.7109,-0.0984,-70.07,-237.61,-125.31
390,-3.8696,-1.8047,-0.0681,1008.06,-581.48,1046.63
400,-3.8696,-1.8456,-0.0343,1008.06,-706.67,-765.81
410,-3.8696,-1.8051,0.0112,-226.32,-378.66,890.50
420,-3.8700,-1.6887,0.0654,961.18,1449.58,-250.00
430,-3.8704,-1.5312,0.1053,-148.19,387.27,-1937.38
440,-3.8707,-1.3652,0.1193,8.06,1497.01,781.43
450,-3.8711,-1.1908,0.1141,1258.06,-721.44,-640.44
460,-3.8712,-0.9973,0.0927,-413.82,-1377.38,-1609.19
470,-3.8713,-0.7877,0.0659,351.81,-126.95,-359.25
480,-3.8713,-0.5791,0.0461,-820.07,451.54,500.12
490,-3.8716,-0.3926,0.0428,1883.06,1920.72,-15.56
500,-3.8717,-0.2468,0.0570,1758.06,1499.21,-1843.69
510,-3.8719,-0.1619,0.0809,414.31,-687.99,-281.19
520,-3.8721,-0.1469,0.1122,-710.69,-1625.37,-1906.13
530,-3.8722,-0.1772,0.1453,1211.18,-1625.31,-296.69
540,-3.8721,-0.2014,0.1571,1320.56,-1390.99,-1968.51
550,-3.8719,-0.1841,0.1447,-1773.19,124.57,-577.82
560,-3.8717,-0.1387,0.1248,445.56,-1469.12,1437.74
570,-3.8716,-0.1012,0.1115,-1741.94,-15.93,-234.19
580,-3.8713,-0.1014,0.1064,-945.07,-1718.99,-890.44
590,-3.8711,-0.1433,0.0936,-976.32,1640.38,-1327.94
