timestamp_ms,ax,ay,az,gx,gy,gz
0,-3.8738,-0.1559,-0.9226,226.81,1999.69,685.67
10,-3.8738,-0.1553,-0.9215,54.93,1921.57,1466.92
20,-3.8738,-0.1537,-0.9192,133.06,-1937.81,1670.04
30,-3.8738,-0.1522,-0.9188,336.18,-1640.93,1310.67
40,-3.8738,-0.1528,-0.9221,523.68,-1594.06,857.54
50,-3.8738,-0.1545,-0.9264,445.56,1984.07,685.67
60,-3.8738,-0.1559,-0.9293,226.81,1437.19,810.67
70,-3.8738,-0.1564,-0.9302,54.93,1062.19,982.54
80,-3.8738,-0.1553,-0.9301,-7.57,952.76,920.04
90,-3.8738,-0.1523,-0.9294,133.06,968.44,623.17
100,-3.8738,-0.1487,-0.9283,508.06,1046.57,91.92
110,-3.8739,-0.1453,-0.9269,976.81,1187.19,-548.71
120,-3.8739,-0.1429,-0.9250,1414.31,1374.69,-954.96
130,-3.8739,-0.1426,-0.9233,1711.18,1609.07,-908.08
140,-3.8739,-0.1445,-0.9210,1758.06,1827.82,-501.83
150,-3.8739,-0.1489,-0.9181,1508.06,-1875.31,-1.83
160,-3.8738,-0.1542,-0.9155,945.56,-1500.31,357.54
170,-3.8738,-0.1592,-0.9142,273.68,-1172.18,654.42
180,-3.8738,-0.1636,-0.9148,-366.94,-1000.37,857.54
190,-3.8738,-0.1675,-0.9172,-929.44,-1078.49,1029.42
200,-3.8738,-0.1689,-0.9205,-1429.44,-1390.99,1341.92
210,-3.8738,-0.1674,-0.9240,-1616.94,-1812.87,1654.42
220,-3.8738,-0.1649,-0.9270,-1413.82,1749.63,1810.67
230,-3.8738,-0.1622,-0.9286,-1101.32,1359.01,1716.92
240,-3.8738,-0.1577,-0.9293,-757.57,1155.88,1466.92
250,-3.8738,-0.1521,-0.9312,-179.44,1062.13,1091.92
260,-3.8738,-0.1482,-0.9323,539.31,827.82,701.29
270,-3.8738,-0.1470,-0.9313,1039.31,687.19,404.42
280,-3.8739,-0.1451,-0.9301,1195.56,812.19,-1.83
290,-3.8739,-0.1421,-0.9298,1429.93,968.44,-423.71
300,-3.8739,-0.1401,-0.9308,1820.56,999.69,-767.46
310,-3.8739,-0.1404,-0.9312,-1929.44,874.69,-1126.83
320,-3.8739,-0.1405,-0.9301,-1960.69,827.82,-1689.33
330,-3.8739,-0.1388,-0.9301,-1976.32,968.44,1763.79
340,-3.8739,-0.1351,-0.9319,-1757.57,968.44,1513.79
350,-3.8739,-0.1312,-0.9330,-1288.82,734.07,1623.17
360,-3.8739,-0.1315,-0.9324,-788.82,593.44,-1923.71
370,-3.8739,-0.1362,-0.9308,-820.07,671.57,-1376.83
380,-3.8739,-0.1433,-0.9293,-1429.44,874.69,-861.21
390,-3.8739,-0.1510,-0.9290,1664.31,1062.19,-548.71
400,-3.8739,-0.1571,-0.9296,679.93,1109.07,-579.96
410,-3.8739,-0.1593,-0.9302,-101.32,1030.88,-829.96
420,-3.8739,-0.1582,-0.9299,-382.57,952.76,-970.58
430,-3.8739,-0.1556,-0.9279,-241.94,984.01,-783.08
440,-3.8739,-0.1536,-0.9235,86.18,1249.69,-392.46
450,-3.8739,-0.1537,-0.9191,351.81,1812.19,-17.46
460,-3.8738,-0.1558,-0.9163,336.18,-1625.31,373.17
470,-3.8738,-0.1586,-0.9159,70.56,-1265.93,904.42
480,-3.8738,-0.1628,-0.9169,-288.82,-1219.12,1623.17
490,-3.8738,-0.1694,-0.9183,-835.69,-1344.12,-1658.08
500,-3.8738,-0.1755,-0.9209,-1679.44,-1531.62,-1283.08
510,-3.8738,-0.1787,-0.9249,1539.31,-1859.74,-1548.71
520,-3.8738,-0.1774,-0.9281,1133.06,1624.63,1607.54
530,-3.8738,-0.1704,-0.9280,1304.93,1218.38,810.67
540,-3.8738,-0.1593,-0.9257,-1804.44,1234.01,529.42
550,-3.8738,-0.1470,-0.9236,-382.57,1530.88,404.42
560,-3.8738,-0.1370,-0.9224,1195.56,1796.57,107.54
570,-3.8739,-0.1316,-0.9222,-1523.19,1952.82,-376.83
580,-3.8739,-0.1326,-0.9229,-835.69,1968.44,-970.58
590,-3.8739,-0.1395,-0.9241,-960.69,1890.32,-1267.46
600,-3.8739,-0.1482,-0.9272,-1851.32,1734.07,-1220.58
610,-3.8739,-0.1555,-0.9319,1039.31,1327.82,-1017.46
620,-3.8739,-0.1602,-0.9357,101.81,734.07,-798.71
630,-3.8739,-0.1595,-0.9387,-491.94,249.63,-673.71
640,-3.8739,-0.1531,-0.9406,-413.82,-140.99,-642.52
650,-3.8739,-0.1442,-0.9384,414.31,-375.31,-658.14
660,-3.8739,-0.1378,-0.9330,1554.93,-94.06,-705.02
670,-3.8739,-0.1342,-0.9279,-1632.57,593.44,-845.58
680,-3.8739,-0.1313,-0.9238,-1163.82,1249.69,-1173.71
690,-3.8739,-0.1312,-0.9211,-804.44,1765.32,-1423.71
700,-3.8739,-0.1344,-0.9207,-788.82,-1890.93,-1486.21
710,-3.8739,-0.1394,-0.9214,-1195.07,-1828.43,-1345.58
720,-3.8739,-0.1447,-0.9219,-1835.69,-1922.18,-939.33
730,-3.8739,-0.1495,-0.9218,1492.43,-1984.68,-423.71
740,-3.8739,-0.1549,-0.9222,867.43,-1969.06,-17.46
750,-3.8738,-0.1610,-0.9236,179.93,1968.44,232.54
760,-3.8738,-0.1663,-0.9232,-601.32,1796.51,248.17
770,-3.8738,-0.1682,-0.9219,-1273.19,1843.38,76.29
780,-3.8738,-0.1649,-0.9218,-1523.19,-1984.74,76.29
790,-3.8738,-0.1584,-0.9238,-1101.32,-1969.12,357.54
800,-3.8738,-0.1517,-0.9265,-273.19,1765.26,779.42
810,-3.8738,-0.1465,-0.9280,586.18,1421.57,1295.04
820,-3.8738,-0.1438,-0.9277,1258.06,1234.07,1732.54
830,-3.8738,-0.1427,-0.9263,1601.81,1265.32,1763.79
840,-3.8738,-0.1431,-0.9250,1742.43,1452.82,1107.54
850,-3.8738,-0.1453,-0.9247,1695.56,1609.07,29.42
860,-3.8739,-0.1478,-0.9243,1414.31,1655.94,-861.21
870,-3.8739,-0.1497,-0.9236,1086.18,1702.82,-1283.08
880,-3.8739,-0.1509,-0.9233,851.81,1796.57,-1142.46
890,-3.8739,-0.1508,-0.9241,695.56,1827.82,-564.33
900,-3.8738,-0.1487,-0.9259,711.18,1734.07,13.79
910,-3.8738,-0.1455,-0.9287,976.81,1499.69,310.67
920,-3.8738,-0.1440,-0.9315,1383.06,1140.32,310.67
930,-3.8738,-0.1454,-0.9337,1570.56,780.94,248.17
940,-3.8738,-0.1467,-0.9353,1398.68,499.69,326.29
950,-3.8738,-0.1447,-0.9385,1226.81,296.57,373.17
960,-3.8738,-0.1392,-0.9421,1492.43,-109.68,263.73
970,-3.8738,-0.1338,-0.9427,-1804.44,-578.43,91.86
980,-3.8739,-0.1306,-0.9396,-1116.94,-656.56,-80.02
990,-3.8739,-0.1293,-0.9355,-710.69,-250.31,-392.52
1000,-3.8739,-0.1290,-0.9325,-538.82,265.32,-798.71
1010,-3.8739,-0.1309,-0.9294,-507.57,655.94,-1048.71
1020,-3.8739,-0.1338,-0.9275,-741.94,1046.57,-1236.21
1030,-3.8739,-0.1348,-0.9272,-1116.94,1296.57,-1486.21
1040,-3.8739,-0.1327,-0.9283,-1241.94,1327.82,-1611.21
1050,-3.8739,-0.1302,-0.9285,-976.32,1187.19,-1501.83
1060,-3.8739,-0.1304,-0.9268,-663.82,1171.57,-1204.96
1070,-3.8739,-0.1338,-0.9248,-679.44,1390.32,-736.21
1080,-3.8739,-0.1389,-0.9235,-1116.94,1640.32,-283.08
1090,-3.8739,-0.1447,-0.9236,-1773.19,1812.19,-1.83
1100,-3.8738,-0.1500,-0.9247,1492.43,1796.57,138.79
1110,-3.8738,-0.1533,-0.9258,804.93,1655.94,138.79
1120,-3.8738,-0.1533,-0.9272,383.06,1515.32,45.04
1130,-3.8738,-0.1505,-0.9287,383.06,1327.82,76.29
1140,-3.8738,-0.1465,-0.9303,742.43,1140.32,341.92
1150,-3.8738,-0.1416,-0.9315,1258.06,937.19,748.17
1160,-3.8738,-0.1364,-0.9321,1883.06,780.94,1076.29
1170,-3.8738,-0.1321,-0.9318,-1445.07,702.82,1107.54
1180,-3.8738,-0.1299,-0.9299,-898.19,749.69,795.04
1190,-3.8738,-0.1311,-0.9279,-616.94,984.07,279.42
1200,-3.8739,-0.1357,-0.9271,-773.19,1249.69,-361.21
1210,-3.8739,-0.1406,-0.9269,-1366.94,1343.44,-1033.08
1220,-3.8739,-0.1431,-0.9274,-1991.94,1374.69,-1392.46
1230,-3.8739,-0.1422,-0.9286,1695.56,1312.19,-1314.33
1240,-3.8739,-0.1383,-0.9291,1804.93,1155.94,-986.21
1250,-3.8739,-0.1332,-0.9287,-1695.07,1093.44,-579.96
1260,-3.8739,-0.1290,-0.9277,-1038.82,1140.32,-283.08
1270,-3.8739,-0.1276,-0.9271,-507.57,1265.32,-189.33
1280,-3.8739,-0.1305,-0.9270,-320.07,1343.44,-345.58
1290,-3.8739,-0.1361,-0.9279,-695.07,1359.07,-486.21
1300,-3.8739,-0.1412,-0.9298,-1413.82,1249.69,-486.21
1310,-3.8739,-0.1437,-0.9320,1929.93,999.69,-454.96
1320,-3.8739,-0.1429,-0.9341,1617.43,718.44,-439.33
1330,-3.8739,-0.1389,-0.9354,1711.18,452.82,-298.71
1340,-3.8738,-0.1348,-0.9351,-1773.19,280.94,91.92
1350,-3.8738,-0.1323,-0.9338,-1241.94,327.82,451.29
1360,-3.8738,-0.1305,-0.9321,-929.44,484.07,545.04
1370,-3.8738,-0.1307,-0.9296,-695.07,702.82,357.54
1380,-3.8739,-0.1328,-0.9276,-726.32,1030.94,-48.71
1390,-3.8739,-0.1351,-0.9271,-991.94,1280.94,-595.58
