timestamp_ms,ax,ay,az,gx,gy,gz
0,-3.8708,0.8336,0.5205,-195.07,1470.28,813.54
10,-3.8711,0.8090,0.4863,-1288.82,-1373.41,-1858.40
20,-3.8713,0.7358,0.4382,-445.07,-1748.47,-670.96
30,-3.8716,0.6371,0.3813,-1804.44,95.15,-92.90
40,-3.8718,0.5409,0.3258,1554.93,813.72,-108.64
50,-3.8719,0.4714,0.2750,1242.43,1704.16,47.49
60,-3.8722,0.4353,0.2339,351.81,-795.96,1250.49
70,-3.8724,0.4249,0.2030,-273.19,1938.29,-93.32
80,-3.8726,0.4337,0.1720,-1601.32,1985.17,-734.01
90,-3.8727,0.4506,0.1383,-476.32,-1983.58,-1718.44
100,-3.8728,0.4596,0.1093,1679.93,1703.98,1031.49
110,-3.8730,0.4576,0.0824,-1163.82,1985.23,-187.32
120,-3.8732,0.4503,0.0540,-1413.82,-1452.27,-1453.00
130,-3.8733,0.4298,0.0288,1648.68,-1092.90,843.81
140,-3.8735,0.3868,0.0107,-976.32,-311.71,-875.00
150,-3.8737,0.3206,-0.0011,1523.68,1375.73,-1875.00
160,-3.8738,0.2393,-0.0094,1039.31,-140.01,-1250.06
170,-3.8738,0.1632,-0.0137,-1366.94,-1202.70,1421.81
180,-3.8738,0.1016,-0.0111,898.68,-1749.69,1015.56
190,-3.8738,0.0437,-0.0042,1008.06,-1421.69,890.56
200,-3.8738,-0.0164,0.0027,1601.81,-531.19,1406.19
210,-3.8738,-0.0746,0.0092,1914.31,359.31,1906.25
220,-3.8738,-0.1252,0.0140,-1538.82,1187.32,1359.38
230,-3.8739,-0.1603,0.0087,-23.19,1812.19,-562.50
240,-3.8740,-0.1813,-0.0072,-507.57,1124.63,-15.62
250,-3.8741,-0.2052,-0.0216,804.93,-906.62,-796.94
260,-3.8743,-0.2472,-0.0280,1742.43,1249.57,-1859.44
270,-3.8744,-0.3019,-0.0321,367.43,437.01,-875.06
280,-3.8743,-0.3481,-0.0319,1367.43,-94.36,1312.38
290,-3.8740,-0.3821,0.0001,-554.44,-63.23,140.50
300,-3.8739,-0.4170,0.0760,-898.19,30.46,-62.50
310,-3.8737,-0.4519,0.1617,-1366.94,1749.15,-1390.50
320,-3.8735,-0.4768,0.2145,-1835.69,717.83,-1265.32
330,-3.8735,-0.4977,0.2211,-1023.19,-532.23,-859.01
340,-3.8737,-0.5355,0.2009,304.93,311.52,-577.70
350,-3.8738,-0.6002,0.1715,-538.82,1733.28,812.87
360,-3.8740,-0.6783,0.1256,-820.07,1967.53,1937.81
370,-3.8741,-0.7448,0.0676,1179.93,92.41,-1640.38
380,-3.8740,-0.7736,0.0367,679.93,670.41,562.62
390,-3.8738,-0.7538,0.0676,992.43,717.22,281.31
400,-3.8735,-0.6959,0.1315,-476.32,670.35,-515.50
410,-3.8730,-0.6189,0.1729,-1070.07,842.35,828.37
420,-3.8727,-0.5500,0.1924,789.31,-1860.60,-999.69
430,-3.8723,-0.5284,0.2115,1601.81,639.53,1953.49
440,-3.8722,-0.5770,0.2283,367.43,-907.29,-1624.63
450,-3.8722,-0.6758,0.2313,-1851.32,1233.22,-1265.20
460,-3.8721,-0.7727,0.2252,1508.06,1623.66,1859.80
470,-3.8717,-0.8273,0.2240,1101.81,842.22,156.68
480,-3.8712,-0.8252,0.2406,-1882.57,685.85,1156.68
490,-3.8706,-0.7755,0.2886,-1616.94,-1189.15,1734.80
500,-3.8700,-0.7123,0.3641,742.43,951.60,1406.80
510,-3.8695,-0.6692,0.4438,836.18,-1376.40,-1421.20
520,-3.8690,-0.6713,0.5011,-1648.19,826.78,-686.65
530,-3.8685,-0.7329,0.5146,-1913.82,154.91,-202.15
540,-3.8680,-0.8304,0.4869,-1804.44,1889.16,1172.85
550,-3.8678,-0.9120,0.4573,1711.18,-1657.90,1563.42
560,-3.8677,-0.9384,0.4530,-726.32,-1454.96,-1811.65
570,-3.8676,-0.8938,0.4540,-101.32,1998.11,1000.85
580,-3.8676,-0.7888,0.4364,1601.81,-1876.77,-1530.40
590,-3.8676,-0.6606,0.4087,-960.69,-126.59,-1499.21
600,-3.8676,-0.5459,0.3871,-554.44,326.78,1594.54
610,-3.8676,-0.4517,0.3817,-1866.94,1561.40,422.61
620,-3.8677,-0.3668,0.3925,-1804.44,874.08,-264.89
630,-3.8677,-0.2853,0.3972,1054.93,-1750.73,-93.02
640,-3.8676,-0.2101,0.3837,-507.57,-1141.24,125.73
650,-3.8677,-0.1493,0.3693,1117.43,1124.57,-1046.14
660,-3.8677,-0.1079,0.3723,898.68,-719.06,235.05
670,-3.8678,-0.0815,0.3883,-1804.44,-328.37,1031.92
680,-3.8679,-0.0612,0.4021,1570.56,1718.57,1860.11
690,-3.8680,-0.0375,0.4083,179.93,-515.75,-1655.52
700,-3.8682,-0.0015,0.4086,-788.82,281.13,-1389.83
710,-3.8683,0.0535,0.4192,-179.44,312.44,-342.96
720,-3.8683,0.1289,0.4578,-1148.19,1656.31,1735.17
730,-3.8683,0.2205,0.5098,508.06,-1406.01,438.35
740,-3.8684,0.3284,0.5630,226.81,1250.43,-499.02
750,-3.8684,0.4491,0.6212,-1960.69,63.11,-1561.40
760,-3.8684,0.5660,0.6624,1492.43,-483.52,1626.16
770,-3.8684,0.6677,0.6597,461.18,782.35,1282.53
780,-3.8685,0.7499,0.6189,1476.81,438.78,-545.59
790,-3.8687,0.8080,0.5676,-7.57,-779.85,1969.91
800,-3.8689,0.8455,0.5259,-570.07,657.78,766.72
810,-3.8693,0.8694,0.4989,226.81,-685.85,1672.85
820,-3.8696,0.8793,0.4822,-710.69,-138.98,-1452.21
830,-3.8699,0.8696,0.4738,554.93,1720.46,188.42
840,-3.8702,0.8407,0.4841,-679.44,642.27,-1327.21
850,-3.8705,0.7920,0.5245,-382.57,1970.34,-1624.08
860,-3.8706,0.7297,0.5745,1383.06,-857.85,297.85
870,-3.8707,0.6736,0.5920,1414.31,1532.65,157.35
880,-3.8708,0.6295,0.5603,-1773.19,-217.47,126.10
890,-3.8711,0.5865,0.4980,586.18,-280.03,-1592.71
900,-3.8713,0.5468,0.4279,-913.82,-248.90,-1561.58
910,-3.8716,0.5248,0.3605,1992.43,-1233.34,1563.29
920,-3.8718,0.5210,0.3029,-820.07,-1858.40,1156.92
930,-3.8721,0.5212,0.2584,-1304.44,-1233.40,891.17
940,-3.8723,0.5145,0.2235,-1273.19,1079.10,47.36
950,-3.8727,0.4978,0.1946,1867.43,610.35,-874.57
960,-3.8729,0.4739,0.1721,-273.19,907.17,-1062.13
970,-3.8732,0.4452,0.1549,664.31,-1967.83,-1249.69
980,-3.8734,0.4149,0.1335,992.43,-171.02,1422.12
990,-3.8738,0.3843,0.1061,1117.43,1094.54,-624.76
1000,-3.8740,0.3450,0.0718,1195.56,1578.86,-1984.19
1010,-3.8743,0.2933,0.0251,164.31,1188.17,-874.88
1020,-3.8744,0.2406,-0.0245,1554.93,-780.70,-1250.00
1030,-3.8745,0.1974,-0.0631,-1195.07,859.80,-546.94
1040,-3.8745,0.1643,-0.0830,1273.68,-77.76,1187.32
1050,-3.8745,0.1361,-0.0809,1039.31,1375.31,374.82
