timestamp_ms,ax,ay,az,gx,gy,gz
0,-3.8717,-0.8727,-0.0032,8.06,1326.23,-750.12
10,-3.8716,-0.7660,0.0696,304.93,-392.33,-281.31
20,-3.8713,-0.6674,0.1399,1961.18,920.35,375.12
30,-3.8712,-0.5955,0.1913,-1413.82,1920.53,1515.87
40,-3.8710,-0.5503,0.2338,-210.69,498.78,765.99
50,-3.8707,-0.5000,0.2847,1570.56,1936.40,-718.32
60,-3.8702,-0.4098,0.3505,8.06,452.15,203.67
70,-3.8699,-0.2643,0.4277,-445.07,874.15,1844.42
80,-3.8695,-0.0811,0.5052,-1820.07,-1234.92,-1577.33
90,-3.8691,0.1161,0.5586,1633.06,687.32,125.98
100,-3.8690,0.3120,0.5743,-1132.57,-499.82,-811.46
110,-3.8688,0.5063,0.5739,-54.44,1516.17,829.22
120,-3.8687,0.7067,0.5804,820.56,1454.10,1329.22
130,-3.8685,0.9072,0.6042,-1538.82,-1701.78,719.85
140,-3.8685,1.0885,0.6417,133.06,1345.52,-780.09
150,-3.8684,1.2345,0.6699,-663.82,-1857.30,829.35
160,-3.8684,1.3961,0.6685,-1976.32,1752.38,32.53
170,-3.8687,1.5394,0.6357,-1288.82,1565.19,-967.47
180,-3.8689,1.5691,0.5840,1054.93,1377.99,1454.35
190,-3.8693,1.5457,0.5215,851.81,-1246.95,407.35
200,-3.8698,1.5273,0.4508,1851.81,-1247.01,-1936.52
210,-3.8702,1.4736,0.3813,-491.94,1706.05,-499.15
220,-3.8706,1.3799,0.3201,633.06,815.37,1125.73
230,-3.8710,1.2893,0.2711,633.06,971.44,203.74
240,-3.8713,1.1895,0.2388,1039.31,-1294.37,-1858.89
250,-3.8716,1.0690,0.2241,258.06,-1435.18,-374.57
260,-3.8716,0.9741,0.2301,836.18,689.58,625.43
270,-3.8716,0.8994,0.2528,695.56,1455.02,1266.05
280,-3.8715,0.8195,0.2751,-866.94,361.08,1297.36
290,-3.8713,0.7610,0.2775,898.68,-779.66,-1405.76
300,-3.8712,0.7056,0.2579,1414.31,-482.91,-1718.26
310,-3.8712,0.6115,0.2365,-1679.44,1016.97,-421.39
320,-3.8711,0.4893,0.2333,-1726.32,-1733.22,578.55
330,-3.8711,0.3220,0.2546,-1366.94,1860.29,-640.20
340,-3.8708,0.1086,0.2911,1226.81,594.36,766.11
350,-3.8706,-0.0978,0.3239,1914.31,1265.81,484.92
360,-3.8704,-0.2983,0.3557,-507.57,1468.51,-1749.39
370,-3.8700,-0.5192,0.3871,1820.56,1546.26,1328.80
380,-3.8698,-0.7518,0.3936,1554.93,1561.46,-1249.27
390,-3.8695,-0.9600,0.3623,-226.32,-1610.90,156.98
400,-3.8695,-1.1268,0.2992,1133.06,-1611.27,1453.80
410,-3.8696,-1.2494,0.2166,-226.32,-1689.76,-686.95
420,-3.8698,-1.2787,0.1384,86.18,-268.07,-1374.63
430,-3.8699,-1.2745,0.0815,336.18,1731.87,31.49
440,-3.8701,-1.2893,0.0409,867.43,-1549.38,93.87
450,-3.8705,-1.3004,-0.0011,-1023.19,1247.44,-515.56
460,-3.8707,-1.3112,-0.0481,1554.93,-127.56,-1656.31
470,-3.8711,-1.3245,-0.0961,179.93,1856.81,-78.25
480,-3.8715,-1.3302,-0.1450,-1523.19,-283.87,-109.62
490,-3.8718,-1.3314,-0.1940,1742.43,1450.50,-406.56
500,-3.8721,-1.3461,-0.2346,1586.18,-815.12,1249.57
510,-3.8723,-1.3513,-0.2717,-288.82,1981.69,1718.26
520,-3.8724,-1.3231,-0.3081,-960.69,1231.69,265.08
530,-3.8726,-1.2573,-0.3311,-1351.32,575.50,327.51
540,-3.8727,-1.1741,-0.3353,-929.44,1638.12,1280.58
550,-3.8728,-1.0808,-0.3306,1726.81,1091.43,-813.17
560,-3.8728,-1.0083,-0.3243,1664.31,1700.99,-625.67
570,-3.8727,-0.9697,-0.3027,-1054.44,-1502.01,-1781.92
580,-3.8726,-0.9362,-0.2662,-116.94,1263.67,-734.99
590,-3.8723,-0.9095,-0.2238,179.93,1935.67,1890.08
600,-3.8721,-0.9093,-0.1714,-413.82,-626.83,1468.26
610,-3.8718,-0.9314,-0.1141,-382.57,-1923.71,1687.13
620,-3.8716,-0.9644,-0.0808,789.31,1404.42,1218.51
630,-3.8715,-0.9923,-0.0823,570.56,1669.98,1952.94
640,-3.8715,-0.9976,-0.0984,992.43,1482.42,-687.68
650,-3.8715,-0.9756,-0.1075,320.56,-580.08,-1000.24
660,-3.8715,-0.9349,-0.0978,-866.94,-1751.95,-922.12
670,-3.8713,-0.8966,-0.0599,336.18,-501.83,718.51
680,-3.8712,-0.8596,0.0056,1242.43,341.98,1140.50
690,-3.8710,-0.7789,0.0714,1976.81,732.67,546.88
700,-3.8707,-0.6394,0.1143,304.93,1154.72,1547.00
710,-3.8705,-0.4874,0.1421,-1835.69,-1360.66,-1109.19
720,-3.8701,-0.3475,0.1760,1617.43,-1797.85,453.37
730,-3.8699,-0.1957,0.2323,-476.32,-1453.86,-984.07
740,-3.8695,-0.0188,0.3339,-1038.82,1749.57,-1187.07
750,-3.8691,0.1968,0.4735,1601.81,-1250.06,-1811.89
760,-3.8689,0.4485,0.5886,1195.56,609.74,-170.96
770,-3.8687,0.6808,0.6459,1414.31,-655.40,-639.53
780,-3.8684,0.8770,0.6738,-851.32,-1326.84,329.35
790,-3.8684,1.0801,0.6869,258.06,-1748.29,1251.28
800,-3.8685,1.2639,0.6766,-1741.94,-76.05,673.16
810,-3.8689,1.4066,0.6440,1789.31,-1388.18,1345.03
820,-3.8694,1.4816,0.5865,54.93,-1559.75,1469.97
830,-3.8699,1.4189,0.5197,1648.68,-919.01,-1717.65
840,-3.8702,1.2896,0.4727,1633.06,-1481.63,1844.73
850,-3.8705,1.1593,0.4514,1070.56,502.50,485.29
860,-3.8707,1.0601,0.4514,398.68,1783.51,-1186.65
870,-3.8707,1.0481,0.4648,-304.44,1783.26,282.10
880,-3.8708,1.0682,0.4658,-1835.69,-497.99,-1608.52
890,-3.8710,1.0850,0.4409,742.43,-372.92,-889.77
900,-3.8711,1.0829,0.3960,-1116.94,439.58,1344.60
910,-3.8713,1.0444,0.3424,-1382.57,-1310.42,1000.73
920,-3.8717,0.9745,0.2819,1695.56,-169.86,-171.26
930,-3.8718,0.8837,0.2122,742.43,80.02,578.67
940,-3.8719,0.7771,0.1666,1117.43,-842.04,1922.24
950,-3.8718,0.6512,0.1688,-523.19,1329.59,203.43
960,-3.8717,0.5381,0.2032,-632.57,1610.60,-968.44
970,-3.8713,0.4609,0.2462,883.06,-1983.34,1281.62
980,-3.8710,0.4120,0.2804,-991.94,-483.52,109.80
990,-3.8707,0.3488,0.3037,742.43,-108.58,844.24
1000,-3.8706,0.2526,0.3002,648.68,-1124.33,875.55
1010,-3.8706,0.1121,0.2566,336.18,-1577.64,500.55
1020,-3.8707,-0.0593,0.1886,-1648.19,843.93,1797.36
1030,-3.8708,-0.2080,0.1191,414.31,156.13,-1140.26
1040,-3.8708,-0.3259,0.0660,1383.06,-734.80,1718.93
1050,-3.8708,-0.4468,0.0392,-1710.69,468.08,-171.75
1060,-3.8706,-0.5902,0.0551,-1179.44,1030.33,-390.56
1070,-3.8701,-0.7633,0.1156,461.18,-938.66,593.81
1080,-3.8698,-0.9545,0.1897,-1695.07,-1189.03,1531.43
1090,-3.8695,-1.1926,0.2351,1836.18,294.98,1656.62
1100,-3.8695,-1.4434,0.2443,-648.19,-1893.01,-358.95
1110,-3.8696,-1.6478,0.2120,-741.94,-721.62,-577.70
1120,-3.8699,-1.7949,0.1268,1086.18,-846.98,94.12
1130,-3.8705,-1.8929,0.0049,-1741.94,246.46,-1749.76
1140,-3.8711,-1.9515,-0.1013,1711.18,636.90,1296.88
1150,-3.8717,-1.9690,-0.1689,-1788.82,-956.97,968.51
1160,-3.8722,-1.9751,-0.2124,-23.19,-1613.28,624.63
1170,-3.8726,-1.9424,-0.2168,-804.44,824.22,-1484.80
1180,-3.8727,-1.8647,-0.1919,-616.94,261.78,468.32
1190,-3.8729,-1.7649,-0.1617,1320.56,-550.54,-297.30
1200,-3.8729,-1.6266,-0.1373,-1898.19,-690.98,1015.26
1210,-3.8729,-1.4557,-0.1324,-195.07,-1565.73,1015.32
1220,-3.8729,-1.2792,-0.1401,1679.93,-940.37,-875.31
1230,-3.8728,-1.1266,-0.1339,273.68,-1924.38,-1140.93
1240,-3.8727,-1.0159,-0.1099,-195.07,-1127.26,-1047.18
1250,-3.8726,-0.9171,-0.0847,1976.81,1951.11,-1000.24
1260,-3.8724,-0.8278,-0.0670,-1382.57,1170.04,-562.68
1270,-3.8722,-0.7856,-0.0527,-1945.07,-564.15,77.94
1280,-3.8721,-0.7959,-0.0375,-554.44,1264.04,828.00
1290,-3.8719,-0.8170,-0.0115,-1866.94,-782.84,-1687.62
1300,-3.8717,-0.8049,0.0333,-570.07,-1454.77,437.44
1310,-3.8716,-0.7465,0.0831,976.81,279.66,1359.44
1320,-3.8715,-0.6494,0.1100,461.18,-1345.21,62.62
1330,-3.8715,-0.5303,0.1040,883.06,-1907.53,1984.56
1340,-3.8713,-0.4204,0.0961,133.06,1327.09,1172.06
1350,-3.8712,-0.3237,0.1172,-1804.44,311.65,-1843.57
1360,-3.8711,-0.2068,0.1526,-1429.44,-985.05,-312.32
1370,-3.8708,-0.0603,0.1830,1539.31,-453.55,1922.12
1380,-3.8706,0.1044,0.2224,289.31,-562.62,1875.31
1390,-3.8704,0.2921,0.2736,1367.43,468.93,-1546.45
1400,-3.8701,0.5195,0.3240,1398.68,-983.83,-1108.89
1410,-3.8699,0.8069,0.3790,-1491.94,1469.73,-280.64
1420,-3.8695,1.1531,0.4509,-710.69,517.15,141.36
1430,-3.8694,1.4725,0.5198,-398.19,1720.95,-1655.40
1440,-3.8693,1.6713,0.5255,492.43,-1465.88,250.98
1450,-3.8694,1.7611,0.4509,1929.93,-731.14,907.23
1460,-3.8696,1.7509,0.3456,1429.93,1722.17,1625.85
1470,-3.8699,1.6715,0.2456,117.43,237.79,16.30
1480,-3.8702,1.5597,0.1591,1961.18,-559.27,1531.68
1490,-3.8706,1.4437,0.1002,-351.32,362.37,-530.94
1500,-3.8708,1.3282,0.0690,804.93,830.93,-1343.57
1510,-3.8710,1.2015,0.0607,-1976.32,830.69,93.87
1520,-3.8711,1.0742,0.0734,1804.93,-232.06,421.94
1530,-3.8712,0.9635,0.0925,1508.06,1392.70,-1515.50
1540,-3.8712,0.8896,0.0975,-663.82,-154.42,500.12
1550,-3.8713,0.8253,0.0861,1883.06,486.08,-1234.19
1560,-3.8713,0.7537,0.0800,1648.68,-982.79,-1312.38
1570,-3.8712,0.6440,0.0823,476.81,-1764.16,422.00
1580,-3.8711,0.4850,0.0953,-1554.44,-1467.53,31.37
1590,-3.8710,0.2710,0.1464,-1913.82,204.04,-859.19
1600,-3.8706,0.0004,0.2552,-1304.44,-1265.14,-1359.13
1610,-3.8701,-0.3000,0.3933,54.93,671.88,1094.24
1620,-3.8698,-0.6093,0.5067,1601.81,-1641.24,-843.02
1630,-3.8695,-0.9014,0.5447,-1976.32,873.78,-295.90
1640,-3.8695,-1.1141,0.4722,633.06,1732.60,-858.34
1650,-3.8698,-1.2368,0.3033,1398.68,450.93,-1436.58
1660,-3.8701,-1.2976,0.1018,1695.56,-1158.69,813.05
1670,-3.8706,-1.2773,-0.0586,1914.31,1044.31,187.68
1680,-3.8712,-1.2224,-0.1578,508.06,513.12,-15.75
1690,-3.8716,-1.1589,-0.2087,-460.69,-189.94,-406.62
1700,-3.8718,-1.0970,-0.2246,-335.69,1294.56,-31.68
1710,-3.8719,-1.0615,-0.2257,-413.82,-736.57,-437.99
1720,-3.8719,-1.0675,-0.2244,133.06,-877.08,593.26
