timestamp_ms,ax,ay,az,gx,gy,gz
0,-3.8712,0.1654,-0.0767,-7.57,1515.87,-1828.31
10,-3.8712,0.1825,-0.0701,1179.93,-1812.19,1796.69
20,-3.8712,0.1995,-0.0673,-632.57,-968.44,1593.57
30,-3.8712,0.2112,-0.0673,1539.31,-609.01,1281.07
40,-3.8712,0.2161,-0.0660,-960.69,-609.01,796.69
50,-3.8712,0.2175,-0.0599,-335.69,-452.76,437.32
60,-3.8712,0.2153,-0.0518,-148.19,328.49,187.38
70,-3.8713,0.2039,-0.0453,-429.44,1375.37,-281.37
80,-3.8713,0.1880,-0.0446,-1898.19,-1796.51,-812.62
90,-3.8713,0.1814,-0.0508,70.56,-1702.76,-1015.75
100,-3.8713,0.1876,-0.0608,-773.19,1500.31,-1109.50
110,-3.8713,0.2003,-0.0698,23.68,219.12,-1437.62
120,-3.8713,0.2157,-0.0718,1648.68,-937.13,-1703.31
130,-3.8713,0.2336,-0.0634,-382.57,-1187.13,-1359.56
140,-3.8713,0.2511,-0.0439,1914.31,-108.95,-62.68
150,-3.8712,0.2694,-0.0187,148.68,-1624.51,-1453.25
160,-3.8711,0.2863,-0.0022,-1507.57,1609.86,1937.44
170,-3.8710,0.2939,-0.0052,648.68,-280.70,328.06
180,-3.8710,0.2902,-0.0260,1633.06,-671.33,671.81
190,-3.8711,0.2754,-0.0540,1148.68,672.42,-843.81
200,-3.8711,0.2552,-0.0775,-741.94,1094.24,671.75
210,-3.8712,0.2378,-0.0894,679.93,-1921.39,-1562.68
220,-3.8712,0.2264,-0.0895,-1554.44,562.93,1343.57
230,-3.8712,0.2173,-0.0852,992.43,547.30,1406.07
240,-3.8712,0.2106,-0.0846,-179.44,1094.12,-1875.18
250,-3.8712,0.2097,-0.0895,-1038.82,1172.24,-1265.81
260,-3.8712,0.2162,-0.0952,-1148.19,547.24,-1265.81
270,-3.8712,0.2240,-0.0990,-320.07,-187.13,-1531.49
280,-3.8712,0.2246,-0.1027,679.93,-671.45,-1718.99
290,-3.8712,0.2189,-0.1067,758.06,-1140.20,-1672.12
300,-3.8712,0.2085,-0.1104,23.68,-1655.82,-1328.37
310,-3.8712,0.1946,-0.1116,-1304.44,1875.37,-859.62
320,-3.8712,0.1785,-0.1085,914.31,1719.12,-422.12
330,-3.8711,0.1663,-0.1010,-1148.19,-1890.32,93.51
340,-3.8711,0.1649,-0.0902,1289.31,-921.57,999.76
350,-3.8711,0.1727,-0.0789,1117.43,453.43,-1781.43
360,-3.8711,0.1841,-0.0669,-1882.57,1906.56,-593.93
370,-3.8710,0.1954,-0.0546,-429.44,-562.19,202.94
380,-3.8710,0.2086,-0.0465,1023.68,1015.99,453.00
390,-3.8710,0.2224,-0.0487,-1288.82,-1952.76,31.13
400,-3.8711,0.2338,-0.0568,476.81,1766.05,-1218.87
410,-3.8711,0.2412,-0.0577,1929.93,734.80,968.63
420,-3.8712,0.2455,-0.0490,-1116.94,609.80,-578.25
430,-3.8712,0.2458,-0.0405,-570.07,1734.80,-1390.75
440,-3.8712,0.2401,-0.0428,-523.19,-1187.07,-1875.12
450,-3.8712,0.2307,-0.0555,-1257.57,-1483.95,1140.50
460,-3.8713,0.2220,-0.0688,1539.31,891.05,-375.12
470,-3.8713,0.2181,-0.0751,429.93,-812.07,-1906.43
480,-3.8713,0.2214,-0.0751,-70.07,-1609.01,906.07
490,-3.8713,0.2313,-0.0736,351.81,-1608.95,296.69
500,-3.8713,0.2440,-0.0751,1617.43,-1421.45,62.32
510,-3.8715,0.2559,-0.0804,-757.57,-1608.95,-406.43
520,-3.8715,0.2659,-0.0822,758.06,1703.61,-1109.56
530,-3.8715,0.2786,-0.0787,-1960.69,1484.86,-1453.31
540,-3.8715,0.2932,-0.0779,-335.69,1922.36,-1297.06
550,-3.8715,0.3019,-0.0825,1539.31,-1968.20,-984.56
560,-3.8715,0.2980,-0.0902,-1351.32,1438.05,-593.93
570,-3.8715,0.2816,-0.0959,-1851.32,453.67,-265.81
580,-3.8715,0.2596,-0.0975,54.93,-280.70,-15.87
590,-3.8713,0.2383,-0.0964,1242.43,-483.89,671.63
600,-3.8713,0.2214,-0.0952,-1491.94,-343.32,1781.01
610,-3.8713,0.2146,-0.0956,351.81,-187.07,-1297.12
620,-3.8713,0.2213,-0.0966,-523.19,-234.01,-797.12
