timestamp_ms,ax,ay,az,gx,gy,gz
0,-3.8448,-0.3252,-0.0994,195.56,46.39,-1203.43
10,-3.8450,-0.4196,-0.0442,-1616.94,-703.80,1218.51
20,-3.8451,-0.5032,-0.0233,-1695.07,-1641.48,828.00
30,-3.8451,-0.5305,-0.0546,-398.19,1030.21,78.06
40,-3.8450,-0.4862,-0.1083,101.81,1030.21,124.88
50,-3.8447,-0.4055,-0.1519,1773.68,-1844.73,718.51
60,-3.8445,-0.3252,-0.1648,101.81,577.33,-1703.43
70,-3.8444,-0.2655,-0.1698,-1616.94,-1078.80,468.38
80,-3.8446,-0.2173,-0.2091,-1976.32,-1719.30,546.51
90,-3.8450,-0.1503,-0.2925,195.56,1249.57,-750.43
100,-3.8450,-0.0627,-0.4102,773.68,-1422.18,140.01
110,-3.8450,0.0115,-0.5394,-23.19,-484.56,-422.73
120,-3.8447,0.0625,-0.6616,1476.81,-1046.88,-141.72
130,-3.8444,0.1088,-0.7644,8.06,-687.38,-173.22
140,-3.8440,0.1571,-0.8375,1929.93,-1843.57,-95.28
150,-3.8750,0.1969,-0.8914,117.43,797.18,-923.52
160,-3.8750,0.2120,-0.9556,1211.18,1906.62,-892.40
170,-3.8439,0.1982,-1.0397,-851.32,1687.87,-1986.27
180,-3.8441,0.1711,-1.1266,1383.06,-1077.76,-314.58
190,-3.8442,0.1683,-1.2097,1914.31,-202.82,1716.49
200,-3.8445,0.2235,-1.3055,1554.93,1156.56,-1002.38
210,-3.8446,0.3372,-1.4380,617.43,891.05,200.56
220,-3.8448,0.4954,-1.5764,-835.69,-61.89,-549.74
230,-3.8448,0.6854,-1.6718,-585.69,-1780.33,684.39
240,-3.8450,0.9310,-1.7439,-257.57,-1983.09,-1534.55
250,-3.8451,1.2783,-1.7800,-820.07,783.02,-1487.79
260,-3.8452,1.6798,-1.7601,-366.94,158.69,527.77
270,-3.8453,2.0096,-1.7247,-976.32,-1293.64,434.02
280,-3.8453,2.1575,-1.7115,1242.43,-761.72,1621.58
290,-3.8452,2.0991,-1.7308,164.31,926.09,-3.36
300,-3.8448,1.9125,-1.7703,695.56,-1542.79,-534.67
310,-3.8444,1.6906,-1.8080,804.93,1409.97,1262.15
320,-3.8441,1.4961,-1.8385,398.68,581.42,-831.67
330,-3.8439,1.3527,-1.8733,-491.94,674.74,355.77
340,-3.8750,1.2717,-1.8948,1148.68,221.37,-1066.16
350,-3.8746,1.2758,-1.8988,-1210.69,1471.19,-97.47
360,-3.8739,1.3639,-1.9335,-695.07,955.57,215.03
370,-3.8730,1.5167,-2.0536,-1413.82,518.25,89.97
380,-3.8721,1.7162,-2.2522,-1851.32,1143.55,1777.22
390,-3.8710,1.9193,-2.4563,-320.07,-277.95,1495.54
400,-3.8700,2.0220,-2.5922,1679.93,1597.47,1385.80
410,-3.8693,1.9414,-2.6423,-1179.44,207.03,-1786.32
420,-3.8687,1.7188,-2.6493,508.06,1785.03,-1786.44
430,-3.8682,1.4662,-2.6713,8.06,893.98,1885.44
440,-3.8678,1.2894,-2.7303,-320.07,-1919.07,291.63
450,-3.8677,1.2408,-2.8187,1054.93,-1481.87,-192.87
460,-3.8673,1.3007,-2.9551,-1163.82,-794.49,369.45
470,-3.8669,1.3832,-3.1686,-1507.57,1752.50,41.08
480,-3.8666,1.3839,-3.4559,1054.93,-1575.44,-756.23
490,-3.8661,1.2577,-3.7504,1148.68,1643.31,-459.90
500,-3.8657,1.0265,-3.9492,992.43,-44.43,758.24
510,-3.8660,0.7327,-4.0000,-601.32,-1498.05,492.25
520,-3.8668,0.4238,-3.9260,1789.31,1.40,820.31
530,-3.8680,0.1381,-3.7610,-1741.94,1469.54,-570.19
540,-3.8690,-0.1113,-3.5317,1679.93,-1406.01,539.49
550,-3.8699,-0.3158,-3.2571,1758.06,-47.12,1414.92
560,-3.8706,-0.4460,-2.9603,-413.82,-891.30,-318.91
570,-3.8711,-0.4777,-2.6702,-1085.69,1092.83,603.58
580,-3.8716,-0.4426,-2.4384,-1132.57,-1766.60,-1536.50
590,-3.8717,-0.3984,-2.2867,-648.19,-94.67,1073.30
600,-3.8717,-0.3649,-2.1816,1008.06,-688.29,1386.11
610,-3.8717,-0.3359,-2.0922,1304.93,764.89,745.73
620,-3.8718,-0.3260,-1.9781,1008.06,218.08,58.41
630,-3.8722,-0.3549,-1.8041,-1726.32,-1188.17,1449.22
640,-3.8727,-0.4240,-1.5940,-1413.82,1093.02,1902.71
650,-3.8732,-0.5282,-1.3851,1742.43,-16.48,-1253.17
660,-3.8735,-0.6595,-1.1877,398.68,-1282.29,-1252.75
670,-3.8738,-0.8024,-1.0172,-413.82,-16.97,1356.99
680,-3.8740,-0.9277,-0.8856,1304.93,1810.91,-783.26
690,-3.8740,-0.9948,-0.7924,1258.06,-1345.58,1748.23
700,-3.8739,-0.9746,-0.7343,679.93,-1408.20,1279.66
710,-3.8738,-0.8711,-0.6842,-741.94,-1970.70,-438.96
720,-3.8735,-0.7217,-0.6344,508.06,435.79,170.53
730,-3.8735,-0.5808,-0.6006,-366.94,-1188.96,1967.47
740,-3.8734,-0.4844,-0.5747,1664.31,-860.53,92.53
750,-3.8734,-0.4425,-0.5397,-1991.94,-1547.85,-1266.78
760,-3.8734,-0.4510,-0.4872,-632.57,-1063.42,-907.35
770,-3.8734,-0.5085,-0.4331,-1726.32,1655.33,1280.27
780,-3.8735,-0.6006,-0.4065,-1085.69,577.09,-828.98
790,-3.8735,-0.6891,-0.4026,-866.94,-16.85,-1625.85
800,-3.8735,-0.7555,-0.4076,-195.07,482.97,-1125.79
810,-3.8735,-0.7888,-0.4175,-695.07,-157.78,-235.23
820,-3.8734,-0.7764,-0.4144,-960.69,-1423.46,1046.02
830,-3.8734,-0.7271,-0.3916,633.06,-1032.78,1014.77
