timestamp_ms,ax,ay,az,gx,gy,gz
0,-3.8450,0.1506,1.0503,-820.07,625.37,-497.99
10,-3.8448,0.0576,1.0851,-710.69,-1562.26,-1185.49
20,-3.8447,0.0211,1.0946,-616.94,-1109.31,892.70
30,-3.8447,0.0295,1.0892,-1288.82,109.38,377.14
40,-3.8448,0.0500,1.0894,-210.69,-578.12,-794.80
50,-3.8448,0.0848,1.1060,-1585.69,-562.44,-1857.30
60,-3.8448,0.1189,1.1193,-1132.57,1562.62,377.14
70,-3.8450,0.1188,1.1025,-773.19,-734.19,-591.61
80,-3.8448,0.0948,1.0646,-788.82,1125.18,1283.39
90,-3.8447,0.0948,1.0204,148.68,265.81,470.83
100,-3.8446,0.1438,0.9630,148.68,-1390.44,455.08
110,-3.8444,0.2313,0.9144,-1585.69,-734.13,673.71
120,-3.8441,0.3112,0.9298,1617.43,1047.30,704.90
130,-3.8442,0.3459,1.0139,-163.82,-983.83,-248.23
140,-3.8445,0.3350,1.1021,289.31,1781.92,-1763.67
150,-3.8448,0.2885,1.1394,-1116.94,1063.11,-857.24
160,-3.8450,0.2203,1.1229,929.93,1844.30,845.95
170,-3.8450,0.1533,1.0913,211.18,-265.20,830.26
180,-3.8450,0.1346,1.1016,-366.94,-312.26,-1560.42
190,-3.8451,0.1705,1.1631,1242.43,1000.24,-279.11
200,-3.8452,0.1904,1.2272,1836.18,875.31,1127.26
210,-3.8453,0.1580,1.2531,383.06,1078.49,33.63
220,-3.8453,0.1063,1.2434,226.81,390.93,189.94
230,-3.8452,0.0730,1.2284,1617.43,-843.57,752.38
240,-3.8451,0.0515,1.2231,1351.81,1234.50,-450.74
250,-3.8448,0.0110,1.2256,-1398.19,562.56,-1013.24
260,-3.8446,-0.0541,1.2300,1414.31,875.00,1752.38
270,-3.8445,-0.1403,1.2274,1086.18,1453.00,-888.24
280,-3.8444,-0.2533,1.2164,-1945.07,1124.69,1877.38
290,-3.8444,-0.3700,1.1960,-413.82,-281.80,1564.82
300,-3.8445,-0.4550,1.1556,648.68,1108.64,-185.18
310,-3.8445,-0.5054,1.0862,1773.68,-63.42,-1169.68
320,-3.8444,-0.5258,0.9852,-679.44,-954.16,33.33
330,-3.8442,-0.5133,0.8699,711.18,-1876.04,439.39
340,-3.8440,-0.4803,0.7565,-1695.07,-641.66,1.65
350,-3.8750,-0.4489,0.6245,-1476.32,842.77,-1779.79
360,-3.8745,-0.4189,0.4657,-1445.07,-47.79,1.16
370,-3.8740,-0.3849,0.3213,-1616.94,-375.85,547.73
380,-3.8737,-0.3466,0.2394,-1257.57,1139.83,-1468.14
390,-3.8734,-0.3127,0.2146,-351.32,-1344.48,1937.93
400,-3.8734,-0.2882,0.2146,-23.19,-516.30,-562.13
410,-3.8734,-0.2675,0.2195,-882.57,-516.24,-1999.63
420,-3.8735,-0.2485,0.2107,1773.68,108.83,-46.45
430,-3.8735,-0.2266,0.1802,195.56,-1016.11,-1437.13
440,-3.8735,-0.2002,0.1388,-991.94,-922.36,-1499.69
450,-3.8735,-0.1637,0.1102,-1616.94,1780.82,-421.63
460,-3.8734,-0.1027,0.1133,-945.07,-1875.37,1156.43
470,-3.8734,-0.0128,0.1532,-1132.57,-1484.62,-1359.19
480,-3.8733,0.0906,0.2218,-1632.57,-375.06,578.37
490,-3.8733,0.1831,0.3036,-398.19,390.75,-233.95
500,-3.8732,0.2488,0.3894,-554.44,-1140.32,-265.08
510,-3.8730,0.2985,0.4866,-148.19,1844.18,-264.89
520,-3.8729,0.3556,0.6022,-1788.82,-1718.20,-295.96
