timestamp_ms,ax,ay,az,gx,gy,gz
0,-3.8727,0.8701,-0.5726,1461.18,-435.79,-1673.03
10,-3.8729,0.8861,-0.6071,-616.94,-1295.23,-454.28
20,-3.8729,0.9436,-0.6782,1429.93,-1701.42,61.28
30,-3.8729,1.0262,-0.7738,789.31,1189.33,1920.53
40,-3.8728,1.0809,-0.8608,-632.57,955.08,-532.78
50,-3.8726,1.0638,-0.9252,-1632.57,1814.58,748.29
60,-3.8726,0.9794,-0.9875,179.93,1580.20,-533.08
70,-3.8726,0.8767,-1.0531,1367.43,1595.64,-548.83
80,-3.8726,0.8057,-1.1051,226.81,1204.83,372.92
90,-3.8728,0.7780,-1.1516,-866.94,-1451.60,-174.07
100,-3.8728,0.7806,-1.2217,-413.82,595.21,-814.76
110,-3.8726,0.7974,-1.3158,-70.07,-373.54,1919.43
120,-3.8722,0.8063,-1.4045,-1929.44,-420.35,1700.50
130,-3.8718,0.7856,-1.4752,-788.82,220.28,809.75
140,-3.8717,0.7247,-1.5370,570.56,-826.60,-784.18
150,-3.8716,0.6417,-1.5924,773.68,-732.97,825.07
160,-3.8717,0.5692,-1.6410,-1851.32,173.10,-456.24
170,-3.8717,0.5145,-1.6880,867.43,1954.22,1121.77
180,-3.8718,0.4720,-1.7297,1867.43,-61.52,-393.98
190,-3.8718,0.4412,-1.7706,429.93,-1405.33,-753.42
200,-3.8718,0.4081,-1.8303,476.81,1360.23,1668.40
210,-3.8719,0.3612,-1.9044,242.43,1719.54,-550.48
220,-3.8716,0.0739,-2.0870,1133.06,-1671.51,1230.35
230,-3.8713,-0.0239,-2.1063,1461.18,859.50,1917.79
240,-3.8711,-0.0765,-2.0977,945.56,-1593.81,1292.72
250,-3.8711,-0.1039,-2.0601,-1788.82,-484.56,-1926.03
260,-3.8712,-0.1144,-2.0188,-1288.82,327.88,152.22
270,-3.8716,-0.1196,-2.0021,1367.43,1609.13,-441.47
280,-3.8717,-0.1495,-2.0128,695.56,-250.24,464.78
290,-3.8718,-0.2283,-2.0183,867.43,-1625.31,1589.78
300,-3.8718,-0.4008,-1.9590,-1210.69,1671.39,-1300.84
310,-3.8717,-0.7330,-1.7957,711.18,1264.83,-1535.10
320,-3.8715,-1.2577,-1.5306,-1820.07,-1829.59,324.58
330,-3.8713,-1.8972,-1.1959,-976.32,91.25,-1502.99
340,-3.8712,-2.4585,-0.8423,1164.31,-1066.22,1825.74
350,-3.8713,-2.7637,-0.5295,1320.56,198.30,-845.40
360,-3.8716,-2.7725,-0.3047,-1741.94,228.94,-1985.41
370,-3.8719,-2.5745,-0.1948,1133.06,1010.19,-969.36
380,-3.8721,-2.2932,-0.2170,-1523.19,-926.94,1749.57
390,-3.8719,-2.0183,-0.3463,-1523.19,229.86,-1750.43
400,-3.8716,-1.7958,-0.5161,1664.31,-316.47,-1531.98
410,-3.8711,-1.6342,-0.6633,-1851.32,1949.58,1920.84
420,-3.8706,-1.5280,-0.7515,-1163.82,-893.86,498.66
430,-3.8704,-1.4712,-0.7770,429.93,-174.87,-1314.03
440,-3.8702,-1.4490,-0.7532,-304.44,559.57,1107.85
450,-3.8705,-1.4388,-0.6991,-1460.69,-393.49,1732.85
460,-3.8710,-1.4222,-0.6445,-163.82,-1471.62,-1110.78
470,-3.8715,-1.3888,-0.6121,1961.18,1512.82,1311.22
480,-3.8719,-1.3395,-0.5964,-1757.57,1669.13,1155.03
490,-3.8724,-1.2723,-0.5941,554.93,-330.75,-79.35
500,-3.8730,-0.8623,-0.7200,164.31,-1908.14,-595.09
510,-3.8728,-0.7789,-0.7959,1633.06,-142.33,264.16
520,-3.8726,-0.7255,-0.8868,304.93,-1860.90,592.16
530,-3.8723,-0.6974,-0.9623,-851.32,-1501.46,1310.73
540,-3.8722,-0.6794,-1.0159,-1257.57,842.35,-642.52
550,-3.8721,-0.6499,-1.0626,1039.31,1983.03,-1267.64
560,-3.8719,-0.5964,-1.1029,820.56,-1.28,1575.99
570,-3.8718,-0.5239,-1.1364,-335.69,-1157.47,747.80
580,-3.8718,-0.4547,-1.1752,945.56,-1438.54,-267.88
590,-3.8717,-0.4137,-1.2380,1804.93,1592.83,-1596.07
600,-3.8716,-0.4089,-1.3209,-945.07,1546.02,1356.93
610,-3.8715,-0.4290,-1.3989,-335.69,-1063.35,513.00
620,-3.8715,-0.4573,-1.4565,1101.81,952.27,-1830.87
630,-3.8716,-0.4652,-1.4918,1476.81,1577.21,-690.37
640,-3.8718,-0.4109,-1.5151,461.18,1061.58,-346.68
