timestamp_ms,ax,ay,az,gx,gy,gz
0,-3.8712,0.1626,-0.3796,-1773.19,-890.32,983.58
10,-3.8712,0.1548,-0.3589,820.56,-593.44,-1453.92
20,-3.8712,0.1533,-0.3254,-179.44,-1937.26,1186.77
30,-3.8713,0.1595,-0.2892,-366.94,-1656.01,-1719.42
40,-3.8715,0.1725,-0.2635,429.93,-1015.32,-344.36
50,-3.8715,0.1908,-0.2596,-1913.82,-1734.07,-1828.67
60,-3.8715,0.2109,-0.2803,429.93,-1234.01,-1844.30
70,-3.8715,0.2264,-0.3191,-991.94,125.37,-563.05
80,-3.8713,0.2324,-0.3517,992.43,-843.32,1499.33
90,-3.8713,0.2277,-0.3539,1758.06,-1015.20,-516.36
100,-3.8712,0.2164,-0.3307,1148.68,-1296.45,577.39
110,-3.8712,0.2069,-0.3060,-288.82,1672.24,452.45
120,-3.8713,0.2031,-0.2902,-1507.57,828.49,-688.11
130,-3.8713,0.2045,-0.2806,-1991.94,-1140.26,1718.14
140,-3.8713,0.2095,-0.2788,-1820.07,78.49,202.58
150,-3.8715,0.2178,-0.2850,-1179.44,312.87,-1016.17
160,-3.8715,0.2284,-0.2919,-116.94,-484.01,-1469.36
170,-3.8715,0.2397,-0.2906,1242.43,-1358.95,-1109.99
180,-3.8715,0.2484,-0.2826,-1304.44,-1202.70,-516.24
190,-3.8713,0.2495,-0.2799,-195.07,-171.45,46.26
200,-3.8713,0.2412,-0.2886,-54.44,172.30,327.58
210,-3.8713,0.2247,-0.3010,-1116.94,-937.07,468.14
220,-3.8713,0.2046,-0.3055,773.68,1469.18,718.14
230,-3.8713,0.1875,-0.2974,-1804.44,890.99,983.76
240,-3.8713,0.1787,-0.2821,8.06,1937.87,827.51
250,-3.8715,0.1787,-0.2667,-1116.94,-109.07,-63.11
260,-3.8715,0.1835,-0.2545,-1116.94,1859.68,-1359.92
270,-3.8715,0.1902,-0.2483,-507.57,-577.82,1593.20
280,-3.8715,0.1968,-0.2524,351.81,219.12,1343.26
290,-3.8715,0.2007,-0.2710,1195.56,-312.13,-1781.80
300,-3.8715,0.1998,-0.2915,1695.56,1312.87,-266.17
310,-3.8713,0.1948,-0.2988,1586.18,-1312.13,1265.01
320,-3.8713,0.1895,-0.2919,945.56,1750.37,-1797.49
330,-3.8713,0.1860,-0.2764,258.06,-1359.01,1561.89
340,-3.8715,0.1826,-0.2648,-179.44,625.31,-313.05
350,-3.8715,0.1774,-0.2699,-616.94,-1890.32,-1891.17
360,-3.8715,0.1693,-0.2898,-1288.82,1453.43,1671.33
370,-3.8715,0.1602,-0.3132,1679.93,-1093.44,-1563.11
380,-3.8715,0.1550,-0.3282,508.06,-93.44,-94.42
390,-3.8713,0.1562,-0.3241,-148.19,1984.62,1124.33
400,-3.8713,0.1653,-0.3000,8.06,-1484.07,1155.58
410,-3.8715,0.1841,-0.2708,1164.31,1594.06,-516.24
420,-3.8715,0.2065,-0.2567,-429.44,1344.06,1171.33
430,-3.8715,0.2229,-0.2688,-1554.44,-859.01,61.95
440,-3.8715,0.2246,-0.2975,539.31,1594.18,983.83
450,-3.8715,0.2048,-0.3207,758.06,1922.30,-641.24
460,-3.8713,0.1692,-0.3212,-1773.19,-1046.51,1624.33
470,-3.8713,0.1340,-0.2957,1664.31,-1109.07,-1516.30
480,-3.8713,0.1132,-0.2627,1164.31,-1843.51,1811.89
490,-3.8713,0.1122,-0.2444,-1507.57,-1624.82,77.58
500,-3.8715,0.1268,-0.2488,-1632.57,718.93,-1734.86
510,-3.8715,0.1504,-0.2743,242.43,156.49,1483.89
520,-3.8715,0.1726,-0.3075,-741.94,890.87,-1516.17
530,-3.8713,0.1824,-0.3276,-1898.19,640.93,921.26
540,-3.8713,0.1772,-0.3243,-648.19,-1937.19,-641.30
550,-3.8712,0.1642,-0.3035,-1304.44,-1515.32,452.45
560,-3.8713,0.1521,-0.2808,1023.68,1156.56,-281.86
570,-3.8713,0.1473,-0.2717,-523.19,62.74,-1984.92
580,-3.8713,0.1527,-0.2795,-1132.57,1218.99,561.95
