timestamp_ms,ax,ay,az,gx,gy,gz
0,-3.8684,1.4430,-0.1205,554.93,955.93,-1328.37
10,-3.8682,1.4866,-0.1259,711.18,580.93,1468.51
20,-3.8680,1.5487,-0.1350,-1710.69,-106.51,-1953.43
30,-3.8679,1.6022,-0.1719,-1757.57,-1278.26,-1781.56
40,-3.8677,1.6096,-0.2687,1086.18,-1996.89,374.63
50,-3.8674,1.5475,-0.4183,-1960.69,1612.49,-63.05
60,-3.8668,1.4354,-0.5857,-1913.82,-1543.88,-1016.48
70,-3.8661,1.3009,-0.7288,-257.57,1034.00,-1548.03
80,-3.8654,1.1440,-0.8074,-1476.32,-1278.75,686.04
90,-3.8650,0.9684,-0.8292,-1554.44,658.45,-251.59
100,-3.8649,0.7933,-0.8408,-38.82,1861.21,-1204.77
110,-3.8651,0.6322,-0.8578,1554.93,376.53,1717.10
120,-3.8656,0.4941,-0.8634,929.93,-1795.65,795.17
130,-3.8662,0.3829,-0.8527,-741.94,1485.29,373.29
140,-3.8669,0.2848,-0.8442,1023.68,-1139.89,-611.08
150,-3.8676,0.1873,-0.8436,461.18,-61.95,-298.58
160,-3.8680,0.0898,-0.8368,-23.19,15.93,1404.60
170,-3.8687,-0.0033,-0.8157,-491.94,890.75,-642.27
180,-3.8691,-0.0778,-0.7941,-413.82,-390.69,326.48
190,-3.8699,-0.1350,-0.7969,-1945.07,-1625.18,-407.84
200,-3.8705,-0.2100,-0.8097,-1273.19,-1984.68,170.29
210,-3.8713,-0.3322,-0.7947,1133.06,374.57,-1407.84
220,-3.8721,-0.4875,-0.7531,1492.43,-1703.80,1873.41
230,-3.8727,-0.6307,-0.7061,1601.81,-375.98,514.10
240,-3.8733,-0.7197,-0.6580,-726.32,1639.34,-704.53
250,-3.8737,-0.7299,-0.6078,-116.94,-204.59,-1516.97
260,-3.8739,-0.6757,-0.5681,-1413.82,-1782.71,795.65
270,-3.8743,-0.6022,-0.5367,1523.68,-704.47,-1032.41
280,-3.8746,-0.5376,-0.4991,-1070.07,-688.72,-438.60
290,-3.8750,-0.4761,-0.4620,-804.44,123.90,-32.23
300,-3.8440,-0.4025,-0.4303,-929.44,874.02,1217.83
310,-3.8444,-0.3173,-0.3840,492.43,936.71,-1282.10
320,-3.8447,-0.2373,-0.3115,-601.32,-1141.30,-16.42
330,-3.8450,-0.1771,-0.2297,1633.06,140.14,1483.76
340,-3.8453,-0.1313,-0.1587,1336.18,-1390.99,-547.36
350,-3.8456,-0.0822,-0.1097,-804.44,-297.18,-312.87
360,-3.8456,-0.0068,-0.0922,1492.43,1968.57,609.13
370,-3.8456,0.1083,-0.0883,-866.94,218.69,1749.82
380,-3.8456,0.2493,-0.0615,1867.43,703.31,-265.81
390,-3.8456,0.3901,0.0028,-85.69,125.43,-1297.00
400,-3.8457,0.5126,0.0900,1945.56,360.11,-1828.12
410,-3.8458,0.6047,0.1782,1617.43,-483.40,968.87
420,-3.8459,0.6686,0.2584,1414.31,-1186.34,-1187.19
430,-3.8458,0.7258,0.3083,1586.18,1079.41,-1280.76
440,-3.8455,0.8101,0.3065,914.31,-529.85,1109.92
450,-3.8450,0.9401,0.2627,-304.44,-764.10,609.92
460,-3.8445,1.1021,0.2041,336.18,1626.83,-874.51
470,-3.8440,1.2582,0.1658,1070.56,-1872.86,-124.63
480,-3.8749,1.3441,0.1779,1054.93,1221.19,-93.44
490,-3.8745,1.3125,0.2241,54.93,-1231.75,-1218.44
500,-3.8740,1.2012,0.2382,8.06,690.06,1047.30
510,-3.8735,1.0970,0.1803,1758.06,-1513.31,-1233.95
520,-3.8729,1.0731,0.0947,429.93,-919.74,672.18
530,-3.8726,1.1663,0.0619,1367.43,127.08,-312.32
540,-3.8722,1.3472,0.1089,1289.31,-75.87,-1843.69
550,-3.8721,1.5389,0.1935,445.56,1940.12,-406.07
560,-3.8719,1.6727,0.2455,992.43,768.62,1672.24
570,-3.8718,1.7141,0.2328,-1882.57,-574.89,-1796.45
580,-3.8715,1.6957,0.1904,-585.69,1800.17,-937.07
590,-3.8708,1.6991,0.1500,1054.93,378.30,-77.76
600,-3.8701,1.7712,0.1050,1492.43,-793.58,-15.38
610,-3.8694,1.8739,0.0591,-1273.19,1440.92,1687.68
620,-3.8689,1.9224,0.0366,-132.57,-433.90,1218.81
630,-3.8687,1.8774,0.0275,-1929.44,691.22,-1078.06
640,-3.8684,1.7704,-0.0220,320.56,-480.71,-375.00
650,-3.8679,1.6460,-0.1283,-1382.57,1190.92,765.56
660,-3.8674,1.5343,-0.2526,-1304.44,-418.70,-1578.43
670,-3.8668,1.4525,-0.3804,398.68,-325.13,-1953.67
680,-3.8662,1.3956,-0.5248,1929.93,-684.69,655.46
690,-3.8658,1.3322,-0.6691,-1351.32,830.81,-1641.66
700,-3.8656,1.2357,-0.7784,-1476.32,-1638.06,-173.22
710,-3.8652,1.1058,-0.8643,-1820.07,361.76,1826.60
720,-3.8649,0.9547,-0.9678,1554.93,1377.14,1701.42
730,-3.8645,0.7991,-1.0807,-1788.82,126.83,779.36
740,-3.8644,0.6450,-1.1703,-1710.69,1673.40,-1017.76
750,-3.8645,0.4818,-1.2139,-1429.44,-1795.65,-392.94
760,-3.8649,0.3204,-1.2107,1679.93,625.92,1622.62
770,-3.8655,0.1947,-1.1987,1023.68,1031.86,1481.99
780,-3.8662,0.1118,-1.1864,929.93,-1437.13,-783.63
790,-3.8668,0.0614,-1.1469,-1679.44,140.81,232.06
800,-3.8676,0.0364,-1.0883,-132.57,1203.19,1091.49
810,-3.8683,0.0143,-1.0353,664.31,703.19,-1658.39
820,-3.8689,-0.0426,-1.0009,1836.18,-515.62,1138.55
830,-3.8695,-0.1482,-0.9832,-1445.07,-93.87,-1314.51
840,-3.8700,-0.2761,-0.9738,1039.31,-1828.43,-17.58
850,-3.8702,-0.3928,-0.9783,664.31,-625.55,279.30
860,-3.8706,-0.4883,-0.9968,1726.81,-1203.92,498.05
870,-3.8711,-0.5669,-1.0049,1508.06,420.90,1873.05
880,-3.8716,-0.6273,-0.9835,-554.44,-610.53,747.99
890,-3.8722,-0.6533,-0.9305,-288.82,-1876.28,-830.08
900,-3.8727,-0.6294,-0.8435,383.06,904.97,-1408.08
910,-3.8732,-0.5610,-0.7350,-554.44,45.59,-220.40
920,-3.8735,-0.4640,-0.6427,195.56,1936.40,-1470.21
930,-3.8739,-0.3586,-0.5895,617.43,1749.08,1311.22
940,-3.8744,-0.2684,-0.5540,-1898.19,561.77,-1126.16
950,-3.8749,-0.2092,-0.4990,1648.68,1108.83,-813.60
960,-3.8441,-0.1802,-0.4117,1226.81,140.20,-0.98
970,-3.8445,-0.1671,-0.3069,945.56,-687.87,-1047.73
