timestamp_ms,ax,ay,az,gx,gy,gz
0,-3.8715,0.7432,-0.3842,-148.19,298.28,-1625.85
10,-3.8716,0.7357,-0.3604,-866.94,-1170.47,-1938.29
20,-3.8717,0.7194,-0.3550,-1820.07,1876.40,1546.14
30,-3.8718,0.6949,-0.3577,86.18,-1436.10,1311.77
40,-3.8719,0.6659,-0.3699,961.18,-1779.91,889.89
50,-3.8722,0.6366,-0.3948,1242.43,657.53,-125.73
60,-3.8723,0.6095,-0.4393,1492.43,1469.97,-1485.17
70,-3.8724,0.5743,-0.4960,-1976.32,-233.22,952.21
80,-3.8727,0.5255,-0.5453,1523.68,516.72,-485.35
90,-3.8728,0.4730,-0.5784,-726.32,-1795.90,-1469.85
100,-3.8729,0.4252,-0.5894,554.93,1969.67,1936.34
110,-3.8730,0.3882,-0.5778,-1570.07,563.29,1498.84
120,-3.8732,0.3655,-0.5566,1695.56,-1952.39,889.47
130,-3.8733,0.3524,-0.5422,-1210.69,750.67,483.28
140,-3.8734,0.3387,-0.5433,1117.43,-1405.58,1202.03
150,-3.8735,0.3104,-0.5530,-632.57,-1546.26,-1282.35
160,-3.8735,0.2633,-0.5587,-257.57,1219.30,217.65
170,-3.8737,0.2094,-0.5654,1711.18,484.86,1342.65
180,-3.8738,0.1610,-0.5885,-1195.07,-374.63,1561.34
190,-3.8739,0.1227,-0.6310,617.43,672.18,717.59
200,-3.8741,0.0897,-0.6709,-288.82,-765.44,-438.78
210,-3.8743,0.0557,-0.6776,-507.57,-1874.88,-954.47
220,-3.8744,0.0216,-0.6433,-866.94,1265.69,-907.59
230,-3.8745,-0.0033,-0.5881,-1226.32,1656.25,-1220.03
240,-3.8746,-0.0126,-0.5393,-413.82,734.31,701.97
250,-3.8749,-0.0128,-0.5234,-1601.32,-1015.69,561.40
260,-3.8439,-0.0249,-0.5443,-1632.57,1015.56,139.59
270,-3.8442,-0.0706,-0.5555,820.56,-1656.31,-1063.60
280,-3.8446,-0.1481,-0.5149,-1023.19,906.07,-1141.72
290,-3.8450,-0.2310,-0.4451,1054.93,-1890.93,-1829.16
300,-3.8453,-0.3115,-0.3960,-1554.44,-953.61,-500.92
310,-3.8456,-0.4150,-0.3965,133.06,1327.51,1452.33
320,-3.8459,-0.5353,-0.4355,-1116.94,1264.77,-1469.54
330,-3.8463,-0.6207,-0.4725,-507.57,264.53,-1125.85
340,-3.8467,-0.6449,-0.4789,554.93,-469.97,1920.90
350,-3.8472,-0.6259,-0.4532,1461.18,-1282.53,-454.10
360,-3.8475,-0.5974,-0.4075,-101.32,1998.72,-1563.42
370,-3.8478,-0.6173,-0.3436,-460.69,-141.85,374.15
380,-3.8480,-0.6912,-0.2561,992.43,30.03,-1906.92
390,-3.8481,-0.7736,-0.1560,-460.69,-767.03,-469.30
400,-3.8481,-0.8568,-0.0867,992.43,45.35,-640.93
410,-3.8480,-0.9459,-0.0555,-1663.82,920.17,952.94
420,-3.8480,-1.0284,-0.0270,-1070.07,904.36,-1047.00
430,-3.8479,-1.0790,-0.0012,367.43,560.49,312.44
440,-3.8479,-1.1277,-0.0107,1898.68,-142.76,1640.56
450,-3.8478,-1.1857,-0.0536,-335.69,-1361.63,171.81
460,-3.8478,-1.2336,-0.0902,242.43,1153.93,-1078.25
470,-3.8478,-1.2618,-0.1151,-1898.19,466.31,-422.06
480,-3.8478,-1.2614,-0.1498,-1507.57,1278.75,-172.12
490,-3.8477,-1.2345,-0.1913,-1445.07,841.25,1530.94
500,-3.8475,-1.1862,-0.2241,1992.43,-471.19,921.45
510,-3.8474,-1.1398,-0.2458,179.93,-674.19,-1406.74
520,-3.8472,-1.0929,-0.2633,-1882.57,544.62,1030.76
530,-3.8470,-1.0397,-0.2839,117.43,-1689.64,1640.08
540,-3.8470,-0.9846,-0.2981,-1070.07,-330.20,-16.24
550,-3.8469,-0.9410,-0.2963,1976.81,1857.42,858.76
