timestamp_ms,ax,ay,az,gx,gy,gz
0,-3.8711,0.0962,0.0011,-398.19,-109.25,1656.19
10,-3.8711,0.1050,0.0038,320.56,140.81,1531.25
20,-3.8711,0.1141,0.0066,1445.56,484.56,1562.50
30,-3.8711,0.1233,0.0095,-1382.57,843.93,1593.75
40,-3.8711,0.1305,0.0109,-210.69,1218.93,1640.62
50,-3.8711,0.1349,0.0096,711.18,1390.87,1515.62
60,-3.8711,0.1368,0.0055,1273.68,1234.62,1078.12
70,-3.8711,0.1378,0.0006,1523.68,703.37,781.25
80,-3.8711,0.1411,0.0006,1648.68,78.37,953.12
90,-3.8711,0.1443,0.0078,-1929.44,78.37,1187.50
100,-3.8711,0.1415,0.0157,-1523.19,1000.24,1234.38
110,-3.8711,0.1293,0.0172,-1882.57,-1984.13,1281.25
120,-3.8711,0.1097,0.0123,554.93,-1796.63,1546.88
130,-3.8711,0.0885,0.0081,-1945.07,1578.31,1953.12
140,-3.8711,0.0717,0.0090,-663.82,1031.37,-1687.50
150,-3.8711,0.0630,0.0129,1179.93,1156.37,-1359.38
160,-3.8711,0.0609,0.0154,70.56,1656.37,-1218.75
170,-3.8711,0.0621,0.0182,-195.07,1968.81,-1015.62
180,-3.8711,0.0648,0.0240,-38.82,-1671.81,-406.25
190,-3.8710,0.0662,0.0289,304.93,-921.75,109.38
200,-3.8710,0.0656,0.0289,476.81,-296.75,265.62
210,-3.8710,0.0654,0.0261,398.68,-296.75,265.62
220,-3.8711,0.0670,0.0243,383.06,-656.13,-62.50
230,-3.8711,0.0687,0.0229,586.18,-890.50,-875.00
240,-3.8711,0.0696,0.0210,804.93,-1062.38,-1968.75
250,-3.8711,0.0701,0.0193,914.31,-1312.38,1046.88
260,-3.8711,0.0695,0.0178,976.81,-1531.13,265.62
270,-3.8712,0.0674,0.0160,898.68,-1718.63,-500.00
280,-3.8712,0.0663,0.0140,633.06,-1953.00,-1140.62
290,-3.8712,0.0695,0.0116,492.43,1797.00,-1546.88
300,-3.8712,0.0780,0.0107,898.68,1484.50,-1703.12
310,-3.8712,0.0889,0.0118,1992.43,1375.12,1953.12
320,-3.8712,0.1016,0.0114,-616.94,1515.75,1421.88
330,-3.8712,0.1168,0.0098,1008.06,1453.31,812.50
340,-3.8713,0.1318,0.0089,-1038.82,1250.18,-15.62
350,-3.8713,0.1486,0.0061,883.06,1140.87,-906.25
360,-3.8713,0.1669,0.0011,-976.32,781.49,-1500.00
370,-3.8713,0.1791,-0.0006,1367.43,140.93,-1765.62
380,-3.8713,0.1803,-0.0006,-1070.07,-77.82,-1515.69
390,-3.8713,0.1744,0.0006,-913.82,-77.82,-828.19
400,-3.8713,0.1664,0.0051,-1663.82,78.43,-515.62
410,-3.8713,0.1575,0.0092,1304.93,656.56,-421.88
420,-3.8713,0.1484,0.0116,164.31,1172.18,-31.25
430,-3.8712,0.1399,0.0160,-991.94,1484.62,859.38
440,-3.8712,0.1333,0.0216,1914.31,-1952.88,-1921.88
450,-3.8712,0.1327,0.0225,1070.56,-1234.13,-1015.62
460,-3.8712,0.1382,0.0186,992.43,-1124.76,-750.00
470,-3.8712,0.1442,0.0165,1695.56,-1624.76,-781.25
480,-3.8712,0.1467,0.0183,-1538.82,-1890.38,-875.00
490,-3.8712,0.1454,0.0216,-1210.69,-1656.01,-796.88
