timestamp_ms,ax,ay,az,gx,gy,gz
0,-3.8716,0.1904,-0.1305,1820.56,562.81,-219.06
10,-3.8715,0.2109,-0.0924,383.06,-702.76,-890.93
20,-3.8713,0.2305,-0.0490,-991.94,172.24,-843.93
30,-3.8712,0.2474,-0.0074,1508.06,1734.80,-390.75
40,-3.8711,0.2582,0.0227,-320.07,-952.70,-718.81
50,-3.8710,0.2623,0.0342,1054.93,-1093.26,1062.50
60,-3.8710,0.2615,0.0244,1586.18,375.49,750.06
70,-3.8711,0.2566,-0.0017,1476.81,-874.51,-1281.25
80,-3.8712,0.2467,-0.0304,851.81,-218.26,-593.81
90,-3.8713,0.2379,-0.0577,-413.82,109.80,-734.44
100,-3.8715,0.2419,-0.0890,-1538.82,609.80,-718.87
110,-3.8715,0.2566,-0.1130,-1023.19,609.80,718.57
120,-3.8715,0.2676,-0.1093,851.81,1531.74,62.26
130,-3.8715,0.2717,-0.0785,-1741.94,-1983.89,671.63
140,-3.8715,0.2815,-0.0442,-1210.69,1953.61,1952.94
150,-3.8715,0.3022,-0.0178,39.31,-1655.70,-15.75
160,-3.8713,0.3267,0.0034,-1304.44,1719.30,-1562.56
170,-3.8712,0.3499,0.0184,1820.56,438.11,375.00
180,-3.8712,0.3684,0.0270,789.31,-1639.95,1281.25
190,-3.8712,0.3794,0.0300,-835.69,-546.20,921.88
200,-3.8713,0.3868,0.0214,570.56,-155.52,-593.75
210,-3.8713,0.3923,0.0022,1523.68,-1264.89,-1718.75
220,-3.8713,0.3845,-0.0115,-1773.19,281.98,-1984.38
230,-3.8713,0.3571,-0.0118,1226.81,-1468.02,1484.31
240,-3.8713,0.3192,-0.0052,1711.18,-1514.95,703.06
250,-3.8715,0.2795,-0.0043,867.43,-671.26,-171.94
260,-3.8715,0.2419,-0.0145,-210.69,-546.39,-1640.69
270,-3.8715,0.2101,-0.0266,-1023.19,-1858.95,640.56
280,-3.8716,0.1909,-0.0314,-1101.32,594.12,-906.31
290,-3.8716,0.1927,-0.0272,445.56,-15.26,-1640.75
300,-3.8716,0.2134,-0.0123,679.93,515.99,-593.81
310,-3.8715,0.2404,0.0127,-679.44,-1577.76,1906.19
320,-3.8713,0.2642,0.0436,-1226.32,1625.43,1234.38
330,-3.8712,0.2784,0.0782,1820.56,1578.61,1421.94
340,-3.8711,0.2838,0.1132,-351.32,-1983.89,1750.12
350,-3.8710,0.2889,0.1443,336.18,-1515.08,1734.56
360,-3.8708,0.2972,0.1736,992.43,-1530.70,1140.87
370,-3.8708,0.3074,0.1996,-1945.07,-1780.70,-1062.19
380,-3.8708,0.3248,0.2141,-648.19,1547.42,-1312.13
390,-3.8708,0.3538,0.2148,1586.18,-593.14,1000.37
400,-3.8710,0.3877,0.2092,1289.31,-499.33,-1359.01
410,-3.8710,0.4182,0.2029,1633.06,-1218.02,15.99
420,-3.8711,0.4387,0.1989,1539.31,1969.54,1390.99
430,-3.8712,0.4487,0.1978,164.31,1453.98,-1437.13
440,-3.8713,0.4546,0.1915,1445.56,1313.35,-593.38
450,-3.8713,0.4565,0.1785,-1804.44,516.48,750.37
460,-3.8715,0.4441,0.1696,-1554.44,-1155.40,-1077.82
470,-3.8715,0.4194,0.1702,851.81,1703.98,1469.06
480,-3.8715,0.3976,0.1808,1695.56,1782.04,969.06
490,-3.8715,0.3839,0.1995,-1101.32,-858.64,1406.56
500,-3.8715,0.3809,0.2173,1148.68,1531.98,1875.37
510,-3.8715,0.3896,0.2338,758.06,-186.77,-890.26
520,-3.8713,0.3979,0.2557,1883.06,1922.61,1250.43
530,-3.8713,0.3954,0.2781,-1054.44,735.11,-937.01
540,-3.8712,0.3860,0.2930,-1382.57,-405.52,719.24
550,-3.8712,0.3723,0.3009,1414.31,1500.73,-1436.95
560,-3.8712,0.3516,0.3030,-335.69,-1483.70,-77.58
570,-3.8711,0.3235,0.3019,1008.06,-1218.08,406.80
580,-3.8711,0.2902,0.3018,1414.31,-1358.76,188.05
590,-3.8712,0.2546,0.3027,1148.68,-1374.45,-374.45
600,-3.8712,0.2212,0.3040,601.81,-1249.51,-936.95
610,-3.8712,0.1973,0.3068,320.56,-1093.32,-858.83
620,-3.8712,0.1874,0.3103,1258.06,-734.01,-202.58
630,-3.8711,0.1929,0.3105,-7.57,-280.94,141.17
640,-3.8712,0.2164,0.3083,695.56,-249.63,-46.33
650,-3.8712,0.2527,0.3116,-288.82,-530.88,-202.58
660,-3.8712,0.2902,0.3235,351.81,-108.89,-140.08
670,-3.8712,0.3245,0.3412,1148.68,1406.80,-249.39
680,-3.8712,0.3557,0.3628,1539.31,-327.51,-311.89
690,-3.8712,0.3781,0.3835,1539.31,-1561.83,-374.33
700,-3.8712,0.3875,0.3953,398.68,1094.48,-796.14
710,-3.8712,0.3906,0.3912,1601.81,-1405.52,-1733.64
720,-3.8712,0.3958,0.3749,-1991.94,-1921.14,1063.23
730,-3.8712,0.4012,0.3600,-1335.69,-14.89,110.05
740,-3.8713,0.3995,0.3550,-632.57,-1921.14,-749.33
750,-3.8713,0.3896,0.3597,-851.32,1438.23,-1483.70
760,-3.8713,0.3744,0.3695,1883.06,-1952.39,1985.05
770,-3.8713,0.3602,0.3784,-70.07,-702.45,1688.17
780,-3.8713,0.3533,0.3868,-1882.57,438.17,1906.98
790,-3.8713,0.3489,0.3972,1226.81,1516.30,-1311.77
800,-3.8713,0.3386,0.4065,664.31,-1155.58,-108.64
810,-3.8712,0.3185,0.4116,-648.19,31.86,1250.79
820,-3.8712,0.2894,0.4122,773.68,688.11,-1499.21
830,-3.8712,0.2583,0.4105,1054.93,766.17,-358.58
840,-3.8711,0.2338,0.4092,1070.56,547.36,719.54
850,-3.8711,0.2229,0.4095,1929.93,375.43,1563.29
860,-3.8711,0.2295,0.4146,539.31,422.30,-1608.58
870,-3.8711,0.2506,0.4253,1383.06,1062.93,-467.96
880,-3.8710,0.2797,0.4354,86.18,-1562.01,907.04
890,-3.8710,0.3063,0.4395,-195.07,-265.14,-1999.21
900,-3.8710,0.3236,0.4401,-788.82,250.55,-1780.40
910,-3.8710,0.3301,0.4421,1429.93,328.74,1735.23
920,-3.8710,0.3286,0.4460,-1741.94,594.36,1219.60
930,-3.8710,0.3253,0.4469,-1929.44,1094.36,813.35
940,-3.8710,0.3252,0.4425,1648.68,1203.74,266.48
950,-3.8711,0.3273,0.4382,1633.06,641.24,-655.40
960,-3.8711,0.3262,0.4371,1898.68,94.36,-1655.40
970,-3.8711,0.3176,0.4392,1758.06,-46.26,1594.54
