timestamp_ms,ax,ay,az,gx,gy,gz
0,-3.8708,-0.2413,0.2316,1336.18,-703.55,1922.30
10,-3.8708,-0.2633,0.2130,1117.43,1655.76,-1374.57
20,-3.8708,-0.2765,0.1932,-1695.07,-719.30,-812.13
30,-3.8708,-0.2823,0.1775,617.43,749.45,-171.51
40,-3.8708,-0.2788,0.1667,-132.57,-1266.24,-343.44
50,-3.8708,-0.2687,0.1584,320.56,1358.83,1937.81
60,-3.8710,-0.2563,0.1514,1617.43,296.33,-1562.19
70,-3.8711,-0.2450,0.1442,-804.44,-609.92,1609.62
80,-3.8712,-0.2323,0.1345,648.68,-1531.74,359.62
90,-3.8715,-0.2203,0.1239,-1726.32,1233.89,-468.51
100,-3.8715,-0.2156,0.1150,-195.07,-125.49,47.06
110,-3.8716,-0.2216,0.1075,414.31,-1266.05,-1421.69
120,-3.8716,-0.2330,0.1000,-351.32,1780.76,-1546.69
130,-3.8716,-0.2432,0.0930,-1820.07,812.01,-1359.19
140,-3.8716,-0.2490,0.0884,883.06,-78.61,-1078.00
150,-3.8716,-0.2483,0.0836,133.06,-672.36,-874.88
160,-3.8716,-0.2416,0.0757,226.81,-1281.74,-562.38
170,-3.8715,-0.2350,0.0638,1086.18,1702.64,47.00
180,-3.8715,-0.2314,0.0496,1929.93,187.01,703.25
190,-3.8715,-0.2229,0.0367,-1616.94,-1641.11,812.56
200,-3.8715,-0.2018,0.0288,-523.19,718.26,343.81
210,-3.8715,-0.1689,0.0298,-1820.07,-297.30,328.12
220,-3.8715,-0.1340,0.0404,-1616.94,-172.24,1093.75
230,-3.8715,-0.1044,0.0573,-1148.19,1187.19,-1890.56
240,-3.8715,-0.0801,0.0785,-1351.32,-656.49,-781.19
250,-3.8713,-0.0581,0.1030,1758.06,-1937.68,640.75
260,-3.8713,-0.0317,0.1267,570.56,1203.00,-1984.19
270,-3.8713,0.0017,0.1455,-54.44,234.25,-1031.01
280,-3.8712,0.0361,0.1630,226.81,-1375.00,218.99
290,-3.8712,0.0616,0.1870,633.06,859.44,-1562.19
300,-3.8711,0.0720,0.2141,-101.32,-62.44,1031.56
310,-3.8711,0.0671,0.2321,1226.81,-593.63,-609.01
320,-3.8710,0.0562,0.2349,601.81,1703.25,1266.05
330,-3.8710,0.0508,0.2255,-804.44,-1937.44,-1765.20
340,-3.8710,0.0580,0.2130,-1491.94,859.44,-1921.45
350,-3.8710,0.0790,0.2084,-570.07,-734.31,1344.12
360,-3.8710,0.1034,0.2159,-1882.57,-1328.00,1140.99
370,-3.8710,0.1195,0.2277,1242.43,-359.19,-1734.01
380,-3.8708,0.1223,0.2343,-695.07,1140.81,344.18
390,-3.8708,0.1156,0.2351,-335.69,1984.56,-1608.95
400,-3.8708,0.1102,0.2327,-1195.07,-1906.07,-358.95
410,-3.8708,0.1145,0.2278,-1882.57,1781.43,-140.20
420,-3.8708,0.1295,0.2213,-1335.69,1156.43,-374.57
430,-3.8708,0.1500,0.2174,586.18,328.37,-687.07
440,-3.8708,0.1715,0.2184,-788.82,-171.63,-1124.63
450,-3.8708,0.1920,0.2234,1961.18,-46.57,-1687.13
460,-3.8708,0.2094,0.2330,586.18,594.12,-1858.95
470,-3.8708,0.2233,0.2460,-1195.07,1828.49,-1327.70
480,-3.8708,0.2354,0.2560,586.18,-515.20,-405.82
490,-3.8708,0.2485,0.2582,-1866.94,766.05,-93.26
500,-3.8708,0.2623,0.2563,-179.44,1047.30,-921.39
510,-3.8708,0.2716,0.2571,1586.18,812.99,1719.24
520,-3.8708,0.2748,0.2609,-1226.32,906.74,516.11
530,-3.8710,0.2753,0.2607,-820.07,1391.11,-30.76
540,-3.8710,0.2744,0.2518,-757.57,1375.49,-62.01
550,-3.8708,0.2705,0.2380,-866.94,234.86,47.36
560,-3.8708,0.2612,0.2274,-1366.94,-1530.76,344.18
570,-3.8708,0.2457,0.2230,1445.56,1109.86,906.68
580,-3.8708,0.2281,0.2201,-538.82,547.30,1484.80
590,-3.8708,0.2148,0.2124,1211.18,172.30,1594.18
600,-3.8708,0.2113,0.2012,-491.94,-812.13,1390.99
610,-3.8708,0.2168,0.1926,-945.07,1750.37,1328.49
620,-3.8708,0.2233,0.1920,-241.94,656.62,1734.74
630,-3.8708,0.2223,0.1963,586.18,578.55,-796.51
640,-3.8707,0.2133,0.1998,461.18,1125.43,1969.12
650,-3.8706,0.1990,0.2053,-695.07,1578.49,1344.12
660,-3.8705,0.1805,0.2155,1476.81,-1718.38,234.74
670,-3.8705,0.1587,0.2268,-882.57,-421.57,1844.12
680,-3.8705,0.1379,0.2340,320.56,1031.56,1953.55
690,-3.8705,0.1261,0.2341,1664.31,1953.37,578.55
700,-3.8706,0.1271,0.2255,148.68,1968.99,1781.68
710,-3.8707,0.1398,0.2135,273.68,859.62,-1624.57
720,-3.8708,0.1564,0.2101,1898.68,-671.63,-499.63
730,-3.8708,0.1714,0.2179,23.68,-1109.07,1344.12
740,-3.8708,0.1835,0.2325,1945.56,-109.07,109.74
750,-3.8710,0.1874,0.2482,-507.57,1765.93,-171.45
760,-3.8710,0.1821,0.2565,-7.57,-234.07,-515.20
770,-3.8710,0.1776,0.2566,-679.44,828.43,-1562.01
780,-3.8710,0.1853,0.2526,-1257.57,844.06,1203.61
790,-3.8710,0.2041,0.2428,-273.19,328.43,312.99
800,-3.8711,0.2242,0.2285,-1866.94,-921.51,-468.32
810,-3.8711,0.2360,0.2151,711.18,1250.43,-1405.82
820,-3.8711,0.2383,0.2041,-1788.82,-468.32,1765.99
830,-3.8711,0.2411,0.1958,-1491.94,-1874.57,1344.12
840,-3.8711,0.2552,0.1891,-1132.57,1062.93,906.62
850,-3.8711,0.2810,0.1819,679.93,203.61,297.24
860,-3.8712,0.3130,0.1741,-23.19,-718.26,-187.19
870,-3.8712,0.3453,0.1664,70.56,-1718.14,-515.32
880,-3.8712,0.3717,0.1625,211.18,1297.55,-359.07
890,-3.8711,0.3918,0.1666,-413.82,797.55,453.43
900,-3.8711,0.4142,0.1807,-1835.69,1328.86,1531.56
910,-3.8711,0.4480,0.1945,1023.68,-874.21,-1827.82
920,-3.8711,0.4873,0.1904,1351.81,891.48,1562.87
930,-3.8712,0.5165,0.1620,-1616.94,375.92,-1249.63
940,-3.8713,0.5312,0.1174,-1882.57,735.35,1750.31
950,-3.8716,0.5326,0.0735,8.06,-967.71,-234.19
960,-3.8717,0.5255,0.0421,179.93,1407.29,-1406.13
970,-3.8718,0.5195,0.0275,-726.32,1391.60,-421.81
980,-3.8718,0.5176,0.0289,-1491.94,-483.40,-1406.25
990,-3.8718,0.5189,0.0399,-1741.94,-295.90,-1375.00
1000,-3.8718,0.5209,0.0516,-1570.07,1110.35,-1249.94
1010,-3.8718,0.5179,0.0553,-1320.07,-1389.65,-1296.81
1020,-3.8718,0.5084,0.0487,-1695.07,-920.90,-1734.31
1030,-3.8718,0.4977,0.0367,1086.18,-1764.65,1046.94
1040,-3.8719,0.4912,0.0278,-288.82,704.04,-421.81
1050,-3.8719,0.4911,0.0272,-1116.94,-436.58,-1156.25
1060,-3.8719,0.4969,0.0312,-1132.57,-514.71,-921.88
