timestamp_ms,ax,ay,az,gx,gy,gz
0,-3.8711,0.0016,0.0387,-1507.57,1390.56,1156.31
10,-3.8711,0.0181,0.0325,211.18,953.12,1937.56
20,-3.8711,0.0297,0.0284,-1679.44,156.25,1828.19
30,-3.8711,0.0303,0.0265,-195.07,-359.38,828.12
40,-3.8712,0.0194,0.0256,-116.94,-609.38,-421.88
50,-3.8712,0.0054,0.0264,-1507.57,-718.75,-1281.25
60,-3.8712,-0.0045,0.0281,695.56,-625.00,-1484.38
70,-3.8712,-0.0101,0.0308,-570.07,-390.69,-1000.00
80,-3.8712,-0.0125,0.0344,-1288.82,-46.94,-218.75
90,-3.8711,-0.0140,0.0354,-1585.69,421.81,296.94
100,-3.8711,-0.0160,0.0334,-1788.82,546.81,515.69
110,-3.8711,-0.0170,0.0309,1961.18,296.81,484.44
120,-3.8711,-0.0157,0.0284,1836.18,-31.31,203.12
130,-3.8712,-0.0112,0.0278,1992.43,-343.81,-93.75
140,-3.8712,-0.0051,0.0289,-1429.44,-421.94,-312.50
150,-3.8712,0.0013,0.0297,-648.19,-281.31,-375.00
160,-3.8712,0.0083,0.0305,179.93,-203.12,-375.00
170,-3.8712,0.0146,0.0322,1070.56,-93.75,-171.88
180,-3.8711,0.0188,0.0341,1883.06,125.00,531.31
190,-3.8711,0.0205,0.0353,-1585.69,359.38,1359.44
200,-3.8711,0.0189,0.0371,-1366.94,515.62,1640.69
210,-3.8711,0.0120,0.0411,-1570.07,750.00,1218.81
220,-3.8711,0.0001,0.0437,1539.31,1265.62,593.81
230,-3.8711,-0.0117,0.0408,23.68,1593.75,140.69
240,-3.8712,-0.0173,0.0345,-1491.94,1234.31,-156.19
250,-3.8712,-0.0166,0.0286,1789.31,437.44,-468.69
260,-3.8712,-0.0112,0.0243,1883.06,-328.19,-781.25
270,-3.8712,-0.0043,0.0231,-1429.44,-875.06,-828.12
280,-3.8712,0.0001,0.0250,-538.82,-1031.31,-515.62
290,-3.8711,0.0005,0.0282,23.68,-796.88,78.12
300,-3.8711,-0.0005,0.0315,70.56,-390.62,734.38
310,-3.8711,-0.0012,0.0366,-54.44,46.81,1015.69
320,-3.8711,-0.0038,0.0415,-148.19,703.06,796.94
330,-3.8711,-0.0071,0.0410,-476.32,1328.06,546.94
340,-3.8711,-0.0088,0.0359,-898.19,1265.56,281.31
350,-3.8712,-0.0079,0.0305,-1116.94,609.31,-31.19
