timestamp_ms,ax,ay,az,gx,gy,gz
0,-3.8705,1.5255,-2.7653,-1757.57,-1856.26,-1255.13
10,-3.8701,1.4275,-2.8972,-726.32,-1950.20,-942.93
20,-3.8696,1.3309,-2.9901,-1273.19,1159.00,1541.20
30,-3.8691,1.2434,-3.0532,-1632.57,1268.19,1681.64
40,-3.8687,1.1741,-3.1107,-835.69,1189.88,-162.23
50,-3.8680,1.1226,-3.1759,-1710.69,1830.38,-1849.85
60,-3.8677,1.0662,-3.2308,-304.44,1486.51,-584.35
70,-3.8676,0.9753,-3.2471,476.81,-1544.80,1853.03
80,-3.8679,0.8286,-3.2173,851.81,376.89,-1162.60
90,-3.8685,0.6241,-3.1665,-1929.44,189.09,-1006.29
100,-3.8691,0.3873,-3.1205,-101.32,-1311.34,-490.60
110,-3.8695,0.1599,-3.0760,1586.18,578.86,1947.02
120,-3.8698,-0.0250,-3.0154,476.81,-1734.07,-1709.17
130,-3.8699,-0.1678,-2.9202,804.93,-1953.19,1259.70
140,-3.8701,-0.2711,-2.7906,-1476.32,-1765.99,-818.24
150,-3.8704,-0.3318,-2.6559,1304.93,-1188.05,-1349.24
160,-3.8706,-0.3776,-2.5488,1539.31,61.83,1229.19
170,-3.8708,-0.4308,-2.4733,-320.07,1764.83,1620.00
180,-3.8711,-0.4701,-2.3934,867.43,-563.35,-911.13
190,-3.8713,-0.4764,-2.2830,-163.82,1655.27,-1285.95
200,-3.8717,-0.4637,-2.1584,-976.32,-204.10,-1457.64
210,-3.8722,-0.4603,-2.0375,648.68,-266.54,-1535.52
220,-3.8727,-0.4910,-1.9135,1086.18,-782.17,917.85
230,-3.8732,-0.5594,-1.7888,1164.31,-907.23,543.09
240,-3.8737,-0.6476,-1.6674,398.68,-954.22,-1284.79
250,-3.8739,-0.7288,-1.5396,1117.43,-1407.53,590.45
260,-3.8741,-0.7816,-1.4108,-1273.19,-1048.34,-1190.55
270,-3.8741,-0.7972,-1.3129,-38.82,-564.09,1028.44
280,-3.8741,-0.7799,-1.2758,1961.18,-32.84,-1877.62
290,-3.8740,-0.7402,-1.2772,179.93,717.22,466.25
300,-3.8740,-0.6924,-1.2749,1258.06,529.79,1888.12
310,-3.8741,-0.6533,-1.2542,-616.94,826.72,-221.25
320,-3.8743,-0.6283,-1.2123,383.06,-516.91,-1768.13
330,-3.8745,-0.6094,-1.1528,-413.82,842.47,-189.88
340,-3.8746,-0.5892,-1.0872,-1991.94,451.90,-1955.38
350,-3.8748,-0.5603,-1.0234,586.18,858.22,685.36
360,-3.8750,-0.5204,-0.9626,289.31,1014.53,-1627.01
370,-3.8440,-0.4811,-0.9043,1398.68,795.84,-1501.89
380,-3.8442,-0.4573,-0.8439,-1570.07,264.65,1935.73
390,-3.8445,-0.4463,-0.7793,1476.81,-0.92,-1767.33
400,-3.8446,-0.4260,-0.7202,-1116.94,264.71,342.22
410,-3.8448,-0.3840,-0.6788,1476.81,-172.73,-345.21
420,-3.8450,-0.3314,-0.6552,-1148.19,1124.21,-782.59
430,-3.8451,-0.2871,-0.6353,1586.18,155.58,-1751.28
440,-3.8452,-0.2562,-0.6030,-741.94,-1297.49,592.47
450,-3.8455,-0.2334,-0.5625,-788.82,-1172.42,-719.97
460,-3.8456,-0.2102,-0.5334,-1866.94,15.14,-344.85
470,-3.8456,-0.1761,-0.5258,1101.81,-266.05,-1547.97
480,-3.8456,-0.1292,-0.5323,1461.18,718.38,-1157.29
490,-3.8456,-0.0770,-0.5494,-523.19,-125.31,-438.60
500,-3.8456,-0.0259,-0.5718,-1851.32,1687.32,-172.97
510,-3.8456,0.0312,-0.5858,695.56,-1171.94,-423.03
520,-3.8456,0.0991,-0.5813,8.06,1015.69,-1188.66
530,-3.8456,0.1663,-0.5654,695.56,1593.93,1373.84
540,-3.8457,0.2213,-0.5526,1289.31,-374.69,-360.53
550,-3.8457,0.2622,-0.5497,336.18,1266.05,-1610.47
560,-3.8457,0.2889,-0.5640,1570.56,1641.11,-1782.35
570,-3.8456,0.3007,-0.5986,992.43,-186.95,248.84
580,-3.8455,0.3011,-0.6334,-1507.57,-624.45,905.03
590,-3.8453,0.3010,-0.6387,-1445.07,-1077.58,-1610.66
600,-3.8452,0.3170,-0.6204,-1460.69,-1749.45,-126.28
610,-3.8450,0.3798,-0.6195,586.18,594.36,-501.22
620,-3.8446,0.5116,-0.6677,617.43,703.86,-1032.47
630,-3.8441,0.6903,-0.7540,1492.43,-1467.77,983.03
640,-3.8750,0.8654,-0.8420,367.43,-514.28,-1048.40
650,-3.8746,0.9717,-0.9003,-1226.32,220.40,-1782.90
660,-3.8744,0.9550,-0.9019,383.06,767.52,1045.10
670,-3.8744,0.8378,-0.8650,-1757.57,564.33,-939.27
680,-3.8744,0.7035,-0.8525,-757.57,1282.84,795.17
690,-3.8745,0.6326,-0.9016,-1945.07,-1123.66,1763.92
700,-3.8744,0.6838,-1.0096,976.81,594.97,529.48
710,-3.8740,0.8616,-1.1538,-460.69,-1233.09,1560.49
720,-3.8734,1.1041,-1.2999,-1710.69,314.15,-471.01
730,-3.8727,1.3276,-1.4075,1336.18,1611.51,-65.06
740,-3.8721,1.4784,-1.4336,1945.56,-153.69,-471.56
750,-3.8717,1.5483,-1.3801,1242.43,502.87,434.69
760,-3.8718,1.5530,-1.3069,-1804.44,-653.26,75.38
770,-3.8723,1.5220,-1.2831,-1210.69,721.74,888.06
780,-3.8730,1.4764,-1.3306,-1179.44,-231.45,-2.56
790,-3.8735,1.4080,-1.4283,992.43,1690.37,263.00
800,-3.8740,1.3247,-1.5686,226.81,1174.62,-768.43
810,-3.8741,1.2775,-1.7444,1570.56,-778.69,-409.36
820,-3.8738,1.2957,-1.9408,-476.32,721.19,746.58
830,-3.8730,1.3500,-2.1425,1851.81,-419.37,621.15
840,-3.8721,1.3992,-2.3107,804.93,1768.25,1589.54
850,-3.8711,1.4215,-2.4080,-898.19,237.06,1151.73
860,-3.8704,1.4164,-2.4590,1961.18,-216.00,-1457.89
870,-3.8698,1.4023,-2.5195,1304.93,1252.75,-1020.45
880,-3.8691,1.3965,-2.6085,-491.94,1502.69,1026.31
890,-3.8687,1.3937,-2.7137,-1241.94,-1887.94,-1614.50
900,-3.8682,1.3857,-2.8225,-1601.32,643.31,-364.69
910,-3.8676,1.3617,-2.9083,1383.06,-1278.56,56.95
920,-3.8673,1.2991,-2.9189,-1695.07,-263.00,1041.14
930,-3.8676,1.2032,-2.8534,-1710.69,-1622.50,-943.24
940,-3.8682,1.1085,-2.7914,-1976.32,-1232.06,-193.12
950,-3.8688,1.0261,-2.8063,1898.68,-1294.74,1338.26
960,-3.8693,0.9349,-2.9069,-648.19,798.83,838.26
970,-3.8695,0.8323,-3.0509,-320.07,-76.35,1072.39
980,-3.8695,0.7354,-3.1680,-1460.69,1485.96,25.27
990,-3.8694,0.6467,-3.2098,-1866.94,-1498.60,103.15
1000,-3.8691,0.5662,-3.1838,-1210.69,1141.85,478.09
1010,-3.8689,0.5049,-3.1475,476.81,469.85,1712.52
1020,-3.8687,0.4585,-3.1760,633.06,1125.98,25.09
1030,-3.8687,0.3729,-3.2635,-1304.44,1469.60,-1756.23
1040,-3.8688,0.1543,-3.3113,-257.57,-1733.70,1962.34
1050,-3.8693,-0.2406,-3.2202,-241.94,156.49,1790.41
1060,-3.8700,-0.7174,-2.9996,1211.18,-172.36,1478.03
1070,-3.8706,-1.1165,-2.7731,179.93,61.10,-427.73
1080,-3.8706,-1.3378,-2.6609,1101.81,1060.30,-317.93
1090,-3.8700,-1.3774,-2.7006,773.68,-580.75,1010.38
1100,-3.8694,-1.3018,-2.8085,-304.44,-1659.00,-1177.19
1110,-3.8690,-1.1926,-2.8453,1383.06,528.69,1978.88
1120,-3.8693,-1.1064,-2.7288,-648.19,-189.88,1697.51
1130,-3.8701,-1.0757,-2.4862,-1616.94,-1267.82,-349.12
1140,-3.8711,-1.1146,-2.2334,-1679.44,1779.11,1963.87
1150,-3.8719,-1.2042,-2.0599,1336.18,-1861.57,73.73
1160,-3.8727,-1.2915,-1.9667,1867.43,341.37,-1035.28
1170,-3.8732,-1.3340,-1.9186,-1304.44,278.69,-160.10
1180,-3.8735,-1.3330,-1.8932,1258.06,-1565.12,1730.59
1190,-3.8740,-1.3064,-1.8750,1383.06,1684.88,-581.85
1200,-3.8744,-1.2659,-1.8441,789.31,13.06,1855.71
1210,-3.8748,-1.2303,-1.7695,1976.81,-33.75,527.59
1220,-3.8440,-1.2212,-1.6442,-1476.32,1513.18,-612.85
1230,-3.8444,-1.2394,-1.5090,-304.44,1560.06,-409.48
1240,-3.8446,-1.2546,-1.3845,1367.43,-1143.07,1293.88
1250,-3.8448,-1.2476,-1.2721,-585.69,-1205.63,481.63
1260,-3.8451,-1.2120,-1.1840,320.56,1185.06,-1955.63
1270,-3.8452,-1.1378,-1.1190,867.43,466.37,-1658.57
1280,-3.8452,-1.0294,-1.0717,-1632.57,778.99,419.68
1290,-3.8453,-0.9109,-1.0355,242.43,-1158.26,-1361.51
1300,-3.8453,-0.8071,-1.0098,-585.69,-533.08,388.55
1310,-3.8455,-0.7217,-0.9982,695.56,-1235.96,1966.74
1320,-3.8455,-0.6445,-0.9934,-366.94,248.54,466.80
1330,-3.8455,-0.5665,-0.9851,1508.06,858.09,1373.05
1340,-3.8455,-0.4893,-0.9712,-507.57,1920.72,-189.45
1350,-3.8453,-0.4158,-0.9503,1383.06,-297.85,-1955.08
1360,-3.8452,-0.3452,-0.9056,-1210.69,-1625.85,169.98
1370,-3.8452,-0.2838,-0.8342,-179.44,93.02,-1595.52
1380,-3.8452,-0.2365,-0.7686,-320.07,1233.76,-1407.90
1390,-3.8453,-0.1953,-0.7201,1742.43,1640.14,-892.15
1400,-3.8455,-0.1494,-0.6703,-991.94,-156.68,-1626.46
1410,-3.8456,-0.0930,-0.6140,883.06,-1781.56,-610.72
1420,-3.8456,-0.0260,-0.5609,101.81,1421.69,-829.35
1430,-3.8455,0.0450,-0.5195,679.93,218.69,1498.90
1440,-3.8453,0.1116,-0.4885,1773.68,1500.06,811.46
1450,-3.8453,0.1675,-0.4561,-1710.69,1468.93,-1047.85
1460,-3.8453,0.2114,-0.4124,1445.56,1625.31,-1079.04
1470,-3.8453,0.2500,-0.3585,-929.44,-780.88,1452.27
1480,-3.8455,0.2959,-0.3053,8.06,-1890.14,-110.11
1490,-3.8455,0.3508,-0.2635,1883.06,922.42,-813.11
1500,-3.8455,0.3995,-0.2499,914.31,-1733.70,-156.80
1510,-3.8453,0.4359,-0.2748,-851.32,16.36,-953.61
1520,-3.8451,0.4618,-0.3198,-195.07,828.92,-1109.92
1530,-3.8447,0.4711,-0.3557,-882.57,-936.65,-1328.80
1540,-3.8444,0.4666,-0.3674,304.93,-1530.33,-1891.36
1550,-3.8441,0.4655,-0.3590,-273.19,969.60,1983.64
1560,-3.8440,0.4747,-0.3398,-413.82,-1952.27,1764.89
1570,-3.8440,0.4791,-0.3258,773.68,500.92,-1735.05
1580,-3.8440,0.4596,-0.3260,1336.18,-1702.21,1499.33
1590,-3.8440,0.4189,-0.3308,-1163.82,-1733.52,1639.95
1600,-3.8439,0.3885,-0.3436,1633.06,1657.04,499.33
1610,-3.8749,0.4075,-0.3821,1742.43,16.36,639.95
1620,-3.8745,0.4858,-0.4630,164.31,-905.46,-47.67
1630,-3.8738,0.6060,-0.6013,-1804.44,735.29,983.46
