timestamp_ms,ax,ay,az,gx,gy,gz
0,-3.8705,-0.2271,-0.4114,664.31,-422.42,1998.96
10,-3.8710,-0.1930,-0.3759,-1054.44,-641.11,-1219.60
20,-3.8713,-0.1993,-0.3855,-695.07,-94.18,842.96
30,-3.8717,-0.2399,-0.3928,-1507.57,-1328.55,999.21
40,-3.8721,-0.2948,-0.3693,1304.93,1733.89,1311.71
50,-3.8724,-0.3442,-0.3184,-1726.32,749.39,733.64
60,-3.8728,-0.3800,-0.2572,-54.44,-735.11,46.20
70,-3.8732,-0.4066,-0.2140,-632.57,-907.04,1577.58
80,-3.8733,-0.4165,-0.3580,242.43,-1453.98,1296.26
90,-3.8732,-0.3871,-0.4005,-1304.44,-1813.35,264.89
100,-3.8732,-0.3651,-0.4294,-1538.82,749.21,-1110.17
110,-3.8730,-0.3550,-0.4558,1273.68,1046.14,1655.40
120,-3.8729,-0.3628,-0.4808,-1429.44,1671.14,436.58
130,-3.8728,-0.4028,-0.5015,1570.56,-1531.98,170.90
140,-3.8727,-0.4658,-0.5017,445.56,-172.67,-1516.66
150,-3.8724,-0.5166,-0.4738,383.06,-204.04,936.46
160,-3.8724,-0.5342,-0.4269,1883.06,-626.04,-469.73
170,-3.8724,-0.5215,-0.3795,-366.94,1373.90,1702.27
180,-3.8726,-0.4884,-0.3491,1258.06,-563.54,1561.71
190,-3.8727,-0.4539,-0.3445,1492.43,-672.85,-969.48
200,-3.8726,-0.4369,-0.3671,1914.31,-79.04,-1766.36
210,-3.8723,-0.4290,-0.3853,86.18,1030.40,1530.52
220,-3.8722,-0.4081,-0.3429,1101.81,-1297.73,-1250.79
230,-3.8722,-0.3650,-0.2358,-226.32,124.15,-1813.17
240,-3.8723,-0.3090,-0.1362,1289.31,1827.39,343.26
250,-3.8726,-0.2500,-0.0980,461.18,-1422.49,-1765.93
260,-3.8726,-0.1864,-0.0977,8.06,-531.74,1046.63
270,-3.8724,-0.1112,-0.0878,148.68,-484.74,1218.51
280,-3.8722,0.0013,-0.0519,1773.68,781.01,1249.82
290,-3.8717,0.2406,0.0282,179.93,1359.38,-15.75
300,-3.8702,0.6949,0.1586,-1195.07,-390.20,-1656.25
310,-3.8677,1.2096,0.1768,961.18,298.22,94.06
320,-3.8650,1.3654,-0.1132,-1163.82,-1372.68,-484.07
330,-3.8636,1.0273,-0.5402,-1226.32,1518.25,984.13
340,-3.8649,0.4886,-0.7020,-491.94,-1138.67,-876.10
350,-3.8674,0.0239,-0.5099,-1445.07,-1858.46,717.35
360,-3.8702,-0.2474,-0.2120,-929.44,-1265.62,123.96
370,-3.8724,-0.3783,-0.0400,336.18,874.51,1812.07
380,-3.8737,-0.4918,-0.0444,-413.82,-1110.17,-1531.37
390,-3.8741,-0.5917,-0.1401,1054.93,-1672.85,-593.87
400,-3.8740,-0.6178,-0.2540,273.68,-1923.03,1249.69
410,-3.8735,-0.5804,-0.3660,929.93,-501.22,249.45
420,-3.8729,-0.5360,-0.4618,1711.18,1170.72,1124.27
430,-3.8724,-0.5305,-0.5492,-601.32,905.15,1186.58
440,-3.8722,-0.5636,-0.6405,101.81,1717.71,1280.15
450,-3.8721,-0.5902,-0.7042,-132.57,-1969.91,1279.97
460,-3.8721,-0.5763,-0.7101,461.18,1873.84,-985.78
470,-3.8721,-0.5187,-0.6750,-1757.57,1123.84,1748.60
480,-3.8722,-0.4363,-0.6332,1617.43,1608.34,1529.91
490,-3.8723,-0.3529,-0.5983,164.31,-1032.10,233.09
500,-3.8726,-0.2762,-0.5673,-1163.82,-563.23,-1173.10
510,-3.8728,-0.2029,-0.5374,648.68,-594.30,-188.66
