timestamp_ms,ax,ay,az,gx,gy,gz
0,-3.8744,-1.2661,-0.7856,-1538.82,1934.94,1342.41
10,-3.8740,-1.2589,-0.9099,1945.56,-549.38,498.41
20,-3.8738,-1.2571,-1.0275,-1132.57,-455.63,-1392.46
30,-3.8735,-1.2411,-1.1163,-898.19,497.50,-1814.51
40,-3.8734,-1.2041,-1.1813,1148.68,1122.56,-439.70
50,-3.8732,-1.1467,-1.2317,1883.06,810.12,794.56
60,-3.8730,-1.0675,-1.2583,1226.81,-1642.88,-1924.32
70,-3.8729,-0.9700,-1.2623,-632.57,-1049.01,-1268.13
80,-3.8727,-0.8680,-1.2751,-148.19,-1564.45,575.62
90,-3.8724,-0.7620,-1.3237,898.68,795.17,731.87
100,-3.8722,-0.6406,-1.3997,-1523.19,-1423.40,-1143.25
110,-3.8718,-0.5134,-1.4696,-1991.94,858.09,-1346.50
120,-3.8715,-0.4075,-1.4927,-1710.69,-94.79,1793.95
130,-3.8712,-0.3413,-1.4500,-148.19,952.27,606.45
140,-3.8712,-0.3096,-1.3678,320.56,-1578.80,-1643.49
150,-3.8712,-0.2675,-1.2982,383.06,936.89,-174.56
160,-3.8710,-0.1787,-1.2787,1773.68,1843.20,138.06
170,-3.8708,-0.0474,-1.3188,1133.06,343.38,-1283.75
180,-3.8706,0.1188,-1.3866,1945.56,-797.00,-1252.62
190,-3.8704,0.2970,-1.4214,-788.82,-1484.19,-1190.25
200,-3.8702,0.4432,-1.3809,-1976.32,-1936.95,-580.93
210,-3.8702,0.5194,-1.2626,742.43,-749.15,700.38
220,-3.8706,0.5385,-1.0995,-1507.57,-1608.40,-1174.38
230,-3.8710,0.5607,-0.9369,929.93,-733.34,-1439.70
240,-3.8712,0.6273,-0.8076,-226.32,79.16,795.04
250,-3.8713,0.7362,-0.7340,304.93,626.22,29.66
260,-3.8713,0.8710,-0.7290,-1757.57,-1951.72,1686.04
270,-3.8711,1.0175,-0.8010,-507.57,-1310.85,1154.79
280,-3.8707,1.1602,-0.9365,-1757.57,1470.70,1576.54
290,-3.8702,1.2833,-1.0704,508.06,127.26,-392.46
300,-3.8696,1.3632,-1.1165,273.68,-1013.12,-1908.39
310,-3.8694,1.3812,-1.0327,-1507.57,1096.37,-127.20
320,-3.8694,1.3500,-0.8596,804.93,-184.81,-1564.58
330,-3.8696,1.3113,-0.6710,804.93,1971.37,1263.92
340,-3.8700,1.3020,-0.5233,-148.19,-1888.12,-1954.47
350,-3.8702,1.3427,-0.4548,-1335.69,1018.13,-1313.54
360,-3.8702,1.4417,-0.4637,-132.57,1783.81,1905.33
370,-3.8701,1.5580,-0.4971,539.31,643.43,-1985.29
380,-3.8700,1.6158,-0.5159,-570.07,377.99,-766.60
390,-3.8699,1.5887,-0.5347,-1163.82,1971.86,-1032.29
400,-3.8699,1.5131,-0.5465,-632.57,-434.45,-860.47
410,-3.8700,1.4167,-0.5137,1679.93,-1950.20,998.90
420,-3.8705,1.2999,-0.4451,1351.81,-1747.25,-344.79
