timestamp_ms,ax,ay,az,gx,gy,gz
0,-3.8713,-0.1871,-0.3850,-1070.07,-1859.80,-1719.60
10,-3.8715,-0.1697,-0.3560,54.93,-1265.99,-610.17
20,-3.8715,-0.1472,-0.3391,-1710.69,-1547.24,702.39
30,-3.8716,-0.1241,-0.3312,1164.31,609.07,-1313.17
40,-3.8716,-0.1042,-0.3289,117.43,1624.76,1639.95
50,-3.8716,-0.0934,-0.3364,-1335.69,1921.63,1780.58
60,-3.8716,-0.0974,-0.3585,54.93,952.94,-1235.05
70,-3.8715,-0.1123,-0.3813,-460.69,-1875.24,374.27
80,-3.8715,-0.1251,-0.3894,1633.06,-797.12,-1610.17
90,-3.8713,-0.1301,-0.3876,-7.57,-1828.43,30.46
100,-3.8713,-0.1294,-0.3843,-648.19,-1594.06,655.46
110,-3.8713,-0.1223,-0.3823,-554.44,-1172.18,436.71
120,-3.8715,-0.1108,-0.3792,351.81,-922.12,-250.79
130,-3.8715,-0.1011,-0.3695,1820.56,-515.87,-1297.67
140,-3.8715,-0.0983,-0.3573,-929.44,718.51,1124.27
150,-3.8716,-0.1058,-0.3523,-570.07,-1718.99,-641.36
160,-3.8716,-0.1213,-0.3518,-1538.82,-1078.37,-1531.98
170,-3.8716,-0.1385,-0.3531,476.81,-1015.87,-750.73
180,-3.8715,-0.1528,-0.3647,-1726.32,-1187.81,1014.89
190,-3.8715,-0.1565,-0.3875,445.56,1327.82,-1141.36
200,-3.8713,-0.1440,-0.4071,-23.19,-1578.49,452.33
210,-3.8713,-0.1232,-0.4150,1570.56,-94.06,1389.77
220,-3.8713,-0.1034,-0.4135,242.43,-1109.62,1467.90
230,-3.8713,-0.0918,-0.3987,-1226.32,-906.49,764.77
240,-3.8715,-0.0945,-0.3757,258.06,984.19,-172.67
250,-3.8715,-0.1071,-0.3646,-85.69,-78.37,-907.04
260,-3.8715,-0.1218,-0.3740,-1695.07,1343.51,-1485.11
270,-3.8715,-0.1321,-0.3927,414.31,140.38,-1813.23
280,-3.8715,-0.1332,-0.4011,-898.19,1749.69,-1907.04
290,-3.8715,-0.1305,-0.3929,-1038.82,671.57,-1766.42
300,-3.8715,-0.1320,-0.3790,-695.07,1718.44,-1594.54
310,-3.8715,-0.1392,-0.3732,-882.57,-500.31,-1719.54
320,-3.8715,-0.1445,-0.3795,-1804.44,249.69,-1625.73
330,-3.8715,-0.1398,-0.3910,1508.06,-562.81,-1125.79
340,-3.8715,-0.1268,-0.4017,-1882.57,1968.44,-610.17
350,-3.8715,-0.1122,-0.4087,-226.32,593.44,-407.04
360,-3.8715,-0.1052,-0.4142,1648.68,-297.12,-703.98
370,-3.8715,-0.1071,-0.4171,-1460.69,-1000.24,-1188.35
380,-3.8715,-0.1085,-0.4089,-1695.07,-1375.24,-1594.60
390,-3.8715,-0.1071,-0.3893,-1882.57,-328.37,1608.52
400,-3.8715,-0.1052,-0.3617,-1695.07,-1812.74,202.33
410,-3.8716,-0.1064,-0.3372,-1460.69,1718.51,-844.48
420,-3.8716,-0.1136,-0.3354,-1616.94,859.13,-813.17
430,-3.8716,-0.1254,-0.3597,1461.18,1077.88,-16.30
440,-3.8715,-0.1335,-0.3942,-38.82,1968.44,1108.64
450,-3.8715,-0.1295,-0.4211,-1085.69,1562.19,-1813.29
460,-3.8715,-0.1199,-0.4343,-570.07,-1890.93,-1641.48
470,-3.8715,-0.1161,-0.4302,664.31,421.63,1577.27
480,-3.8715,-0.1172,-0.4043,1148.68,952.88,889.77
490,-3.8715,-0.1195,-0.3676,1008.06,265.38,546.08
500,-3.8715,-0.1202,-0.3423,711.18,968.51,202.39
510,-3.8716,-0.1145,-0.3423,617.43,202.88,-141.30
520,-3.8716,-0.0996,-0.3622,1351.81,202.88,-94.42
530,-3.8715,-0.0787,-0.3822,-741.94,1656.01,624.27
540,-3.8715,-0.0627,-0.3888,1929.93,-906.43,1280.46
550,-3.8715,-0.0614,-0.3857,-23.19,-1750.18,1092.96
560,-3.8715,-0.0768,-0.3790,148.68,-1359.50,155.46
570,-3.8716,-0.1019,-0.3684,-1820.07,-500.18,-860.17
580,-3.8716,-0.1266,-0.3577,-1038.82,859.13,-1266.36
590,-3.8716,-0.1455,-0.3574,-195.07,-1765.93,-1063.23
600,-3.8716,-0.1561,-0.3713,1383.06,-1734.68,-485.11
610,-3.8715,-0.1561,-0.3926,23.68,484.07,452.39
620,-3.8715,-0.1467,-0.4155,23.68,1765.32,1702.33
630,-3.8715,-0.1293,-0.4323,1226.81,-1172.18,-1594.60
640,-3.8715,-0.1057,-0.4298,-538.82,687.19,-1844.60
650,-3.8715,-0.0844,-0.4059,-1523.19,999.76,1389.77
660,-3.8715,-0.0742,-0.3729,1211.18,62.32,452.33
670,-3.8716,-0.0791,-0.3492,-1491.94,281.07,-656.98
680,-3.8716,-0.0928,-0.3446,1883.06,-687.68,-1750.73
690,-3.8716,-0.1031,-0.3562,133.06,-93.93,-1844.48
700,-3.8716,-0.1069,-0.3805,-1195.07,-1578.37,-391.36
710,-3.8715,-0.1097,-0.4106,-1679.44,-687.74,1780.46
720,-3.8715,-0.1145,-0.4335,1961.18,-547.12,-594.60
730,-3.8715,-0.1216,-0.4359,1351.81,531.01,-47.73
740,-3.8715,-0.1304,-0.4189,445.56,218.51,-469.60
750,-3.8715,-0.1412,-0.3956,-679.44,-1609.68,-1828.98
760,-3.8715,-0.1515,-0.3777,1929.93,1374.69,389.83
770,-3.8716,-0.1552,-0.3716,617.43,-328.43,-875.79
780,-3.8716,-0.1473,-0.3740,148.68,452.82,-1235.11
790,-3.8716,-0.1277,-0.3779,1148.68,140.32,-860.11
800,-3.8716,-0.1023,-0.3829,-335.69,-359.68,-16.42
810,-3.8715,-0.0820,-0.3927,-1085.69,-1000.24,780.46
820,-3.8715,-0.0770,-0.4044,1508.06,1749.82,1139.83
830,-3.8715,-0.0874,-0.4137,-1851.32,249.82,1608.58
840,-3.8715,-0.1064,-0.4227,820.56,-937.68,-1500.85
850,-3.8715,-0.1244,-0.4293,-1616.94,1906.01,-578.98
860,-3.8715,-0.1355,-0.4246,86.18,1062.26,-125.85
870,-3.8715,-0.1404,-0.4108,-1335.69,1671.57,-407.10
880,-3.8715,-0.1403,-0.3964,-1960.69,-562.81,-1500.85
890,-3.8715,-0.1344,-0.3815,-1945.07,1280.94,827.33
900,-3.8716,-0.1235,-0.3694,-1195.07,-812.81,-703.92
910,-3.8716,-0.1115,-0.3674,195.56,734.13,-1641.36
920,-3.8716,-0.1016,-0.3785,1742.43,984.13,-1703.86
930,-3.8716,-0.0957,-0.3977,-991.94,-437.74,-625.79
940,-3.8715,-0.0934,-0.4153,-241.94,1109.13,1139.83
950,-3.8715,-0.0945,-0.4224,54.93,-1140.81,-1250.85
