timestamp_ms,ax,ay,az,gx,gy,gz
0,-3.8687,0.7937,-0.1826,-1351.32,-1264.28,155.88
10,-3.8688,0.8517,-0.1760,1601.81,626.53,171.51
20,-3.8689,0.8658,-0.1660,1023.68,1470.40,312.13
30,-3.8691,0.8429,-0.1785,-1163.82,-1248.35,1796.51
40,-3.8694,0.8062,-0.2191,-101.32,1157.84,312.13
50,-3.8698,0.7690,-0.2643,-804.44,-45.35,-1797.36
60,-3.8700,0.7310,-0.2937,-1554.44,-1826.66,483.83
70,-3.8704,0.6887,-0.3113,1570.56,-1592.35,1405.64
80,-3.8708,0.6389,-0.3215,164.31,157.59,-813.11
90,-3.8713,0.5817,-0.3218,1789.31,-1155.03,-860.05
100,-3.8717,0.5233,-0.3080,-1538.82,-1186.40,561.83
110,-3.8721,0.4692,-0.2507,-1007.57,579.10,-1188.11
120,-3.8721,0.4207,-0.1233,70.56,-92.83,-313.05
130,-3.8717,0.3701,0.0499,1851.81,219.54,-1578.37
140,-3.8717,0.2955,0.2068,-616.94,-1608.70,109.44
150,-3.8724,0.2240,0.2682,1836.18,-1530.70,-1890.26
160,-3.8729,0.2332,0.2096,679.93,-1671.45,-1687.01
170,-3.8729,0.3057,0.0840,1851.81,-1171.45,-734.01
180,-3.8727,0.3513,-0.0385,-866.94,-1249.45,1187.62
190,-3.8727,0.3381,-0.1194,976.81,-921.20,1046.75
200,-3.8730,0.2909,-0.1646,-710.69,719.36,-343.99
210,-3.8734,0.2437,-0.1937,1242.43,-1061.95,-1875.37
220,-3.8738,0.2119,-0.2203,-804.44,-796.45,-1516.05
230,-3.8740,0.1870,-0.2504,-866.94,-202.76,-1781.74
240,-3.8741,0.1532,-0.2798,-54.44,-46.57,1843.20
250,-3.8741,0.1080,-0.2985,-382.57,187.74,1608.83
260,-3.8741,0.0620,-0.3036,1836.18,1797.06,-219.36
270,-3.8740,0.0232,-0.2982,-54.44,1140.69,1343.14
280,-3.8741,-0.0121,-0.2852,-1023.19,1828.12,-344.36
290,-3.8743,-0.0555,-0.2650,-1538.82,-484.44,-1828.74
300,-3.8745,-0.1155,-0.2362,898.68,-1906.37,-94.30
310,-3.8745,-0.1880,-0.2028,1226.81,1781.01,1827.64
320,-3.8745,-0.2598,-0.1761,-54.44,-1937.93,-297.30
330,-3.8744,-0.3193,-0.1647,-1241.94,1468.20,968.38
340,-3.8744,-0.3596,-0.1667,-866.94,-1063.17,1421.51
350,-3.8744,-0.3801,-0.1748,1976.81,-1328.86,-250.37
360,-3.8741,-0.3833,-0.1730,-648.19,1639.83,1390.26
370,-3.8738,-0.3932,-0.1326,-1054.44,1874.21,671.51
380,-3.8733,-0.4204,-0.0432,1679.93,-953.92,-1109.68
390,-3.8728,-0.4413,0.0552,-1804.44,-1516.48,1843.63
400,-3.8727,-0.4636,0.1107,-476.32,-922.79,625.06
410,-3.8728,-0.4836,0.1322,664.31,-1813.42,-1015.44
420,-3.8728,-0.4720,0.1849,-1898.19,936.52,-890.38
430,-3.8729,-0.4705,0.2754,-413.82,-313.48,969.06
440,-3.8730,-0.5012,0.3267,-210.69,-735.35,-1687.01
450,-3.8726,-0.5413,0.3038,-148.19,1827.09,1922.49
460,-3.8719,-0.6056,0.2620,-1273.19,-1094.85,-1546.33
470,-3.8715,-0.7183,0.2822,-1507.57,1545.65,1672.36
480,-3.8710,-0.8719,0.3650,70.56,139.22,-983.83
490,-3.8704,-0.9979,0.4369,398.68,-1267.33,1578.80
500,-3.8701,-1.0298,0.4573,273.68,-64.45,625.79
510,-3.8702,-0.9717,0.4203,195.56,-1455.14,-124.15
520,-3.8700,-0.8649,0.3303,-366.94,1810.55,313.29
530,-3.8698,-0.7653,0.2097,1304.93,-1704.83,484.99
540,-3.8696,-0.7096,0.1118,-1945.07,-1142.15,1719.12
