timestamp_ms,ax,ay,az,gx,gy,gz
0,-3.8721,-0.6487,-0.3951,-1913.82,248.60,1014.83
10,-3.8722,-0.5922,-0.3940,976.81,1436.22,-516.42
20,-3.8722,-0.5394,-0.3885,211.18,1576.97,-1141.42
30,-3.8722,-0.4902,-0.3737,-1038.82,-1719.85,1999.21
40,-3.8723,-0.4387,-0.3583,1258.06,186.52,-391.36
50,-3.8724,-0.3781,-0.3510,-148.19,-1844.67,-313.23
60,-3.8726,-0.3074,-0.3539,-382.57,-907.04,-875.73
70,-3.8727,-0.2313,-0.3660,664.31,-1281.86,-672.61
80,-3.8727,-0.1545,-0.3870,-1601.32,1171.39,1921.14
90,-3.8727,-0.0875,-0.4121,226.81,-1515.93,-1078.92
100,-3.8726,-0.0227,-0.4351,804.93,-734.56,1389.77
110,-3.8726,0.0867,-0.4681,1101.81,328.06,-469.60
120,-3.8726,0.2740,-0.5331,-898.19,78.25,-0.92
130,-3.8724,0.5167,-0.6078,-913.82,-233.89,1889.53
140,-3.8722,0.7979,-0.6405,-1851.32,-1795.90,1155.03
150,-3.8718,1.0707,-0.6046,-1866.94,-1982.85,-1563.78
160,-3.8713,1.2692,-0.5085,1054.93,-1388.55,-173.10
170,-3.8707,1.4033,-0.3948,-1538.82,-1091.31,327.09
180,-3.8705,1.5332,-0.2831,-366.94,1471.44,1983.58
190,-3.8705,1.6914,-0.1598,258.06,-231.38,-1047.49
200,-3.8706,1.8538,-0.0280,508.06,-449.83,1593.38
210,-3.8708,2.0255,0.0875,1289.31,425.48,-906.31
220,-3.8710,2.1951,0.1731,-726.32,-792.97,-218.63
230,-3.8708,2.2844,0.2205,976.81,-1839.48,875.31
240,-3.8707,2.2590,0.2179,414.31,223.21,969.18
250,-3.8706,2.1770,0.1862,1164.31,-104.98,1453.49
260,-3.8705,2.0995,0.1536,-1335.69,-167.66,719.06
270,-3.8705,2.0182,0.1293,742.43,-339.66,1843.99
280,-3.8705,1.8947,0.1248,-1663.82,550.78,140.87
290,-3.8707,1.7241,0.1427,-1476.32,-27.59,1797.06
300,-3.8711,1.5476,0.1692,695.56,-1731.02,1625.24
310,-3.8716,1.4130,0.1785,-1898.19,1659.24,1594.06
320,-3.8721,1.3336,0.1586,867.43,-1153.50,703.43
330,-3.8726,1.2722,0.1165,-1288.82,299.44,1187.81
340,-3.8729,1.1833,0.0642,-1148.19,-1091.31,640.81
350,-3.8733,1.0509,0.0150,-523.19,221.01,-46.75
360,-3.8734,0.8872,-0.0409,-1476.32,1923.89,-1312.50
370,-3.8735,0.7230,-0.1216,1570.56,-1232.67,-687.62
380,-3.8735,0.5807,-0.2225,554.93,438.90,1202.88
390,-3.8735,0.4601,-0.3250,-1663.82,-483.28,1077.64
400,-3.8735,0.3422,-0.4318,-1101.32,-1592.90,-1438.17
410,-3.8735,0.2004,-0.5498,-195.07,734.99,-453.98
420,-3.8735,0.0326,-0.6522,1664.31,1625.37,-1032.35
430,-3.8735,-0.1317,-0.7260,179.93,515.69,-641.91
440,-3.8733,-0.2583,-0.7986,-851.32,-906.56,61.04
450,-3.8730,-0.3590,-0.9030,-1054.44,1796.33,-1829.71
460,-3.8726,-0.5078,-1.0322,-1945.07,436.77,-220.52
470,-3.8717,-0.7780,-1.1565,-991.94,-110.41,216.67
480,-3.8710,-1.1489,-1.2518,429.93,-17.15,1450.81
490,-3.8702,-1.5249,-1.3014,945.56,-221.01,575.62
500,-3.8696,-1.8185,-1.3217,820.56,1434.51,1341.19
510,-3.8691,-1.9926,-1.3330,-757.57,-1159.85,-1737.00
520,-3.8688,-2.0409,-1.3334,961.18,1386.72,1028.63
530,-3.8687,-1.9681,-1.3307,-1226.32,1339.72,419.25
540,-3.8688,-1.7981,-1.3163,86.18,1683.65,122.38
550,-3.8691,-1.5712,-1.2668,1851.81,-472.29,1263.00
560,-3.8695,-1.3347,-1.1929,-1101.32,1856.26,91.25
570,-3.8699,-1.1338,-1.1223,1164.31,-674.50,1435.12
580,-3.8701,-0.9999,-1.0660,-1116.94,357.12,-720.95
590,-3.8701,-0.9287,-1.0052,23.68,-439.45,716.61
600,-3.8702,-0.8982,-0.9419,1133.06,-658.08,-252.01
610,-3.8702,-0.8779,-0.8977,1039.31,-548.65,-1720.64
620,-3.8704,-0.8455,-0.8641,-366.94,1107.60,-1751.77
630,-3.8706,-0.7933,-0.8290,-210.69,1404.54,-1579.83
640,-3.8710,-0.7155,-0.8027,-1538.82,1904.66,-439.15
650,-3.8713,-0.6174,-0.7911,429.93,1264.22,-735.96
660,-3.8717,-0.5159,-0.7881,976.81,-1251.22,-1876.59
670,-3.8721,-0.4203,-0.7839,1976.81,-860.41,560.91
680,-3.8726,-0.3260,-0.7704,-1788.82,-328.98,-267.21
690,-3.8728,-0.2124,-0.7428,-1726.32,1405.58,764.10
700,-3.8730,-0.0677,-0.6947,820.56,937.07,373.54
710,-3.8733,0.0997,-0.6302,-663.82,-906.43,-1735.78
720,-3.8734,0.2822,-0.5684,773.68,-671.69,701.84
730,-3.8737,0.4673,-0.5205,133.06,-749.45,-1641.78
740,-3.8738,0.6615,-0.4838,-179.44,1375.85,920.84
750,-3.8739,0.8987,-0.4481,679.93,-1920.59,-813.48
760,-3.8738,1.1525,-0.3921,-960.69,-1357.67,1874.08
770,-3.8735,1.3970,-0.3051,-476.32,1814.70,1217.96
780,-3.8732,1.6141,-0.2156,-1179.44,955.81,265.01
790,-3.8728,1.7545,-0.1538,-1382.57,409.36,749.57
800,-3.8724,1.8405,-0.1129,586.18,315.92,-1578.43
810,-3.8719,1.9545,-0.0829,-413.82,1550.42,1077.88
820,-3.8715,2.1265,-0.0724,-1820.07,1394.41,812.32
830,-3.8710,2.3281,-0.0618,195.56,-1261.47,-922.06
840,-3.8704,2.5216,-0.0317,-1991.94,98.27,-812.62
850,-3.8698,2.6694,-0.0077,-1226.32,-57.62,-1359.50
860,-3.8691,2.7585,-0.0216,1695.56,-979.19,1062.44
870,-3.8685,2.7861,-0.0608,1101.81,1239.75,656.19
880,-3.8679,2.7318,-0.0953,633.06,224.18,-1047.00
890,-3.8672,2.5682,-0.1216,1679.93,-197.81,468.51
900,-3.8668,2.3145,-0.1584,742.43,442.50,-1672.12
910,-3.8668,2.0409,-0.2140,258.06,-276.73,-156.62
920,-3.8672,1.7981,-0.2445,1242.43,613.34,-703.55
930,-3.8679,1.5845,-0.2291,-1835.69,706.60,577.64
940,-3.8691,1.3979,-0.2186,-1179.44,-1325.07,-672.36
950,-3.8702,1.2482,-0.2682,-1054.44,18.31,358.95
960,-3.8713,1.1257,-0.3290,-226.32,1674.26,-234.92
970,-3.8721,1.0112,-0.3683,101.81,1892.82,-1313.17
980,-3.8727,0.8929,-0.4282,1445.56,861.33,-906.98
990,-3.8732,0.7693,-0.5192,-1695.07,1189.21,-407.10
1000,-3.8735,0.6427,-0.6227,-1523.19,1548.34,1858.34
1010,-3.8739,0.5070,-0.7032,-1726.32,298.10,1389.40
1020,-3.8741,0.3545,-0.7594,898.68,1985.35,936.10
1030,-3.8743,0.1864,-0.8312,1383.06,-1202.45,-1329.65
1040,-3.8741,-0.0005,-0.9349,-132.57,1609.68,1357.73
1050,-3.8740,-0.2068,-1.0415,-54.44,343.69,-1970.58
1060,-3.8739,-0.4084,-1.0996,1539.31,-1297.30,-705.20
1070,-3.8737,-0.5725,-1.0978,-273.19,-735.23,-1127.20
1080,-3.8733,-0.6918,-1.0841,-1273.19,-501.16,-64.70
1090,-3.8727,-0.7881,-1.0928,-538.82,1248.60,-1595.89
1100,-3.8721,-0.8832,-1.1226,-866.94,139.04,-1283.39
1110,-3.8715,-0.9972,-1.1600,-1038.82,326.35,-1189.70
