timestamp_ms,ax,ay,az,gx,gy,gz
0,-3.8737,-0.0970,-0.9231,1664.31,-1547.12,888.79
10,-3.8737,-0.0848,-0.9258,-413.82,1859.13,-1767.46
20,-3.8737,-0.0763,-0.9274,1148.68,1515.44,-767.46
30,-3.8735,-0.0693,-0.9283,-1757.57,1312.32,107.54
40,-3.8735,-0.0653,-0.9276,-866.94,1187.32,904.42
50,-3.8735,-0.0638,-0.9263,-351.32,1281.07,1576.29
60,-3.8735,-0.0621,-0.9222,-163.82,1452.94,1904.42
70,-3.8735,-0.0602,-0.9163,54.93,1968.63,1779.42
80,-3.8735,-0.0604,-0.9126,304.93,-1265.75,1404.42
90,-3.8735,-0.0638,-0.9117,273.68,-797.00,732.54
100,-3.8737,-0.0685,-0.9121,-163.82,-687.68,-189.33
110,-3.8737,-0.0726,-0.9133,-757.57,-734.56,-1251.83
120,-3.8737,-0.0762,-0.9155,-1288.82,-890.81,1748.17
130,-3.8737,-0.0779,-0.9175,-1741.94,-1172.06,1076.29
140,-3.8737,-0.0778,-0.9181,-1960.69,-1422.06,685.67
150,-3.8737,-0.0762,-0.9191,-1945.07,-1500.18,513.79
160,-3.8737,-0.0719,-0.9208,-1741.94,-1625.18,513.79
170,-3.8737,-0.0669,-0.9238,-1195.07,-1843.93,498.17
180,-3.8737,-0.0634,-0.9305,-554.44,1765.44,310.67
190,-3.8738,-0.0604,-0.9402,-101.32,906.07,-142.46
200,-3.8738,-0.0560,-0.9515,273.68,-328.25,-798.77
210,-3.8738,-0.0482,-0.9647,836.18,-1781.37,-1361.27
220,-3.8738,-0.0393,-0.9763,1836.18,531.13,-1486.27
230,-3.8738,-0.0338,-0.9796,-1023.19,-953.25,-767.58
240,-3.8737,-0.0320,-0.9712,-320.07,-1375.12,951.17
250,-3.8737,-0.0326,-0.9542,-85.69,-297.00,-736.33
260,-3.8735,-0.0354,-0.9321,-163.82,1874.88,1466.86
270,-3.8735,-0.0394,-0.9086,-523.19,703.00,-1376.83
280,-3.8735,-0.0427,-0.8890,-1038.82,-281.37,-1673.71
