timestamp_ms,ax,ay,az,gx,gy,gz
0,-3.8732,0.0695,0.0654,-1695.07,328.25,-1406.19
10,-3.8729,0.0370,0.1021,898.68,375.12,1640.75
20,-3.8727,-0.0032,0.1411,742.43,1062.56,1468.93
30,-3.8724,-0.0426,0.1788,-398.19,-1921.94,1234.62
40,-3.8723,-0.0701,0.2019,-1445.07,-1093.87,-202.82
50,-3.8721,-0.0764,0.1942,-960.69,1859.19,156.62
60,-3.8721,-0.0590,0.1584,-1773.19,874.82,1297.24
70,-3.8722,-0.0320,0.1232,461.18,296.75,-218.44
80,-3.8722,-0.0220,0.1190,-85.69,-218.87,-1609.19
90,-3.8722,-0.0430,0.1497,1195.56,-750.06,-109.19
100,-3.8719,-0.0813,0.1960,-1491.94,-828.25,531.49
110,-3.8718,-0.1145,0.2382,1601.81,1109.19,-812.13
120,-3.8716,-0.1339,0.2639,1351.81,-1500.24,-1171.45
130,-3.8713,-0.1410,0.2679,-1132.57,1796.57,1406.74
140,-3.8712,-0.1340,0.2559,1961.18,-1687.81,1266.11
150,-3.8712,-0.1104,0.2383,-1148.19,765.32,-1093.26
160,-3.8712,-0.0784,0.2234,1883.06,-1484.62,-687.07
170,-3.8712,-0.0553,0.2174,1976.81,609.19,-1171.45
180,-3.8712,-0.0520,0.2244,929.93,-156.37,-1312.13
190,-3.8711,-0.0658,0.2432,1351.81,734.25,359.80
200,-3.8711,-0.0773,0.2660,-413.82,-859.56,-30.82
210,-3.8708,-0.0708,0.2944,-1882.57,-1937.68,1437.99
220,-3.8706,-0.0564,0.3324,-1054.44,1702.94,203.67
230,-3.8705,-0.0488,0.3680,789.31,-1437.62,-1374.39
240,-3.8704,-0.0481,0.3865,1758.06,-875.12,-718.08
250,-3.8702,-0.0464,0.3850,1851.81,1484.25,1594.48
260,-3.8702,-0.0333,0.3672,-1929.44,1296.75,1813.23
270,-3.8702,-0.0040,0.3425,-257.57,-984.50,672.55
280,-3.8704,0.0367,0.3185,-507.57,-140.69,-1405.64
290,-3.8704,0.0762,0.3037,711.18,765.69,500.61
300,-3.8704,0.1014,0.3119,1758.06,-1124.88,359.92
310,-3.8704,0.1086,0.3453,992.43,-77.94,-311.95
320,-3.8701,0.1019,0.3970,1914.31,203.31,-1624.33
330,-3.8699,0.0844,0.4592,1054.93,-1187.32,-1593.02
340,-3.8696,0.0597,0.5269,-1195.07,-1218.63,-1296.02
350,-3.8694,0.0370,0.5818,-351.32,-562.44,-1249.02
360,-3.8691,0.0358,0.5898,742.43,-1531.19,235.47
370,-3.8691,0.0736,0.5356,586.18,-499.94,126.10
380,-3.8694,0.1434,0.4475,1429.93,562.62,1485.41
390,-3.8698,0.2106,0.3784,-1632.57,1281.49,-249.15
400,-3.8699,0.2407,0.3665,-1038.82,437.87,125.73
410,-3.8700,0.2256,0.4136,-1179.44,-1093.32,1875.67
420,-3.8699,0.1884,0.4932,883.06,937.93,547.67
430,-3.8698,0.1615,0.5842,117.43,-874.63,-1452.21
440,-3.8695,0.1624,0.6714,679.93,-1218.44,-827.03
450,-3.8691,0.1991,0.7184,789.31,1937.81,313.78
460,-3.8690,0.2637,0.7000,1492.43,-46.51,1735.72
470,-3.8691,0.3279,0.6320,1758.06,1594.24,-170.53
480,-3.8694,0.3693,0.5557,1976.81,891.24,-420.65
490,-3.8696,0.3864,0.5087,-726.32,-874.33,1797.91
500,-3.8699,0.3876,0.5054,1461.18,1110.11,-936.52
510,-3.8699,0.3821,0.5465,1617.43,688.23,-1920.90
520,-3.8698,0.3867,0.6206,914.31,1953.86,1657.29
530,-3.8696,0.4202,0.7026,1508.06,-561.77,-1951.97
540,-3.8695,0.4819,0.7681,1789.31,1938.29,1204.47
550,-3.8695,0.5588,0.7976,1695.56,-1686.58,-1561.04
560,-3.8695,0.6379,0.7772,-460.69,-1905.21,735.90
570,-3.8698,0.7062,0.7113,1664.31,-514.40,-576.66
580,-3.8700,0.7495,0.6211,-1601.32,-951.78,-1420.53
590,-3.8702,0.7583,0.5457,-54.44,-498.60,782.41
600,-3.8705,0.7318,0.5194,1070.56,1845.21,1969.79
610,-3.8706,0.6881,0.5341,1679.93,-1514.22,-874.02
620,-3.8706,0.6715,0.5563,86.18,360.72,1688.54
630,-3.8707,0.7118,0.5608,1961.18,-795.59,1891.66
640,-3.8710,0.8011,0.5469,-882.57,-217.41,-764.59
650,-3.8711,0.9186,0.5385,-1445.07,-1998.47,1579.16
660,-3.8712,1.0388,0.5518,1586.18,923.65,-420.84
670,-3.8711,1.1305,0.5831,976.81,-1372.99,782.29
680,-3.8711,1.1707,0.6154,711.18,-1357.18,-1545.78
690,-3.8711,1.1637,0.6250,1851.81,-1232.12,1173.03
700,-3.8713,1.1307,0.6073,961.18,2.26,-14.40
710,-3.8716,1.0947,0.5656,742.43,1736.57,-326.97
720,-3.8718,1.0804,0.5079,133.06,392.76,-1889.53
730,-3.8721,1.0916,0.4537,-1695.07,1017.70,-1952.15
740,-3.8722,1.1016,0.4188,-273.19,-1919.80,969.60
750,-3.8723,1.0902,0.3993,1008.06,1611.51,-1655.46
760,-3.8723,1.0551,0.3871,-445.07,-888.55,1610.11
770,-3.8723,1.0007,0.3839,-945.07,1548.89,-1780.52
780,-3.8723,0.9420,0.3896,101.81,1142.58,-1358.64
790,-3.8723,0.9043,0.3940,586.18,1876.83,1750.73
800,-3.8724,0.8961,0.3856,-241.94,-1560.79,-61.77
810,-3.8724,0.8977,0.3680,-1288.82,1361.08,1860.11
820,-3.8726,0.8821,0.3469,-1085.69,-888.92,-608.70
