timestamp_ms,ax,ay,az,gx,gy,gz
0,-3.8713,1.3878,0.4777,-898.19,-1106.32,626.04
10,-3.8718,1.1899,0.4514,1648.68,1143.31,360.29
20,-3.8722,0.9689,0.4734,320.56,1783.57,1766.48
30,-3.8723,0.7513,0.5216,23.68,595.64,1250.92
40,-3.8723,0.5586,0.5552,179.93,-1232.91,1547.85
50,-3.8722,0.3425,0.5378,-491.94,-936.46,922.91
60,-3.8721,0.1149,0.4734,-148.19,844.36,-1967.71
70,-3.8718,-0.1105,0.4017,-1288.82,593.93,516.54
80,-3.8716,-0.3640,0.3677,1867.43,-562.74,438.23
90,-3.8713,-0.6604,0.3921,1414.31,-922.61,1828.80
100,-3.8711,-0.9706,0.4536,-523.19,-1798.22,-1139.89
110,-3.8708,-1.2546,0.5111,-226.32,-1923.83,1782.10
120,-3.8707,-1.5465,0.5265,-585.69,1435.00,1860.35
130,-3.8707,-1.8301,0.4302,-1945.07,-596.80,594.73
140,-3.8710,-2.0769,0.1742,1758.06,-925.48,63.29
150,-3.8715,-2.3125,-0.1403,-1835.69,-1691.59,-124.69
160,-3.8718,-2.5144,-0.3754,8.06,-1942.02,-547.18
170,-3.8722,-2.6735,-0.4946,-1835.69,-36.19,1061.71
180,-3.8727,-2.7495,-0.5149,1804.93,697.88,-1797.85
190,-3.8730,-2.6812,-0.4681,70.56,-1896.00,-1469.79
200,-3.8732,-2.4716,-0.3794,820.56,88.50,389.71
210,-3.8732,-2.1581,-0.2677,-351.32,-551.76,733.58
220,-3.8730,-1.7930,-0.1517,-226.32,1745.73,-1188.05
230,-3.8727,-1.4375,-0.0394,-1491.94,590.21,1155.94
240,-3.8723,-1.1271,0.0594,8.06,-1034.06,718.63
250,-3.8721,-0.8879,0.1311,-257.57,-377.26,-1359.31
260,-3.8718,-0.7043,0.1825,-1648.19,795.10,-1171.63
270,-3.8716,-0.5444,0.2214,1851.81,-626.40,1000.31
280,-3.8715,-0.3894,0.2562,-1679.44,358.28,1312.93
290,-3.8713,-0.2328,0.3035,-1835.69,811.71,859.86
300,-3.8712,-0.0680,0.3624,-1788.82,-1141.11,172.42
310,-3.8711,0.1205,0.4250,-695.07,-1593.93,47.55
320,-3.8710,0.3400,0.4963,-570.07,-1593.57,1360.17
330,-3.8707,0.6171,0.5754,-476.32,-468.14,172.79
340,-3.8706,0.9703,0.6393,-1007.57,1657.41,-1702.03
350,-3.8705,1.3511,0.6598,211.18,1830.02,1657.47
360,-3.8705,1.6558,0.6320,945.56,455.75,-1467.47
370,-3.8705,1.8739,0.5908,-54.44,893.80,1391.85
380,-3.8706,1.9747,0.5579,-132.57,-371.40,1766.72
390,-3.8708,1.9399,0.5239,773.68,-589.90,-1327.09
400,-3.8711,1.8456,0.4821,320.56,-933.72,63.48
410,-3.8715,1.6854,0.4502,242.43,1706.73,1985.29
420,-3.8717,1.4960,0.4525,-257.57,1628.23,-1842.90
430,-3.8719,1.2662,0.4646,-507.57,1924.74,-1108.52
440,-3.8721,0.9611,0.4603,-1913.82,-528.81,828.98
450,-3.8722,0.6774,0.4425,-976.32,-1076.29,1282.10
460,-3.8722,0.4092,0.4221,-1288.82,641.91,1578.98
470,-3.8721,0.0927,0.4268,383.06,-1967.96,-1811.71
480,-3.8718,-0.2489,0.4590,-132.57,-1374.88,-1999.21
490,-3.8716,-0.5824,0.4808,148.68,-1234.86,-624.15
500,-3.8712,-0.8895,0.4705,1461.18,1561.34,1688.42
510,-3.8708,-1.1550,0.4478,-1851.32,232.60,329.04
520,-3.8706,-1.4026,0.4397,164.31,1325.87,1391.48
530,-3.8705,-1.6575,0.4094,476.81,294.13,1500.85
540,-3.8706,-1.8743,0.3086,-148.19,418.58,-1546.08
550,-3.8708,-2.0658,0.1335,101.81,-488.04,1563.05
560,-3.8712,-2.2570,-0.0745,-413.82,1105.29,1359.62
570,-3.8717,-2.3953,-0.2460,-882.57,-1520.08,-1422.06
580,-3.8722,-2.4662,-0.3621,1414.31,526.55,1202.64
