timestamp_ms,ax,ay,az,gx,gy,gz
0,-3.8745,0.9420,0.3051,273.68,-795.04,-671.33
10,-3.8745,0.9445,0.3044,586.18,-951.29,-686.95
20,-3.8745,0.9435,0.3069,898.68,-1029.42,-593.20
30,-3.8745,0.9401,0.3096,773.68,-716.92,-452.58
40,-3.8745,0.9380,0.3093,336.18,-373.17,-202.58
50,-3.8744,0.9384,0.3087,70.56,-404.42,63.05
60,-3.8744,0.9390,0.3094,117.43,-482.54,172.42
70,-3.8744,0.9384,0.3105,195.56,-388.79,172.42
80,-3.8744,0.9374,0.3114,117.43,-248.17,94.30
90,-3.8744,0.9373,0.3109,-7.57,-138.85,94.30
100,-3.8744,0.9375,0.3085,-23.19,-201.35,188.05
110,-3.8744,0.9391,0.3055,8.06,-513.79,172.42
120,-3.8744,0.9418,0.3040,211.18,-888.79,0.55
130,-3.8745,0.9426,0.3030,554.93,-1091.92,-202.58
140,-3.8745,0.9415,0.3021,664.31,-1216.92,-405.70
150,-3.8745,0.9417,0.3024,523.68,-1326.29,-655.70
160,-3.8745,0.9442,0.3047,539.31,-1295.04,-874.45
170,-3.8745,0.9460,0.3088,867.43,-998.17,-999.45
180,-3.8745,0.9438,0.3104,1101.81,-466.92,-952.58
190,-3.8745,0.9409,0.3080,820.56,-263.79,-843.20
200,-3.8745,0.9406,0.3047,445.56,-576.29,-858.83
210,-3.8745,0.9410,0.3031,398.68,-998.17,-749.45
220,-3.8745,0.9397,0.3031,461.18,-1201.29,-374.45
230,-3.8745,0.9381,0.3052,289.31,-1201.29,-93.20
240,-3.8744,0.9375,0.3090,86.18,-935.67,47.42
250,-3.8744,0.9363,0.3110,8.06,-451.29,219.30
260,-3.8744,0.9362,0.3096,-148.19,-185.73,250.55
270,-3.8744,0.9385,0.3064,-163.82,-373.23,47.42
280,-3.8745,0.9412,0.3049,133.06,-779.42,-265.08
290,-3.8745,0.9431,0.3048,476.81,-966.92,-452.58
300,-3.8745,0.9441,0.3044,726.81,-982.54,-515.08
310,-3.8745,0.9438,0.3040,851.81,-1029.42,-655.70
320,-3.8745,0.9421,0.3047,820.56,-1091.92,-702.58
330,-3.8745,0.9398,0.3065,601.81,-998.17,-561.95
340,-3.8745,0.9381,0.3060,304.93,-763.79,-436.95
350,-3.8745,0.9381,0.3040,86.18,-826.29,-233.83
360,-3.8744,0.9386,0.3042,86.18,-1091.92,94.30
370,-3.8744,0.9391,0.3063,148.68,-1060.67,203.67
380,-3.8745,0.9403,0.3074,211.18,-795.04,-30.70
390,-3.8745,0.9418,0.3071,367.43,-654.42,-296.33
400,-3.8745,0.9442,0.3058,554.93,-685.67,-577.58
410,-3.8745,0.9453,0.3049,867.43,-857.54,-905.70
420,-3.8745,0.9432,0.3057,1008.06,-966.92,-1030.70
430,-3.8745,0.9412,0.3065,742.43,-873.17,-936.95
440,-3.8745,0.9412,0.3070,476.81,-763.79,-765.08
450,-3.8745,0.9406,0.3088,476.81,-701.29,-421.33
460,-3.8744,0.9391,0.3098,398.68,-466.92,31.80
470,-3.8744,0.9377,0.3070,211.18,-341.92,359.92
480,-3.8744,0.9365,0.3029,39.31,-701.29,594.30
490,-3.8744,0.9357,0.3011,-116.94,-1232.60,703.67
500,-3.8744,0.9362,0.3024,-226.32,-1451.35,641.17
510,-3.8744,0.9381,0.3042,-163.82,-1295.10,422.42
520,-3.8744,0.9397,0.3055,86.18,-1060.67,141.17
530,-3.8745,0.9396,0.3066,289.31,-888.79,-93.20
540,-3.8745,0.9386,0.3085,273.68,-748.17,-311.95
550,-3.8745,0.9381,0.3104,148.68,-513.79,-343.20
560,-3.8745,0.9387,0.3116,86.18,-263.79,-108.83
570,-3.8744,0.9391,0.3115,164.31,-107.54,203.67
580,-3.8744,0.9386,0.3098,211.18,-123.17,469.30
590,-3.8744,0.9379,0.3085,148.68,-341.92,703.67
600,-3.8744,0.9368,0.3091,54.93,-513.79,906.80
610,-3.8744,0.9349,0.3094,-85.69,-435.73,1016.17
620,-3.8744,0.9354,0.3074,-320.07,-388.85,1000.55
630,-3.8744,0.9380,0.3038,-257.57,-654.48,781.80
640,-3.8744,0.9402,0.3025,70.56,-1107.54,422.42
650,-3.8744,0.9415,0.3046,351.81,-1279.42,172.42
660,-3.8744,0.9415,0.3066,523.68,-1013.79,156.80
670,-3.8744,0.9396,0.3058,523.68,-748.17,188.05
680,-3.8744,0.9386,0.3041,273.68,-857.54,78.67
690,-3.8745,0.9426,0.3077,148.68,-1076.29,-77.58
700,-3.8744,0.9438,0.3131,664.31,-607.54,0.55
710,-3.8744,0.9373,0.3132,820.56,79.96,250.61
720,-3.8744,0.9326,0.3105,-23.19,95.52,516.24
730,-3.8744,0.9353,0.3091,-616.94,-248.23,859.92
740,-3.8744,0.9374,0.3076,-273.19,-435.73,1266.17
750,-3.8744,0.9323,0.3042,-7.57,-623.23,1359.92
760,-3.8744,0.9277,0.3022,-663.82,-1060.73,969.30
770,-3.8744,0.9326,0.3038,-1241.94,-1310.73,453.67
780,-3.8744,0.9420,0.3051,-616.94,-1107.60,141.17
790,-3.8745,0.9471,0.3042,586.18,-951.29,-186.95
800,-3.8745,0.9453,0.3031,1242.43,-1060.67,-780.70
810,-3.8745,0.9435,0.3057,1008.06,-1201.29,-1233.83
820,-3.8745,0.9459,0.3108,773.68,-873.17,-1140.08
830,-3.8745,0.9484,0.3127,1086.18,-216.92,-718.20
840,-3.8745,0.9462,0.3097,1398.68,33.08,-327.51
850,-3.8745,0.9403,0.3048,1117.43,-357.54,-15.08
860,-3.8744,0.9353,0.3019,367.43,-982.54,328.67
870,-3.8744,0.9331,0.3038,-273.19,-1357.60,813.05
880,-3.8744,0.9318,0.3103,-554.44,-1107.60,1453.67
890,-3.8744,0.9298,0.3152,-726.32,-279.48,1906.80
900,-3.8744,0.9298,0.3129,-976.32,345.52,-1952.51
910,-3.8744,0.9335,0.3052,-976.32,48.65,1813.11
920,-3.8744,0.9393,0.3003,-507.57,-935.73,1047.42
930,-3.8744,0.9440,0.3022,242.43,-1560.67,156.80
940,-3.8745,0.9463,0.3068,836.18,-1310.67,-530.70
950,-3.8745,0.9467,0.3081,1133.06,-732.54,-999.45
960,-3.8745,0.9452,0.3057,1179.93,-560.67,-1171.33
970,-3.8745,0.9427,0.3018,992.43,-873.17,-1171.33
980,-3.8745,0.9424,0.3009,679.93,-1373.17,-936.95
990,-3.8745,0.9431,0.3037,633.06,-1482.54,-436.95
1000,-3.8744,0.9398,0.3075,726.81,-1123.17,109.92
1010,-3.8744,0.9342,0.3108,304.93,-638.79,625.55
1020,-3.8744,0.9323,0.3116,-413.82,-216.98,1031.80
1030,-3.8744,0.9341,0.3102,-663.82,-107.60,1234.92
1040,-3.8744,0.9369,0.3101,-429.44,-295.10,1219.30
1050,-3.8744,0.9382,0.3104,-70.07,-310.73,969.30
1060,-3.8744,0.9380,0.3080,101.81,-263.79,484.92
1070,-3.8744,0.9391,0.3036,70.56,-576.29,31.80
1080,-3.8745,0.9423,0.3016,211.18,-1138.79,-202.58
1090,-3.8745,0.9436,0.3033,617.43,-1388.79,-421.33
1100,-3.8745,0.9421,0.3073,789.31,-1170.04,-483.83
1110,-3.8745,0.9407,0.3093,601.81,-670.04,-327.58
1120,-3.8745,0.9396,0.3068,414.31,-404.42,-61.95
1130,-3.8744,0.9391,0.3035,273.68,-732.54,297.42
1140,-3.8744,0.9382,0.3032,211.18,-1154.42,500.55
1150,-3.8744,0.9366,0.3057,101.81,-1185.67,578.67
1160,-3.8744,0.9364,0.3080,-101.32,-873.23,781.80
1170,-3.8744,0.9373,0.3070,-132.57,-576.35,891.17
1180,-3.8744,0.9379,0.3052,-23.19,-701.35,766.17
1190,-3.8744,0.9382,0.3059,54.93,-935.67,578.67
1200,-3.8744,0.9380,0.3073,101.81,-841.92,438.05
1210,-3.8744,0.9380,0.3073,70.56,-670.04,328.67
1220,-3.8744,0.9396,0.3085,70.56,-670.04,234.92
1230,-3.8744,0.9423,0.3090,273.68,-513.79,94.30
1240,-3.8745,0.9449,0.3062,617.43,-451.29,-61.95
1250,-3.8745,0.9458,0.3024,961.18,-810.67,-280.70
1260,-3.8745,0.9442,0.2996,1070.56,-1295.04,-546.33
1270,-3.8745,0.9426,0.2977,867.43,-1654.42,-640.08
1280,-3.8745,0.9417,0.2983,664.31,-1888.79,-436.95
1290,-3.8745,0.9401,0.3016,539.31,-1810.67,-46.33
1300,-3.8744,0.9375,0.3057,336.18,-1388.79,391.17
1310,-3.8744,0.9338,0.3087,8.06,-873.17,656.80
1320,-3.8744,0.9320,0.3120,-460.69,-482.60,828.67
1330,-3.8744,0.9332,0.3158,-695.07,-60.73,1047.42
1340,-3.8744,0.9346,0.3156,-538.82,423.65,1141.24
1350,-3.8744,0.9358,0.3097,-366.94,392.40,1063.11
1360,-3.8744,0.9379,0.3032,-210.69,-357.60,766.17
1370,-3.8744,0.9399,0.3008,54.93,-1185.67,391.17
1380,-3.8744,0.9418,0.3027,320.56,-1498.17,78.67
1390,-3.8745,0.9414,0.3051,554.93,-1248.17,-171.33
1400,-3.8745,0.9399,0.3055,508.06,-951.29,-343.20
1410,-3.8745,0.9399,0.3052,320.56,-888.79,-390.08
1420,-3.8745,0.9413,0.3044,320.56,-935.67,-265.08
1430,-3.8745,0.9419,0.3040,492.43,-1029.42,-155.70
1440,-3.8744,0.9409,0.3052,570.56,-1091.92,31.80
1450,-3.8744,0.9391,0.3071,445.56,-935.67,156.80
1460,-3.8744,0.9385,0.3077,211.18,-685.67,63.05
1470,-3.8744,0.9396,0.3077,133.06,-607.54,16.17
1480,-3.8744,0.9404,0.3081,273.68,-607.54,94.30
1490,-3.8744,0.9399,0.3081,383.06,-560.67,47.42
1500,-3.8744,0.9388,0.3076,320.56,-560.67,0.55
1510,-3.8744,0.9384,0.3069,179.93,-623.17,16.17
1520,-3.8744,0.9384,0.3047,117.43,-716.92,94.30
1530,-3.8744,0.9382,0.3019,117.43,-998.17,188.05
1540,-3.8744,0.9393,0.3008,101.81,-1357.54,156.80
1550,-3.8745,0.9410,0.3010,242.43,-1498.17,-61.95
1560,-3.8745,0.9426,0.3014,461.18,-1466.92,-265.08
1570,-3.8745,0.9440,0.3027,664.31,-1420.04,-452.58
1580,-3.8745,0.9448,0.3041,836.18,-1248.17,-718.20
1590,-3.8745,0.9451,0.3047,945.56,-1076.29,-874.45
1600,-3.8745,0.9443,0.3053,976.81,-998.17,-936.95
1610,-3.8745,0.9431,0.3064,883.06,-920.04,-968.20
1620,-3.8745,0.9407,0.3077,726.81,-779.42,-686.95
1630,-3.8745,0.9380,0.3080,414.31,-607.54,-233.83
1640,-3.8744,0.9369,0.3070,70.56,-576.29,47.42
1650,-3.8744,0.9368,0.3053,-70.07,-701.35,203.67
1660,-3.8744,0.9379,0.3052,-85.69,-920.10,266.17
1670,-3.8744,0.9395,0.3071,54.93,-935.67,234.92
1680,-3.8744,0.9403,0.3073,258.06,-685.67,172.42
1690,-3.8744,0.9409,0.3057,367.43,-670.04,16.17
1700,-3.8745,0.9415,0.3040,445.56,-873.17,-233.83
1710,-3.8745,0.9424,0.3043,523.68,-1091.92,-436.95
1720,-3.8745,0.9429,0.3064,633.06,-1045.04,-343.20
1730,-3.8745,0.9406,0.3070,695.56,-779.42,-124.45
1740,-3.8744,0.9373,0.3068,398.68,-701.29,188.05
1750,-3.8744,0.9360,0.3064,-23.19,-732.60,547.42
1760,-3.8744,0.9364,0.3044,-179.44,-779.48,734.92
1770,-3.8744,0.9366,0.3038,-132.57,-1029.48,703.67
1780,-3.8744,0.9374,0.3059,-101.32,-1107.60,547.42
1790,-3.8744,0.9381,0.3079,-7.57,-841.98,453.67
1800,-3.8744,0.9387,0.3069,86.18,-591.92,313.05
1810,-3.8744,0.9404,0.3044,164.31,-716.92,63.05
1820,-3.8745,0.9430,0.3038,383.06,-1029.42,-249.45
1830,-3.8745,0.9451,0.3047,711.18,-1107.54,-499.45
1840,-3.8745,0.9453,0.3057,976.81,-998.17,-686.95
1850,-3.8745,0.9438,0.3064,1008.06,-873.17,-702.58
1860,-3.8745,0.9412,0.3057,820.56,-779.42,-405.70
1870,-3.8745,0.9385,0.3044,476.81,-873.17,-61.95
1880,-3.8744,0.9369,0.3044,133.06,-1029.42,234.92
1890,-3.8744,0.9363,0.3051,-70.07,-1029.48,594.30
1900,-3.8744,0.9366,0.3063,-148.19,-951.35,844.30
1910,-3.8744,0.9375,0.3093,-101.32,-795.10,969.30
1920,-3.8744,0.9365,0.3116,8.06,-404.42,953.67
1930,-3.8744,0.9354,0.3098,-116.94,-107.60,891.17
1940,-3.8744,0.9362,0.3065,-257.57,-341.98,813.05
1950,-3.8744,0.9373,0.3055,-163.82,-763.85,672.42
1960,-3.8744,0.9388,0.3057,-23.19,-888.85,500.55
1970,-3.8744,0.9412,0.3054,179.93,-873.17,359.92
1980,-3.8744,0.9421,0.3058,476.81,-904.42,297.42
1990,-3.8744,0.9407,0.3073,601.81,-857.54,281.80
2000,-3.8744,0.9390,0.3090,414.31,-670.04,266.17
2010,-3.8744,0.9390,0.3107,195.56,-451.29,328.67
2020,-3.8744,0.9393,0.3103,195.56,-232.54,438.05
2030,-3.8744,0.9365,0.3069,242.43,-279.42,375.55
2040,-3.8744,0.9331,0.3036,-116.94,-716.98,94.30
2050,-3.8745,0.9365,0.3032,-554.44,-1138.85,-108.83
2060,-3.8745,0.9427,0.3041,-116.94,-1185.73,-108.83
2070,-3.8745,0.9445,0.3053,679.93,-1076.29,-46.33
2080,-3.8745,0.9432,0.3076,898.68,-920.04,-30.70
2090,-3.8744,0.9414,0.3076,742.43,-623.17,156.80
2100,-3.8744,0.9396,0.3068,508.06,-623.17,641.17
2110,-3.8744,0.9366,0.3091,273.68,-732.54,1141.17
2120,-3.8744,0.9318,0.3137,-101.32,-435.73,1719.30
2130,-3.8744,0.9287,0.3163,-726.32,158.02,-1858.76
2140,-3.8744,0.9305,0.3134,-1116.94,486.15,-1765.01
2150,-3.8744,0.9348,0.3082,-882.57,111.15,-1905.64
2160,-3.8744,0.9375,0.3065,-335.69,-545.10,1766.17
2170,-3.8744,0.9381,0.3079,8.06,-763.79,1359.92
2180,-3.8744,0.9380,0.3086,86.18,-591.92,984.92
2190,-3.8744,0.9370,0.3075,70.56,-498.17,688.05
2200,-3.8744,0.9365,0.3060,-54.44,-638.85,438.05
2210,-3.8744,0.9391,0.3051,-116.94,-826.35,172.42
2220,-3.8745,0.9435,0.3033,211.18,-951.29,-46.33
2230,-3.8745,0.9456,0.3036,773.68,-1170.04,-218.20
2240,-3.8745,0.9435,0.3060,1039.31,-1138.79,-358.83
2250,-3.8745,0.9409,0.3081,773.68,-826.29,-311.95
2260,-3.8745,0.9412,0.3087,445.56,-560.67,-77.58
2270,-3.8744,0.9425,0.3088,476.81,-482.54,156.80
2280,-3.8744,0.9406,0.3108,648.68,-466.92,422.42
2290,-3.8744,0.9364,0.3131,398.68,-216.92,875.55
2300,-3.8744,0.9325,0.3143,-132.57,79.90,1516.24
2310,-3.8744,0.9288,0.3151,-632.57,236.15,-1843.14
2320,-3.8744,0.9274,0.3156,-1101.32,329.90,-1436.89
2330,-3.8744,0.9290,0.3129,-1288.82,392.40,-1390.01
2340,-3.8744,0.9309,0.3060,-1085.69,48.65,-1593.14
2350,-3.8744,0.9331,0.3005,-835.69,-826.35,1922.42
2360,-3.8744,0.9366,0.3007,-554.44,-1529.48,1313.05
2370,-3.8744,0.9402,0.3065,-101.32,-1513.85,938.05
2380,-3.8744,0.9423,0.3121,351.81,-763.79,750.55
2390,-3.8744,0.9421,0.3125,617.43,-45.04,438.05
2400,-3.8745,0.9415,0.3088,601.81,1.83,-15.01
2410,-3.8745,0.9423,0.3058,523.68,-466.92,-296.33
2420,-3.8745,0.9429,0.3066,617.43,-857.54,-218.20
2430,-3.8744,0.9413,0.3097,695.56,-748.17,281.80
2440,-3.8744,0.9373,0.3112,492.43,-357.54,891.17
2450,-3.8744,0.9329,0.3099,-23.19,-170.10,1344.30
2460,-3.8744,0.9316,0.3085,-585.69,-326.35,1672.42
2470,-3.8744,0.9329,0.3096,-741.94,-513.85,-1999.45
2480,-3.8744,0.9323,0.3116,-585.69,-373.23,-1827.58
2490,-3.8744,0.9294,0.3119,-663.82,-107.60,1984.92
2500,-3.8744,0.9292,0.3083,-1023.19,-76.35,1609.92
2510,-3.8744,0.9346,0.3041,-1054.44,-529.48,1281.80
2520,-3.8744,0.9414,0.3049,-366.94,-1076.35,953.67
2530,-3.8744,0.9442,0.3091,508.06,-966.92,469.30
2540,-3.8745,0.9418,0.3099,867.43,-435.67,-15.08
2550,-3.8745,0.9393,0.3053,554.93,-326.29,-233.83
2560,-3.8745,0.9407,0.2997,242.43,-920.04,-218.20
2570,-3.8745,0.9430,0.2988,414.31,-1638.79,-46.33
2580,-3.8744,0.9437,0.3037,711.18,-1748.17,188.05
2590,-3.8744,0.9408,0.3107,804.93,-1123.17,391.17
2600,-3.8744,0.9369,0.3127,429.93,-232.54,609.92
2610,-3.8744,0.9366,0.3080,-70.07,33.02,750.61
2620,-3.8744,0.9390,0.3035,-101.32,-576.35,781.80
2630,-3.8744,0.9406,0.3052,195.56,-1154.42,813.05
2640,-3.8744,0.9388,0.3108,398.68,-935.67,953.67
2650,-3.8744,0.9335,0.3141,179.93,-216.92,1156.80
2660,-3.8744,0.9296,0.3131,-507.57,204.90,1281.86
2670,-3.8744,0.9313,0.3094,-1007.57,79.90,1141.24
2680,-3.8744,0.9370,0.3047,-788.82,-388.85,750.55
2690,-3.8744,0.9419,0.3018,-54.44,-998.23,375.55
2700,-3.8744,0.9434,0.3025,570.56,-1373.17,0.55
2710,-3.8745,0.9437,0.3069,758.06,-1279.42,-249.45
2720,-3.8745,0.9430,0.3099,804.93,-716.92,-233.83
2730,-3.8745,0.9420,0.3073,711.18,-326.29,-93.20
2740,-3.8745,0.9414,0.3033,586.18,-670.04,-77.58
2750,-3.8745,0.9401,0.3032,508.06,-1170.04,-108.83
2760,-3.8744,0.9392,0.3068,336.18,-1185.67,63.05
2770,-3.8744,0.9393,0.3102,226.81,-732.54,344.30
2780,-3.8744,0.9384,0.3091,242.43,-295.04,531.80
2790,-3.8744,0.9377,0.3040,117.43,-435.67,500.55
2800,-3.8744,0.9391,0.3013,39.31,-1091.92,328.67
2810,-3.8744,0.9399,0.3036,211.18,-1435.67,125.55
2820,-3.8744,0.9391,0.3059,320.56,-1138.79,16.17
2830,-3.8744,0.9390,0.3068,211.18,-841.92,47.42
2840,-3.8744,0.9408,0.3071,195.56,-732.54,78.67
2850,-3.8744,0.9430,0.3069,429.93,-685.67,47.42
2860,-3.8745,0.9434,0.3055,711.18,-716.92,-93.20
2870,-3.8745,0.9421,0.3037,758.06,-888.79,-358.83
2880,-3.8745,0.9412,0.3037,601.81,-1123.17,-546.33
2890,-3.8745,0.9403,0.3063,476.81,-1123.17,-436.95
2900,-3.8745,0.9396,0.3088,367.43,-795.04,-124.45
2910,-3.8744,0.9380,0.3090,273.68,-466.92,141.17
2920,-3.8744,0.9355,0.3064,70.56,-451.29,375.55
2930,-3.8744,0.9353,0.3051,-241.94,-779.48,516.17
2940,-3.8744,0.9363,0.3069,-273.19,-951.35,578.67
2950,-3.8744,0.9374,0.3101,-148.19,-716.98,578.67
2960,-3.8744,0.9386,0.3137,-7.57,-310.73,438.05
2970,-3.8744,0.9388,0.3137,148.68,158.08,250.61
2980,-3.8745,0.9395,0.3082,179.93,158.08,-46.26
2990,-3.8745,0.9410,0.3015,258.06,-545.04,-358.83
3000,-3.8745,0.9432,0.2999,461.18,-1404.42,-530.70
3010,-3.8745,0.9442,0.3035,742.43,-1607.54,-530.70
3020,-3.8745,0.9421,0.3090,867.43,-1154.42,-405.70
3030,-3.8745,0.9390,0.3138,601.81,-451.29,-186.95
3040,-3.8744,0.9370,0.3146,195.56,173.71,0.61
3050,-3.8744,0.9381,0.3118,-54.44,267.40,0.61
3060,-3.8745,0.9404,0.3077,86.18,-91.92,-77.58
3070,-3.8745,0.9402,0.3043,383.06,-607.54,-93.20
3080,-3.8745,0.9374,0.3040,351.81,-1045.04,-15.08
3090,-3.8744,0.9347,0.3058,-7.57,-1091.98,203.67
3100,-3.8744,0.9344,0.3064,-351.32,-857.60,375.55
3110,-3.8744,0.9363,0.3054,-382.57,-779.48,375.55
3120,-3.8744,0.9388,0.3048,-148.19,-904.48,188.05
3130,-3.8745,0.9410,0.3055,179.93,-982.54,-124.45
3140,-3.8745,0.9430,0.3062,461.18,-888.79,-327.58
3150,-3.8745,0.9442,0.3057,711.18,-810.67,-499.45
3160,-3.8745,0.9436,0.3080,867.43,-873.17,-640.08
3170,-3.8745,0.9413,0.3143,789.31,-576.29,-702.58
3180,-3.8745,0.9379,0.3192,492.43,236.21,-686.89
3190,-3.8745,0.9347,0.3170,54.93,861.21,-483.76
3200,-3.8745,0.9355,0.3092,-351.32,579.90,-140.01
3210,-3.8744,0.9388,0.3019,-241.94,-420.10,125.55
3220,-3.8744,0.9398,0.2993,179.93,-1357.54,313.05
3230,-3.8744,0.9381,0.3022,304.93,-1685.67,453.67
3240,-3.8744,0.9374,0.3062,86.18,-1310.67,375.55
3250,-3.8744,0.9390,0.3049,-7.57,-810.73,47.42
3260,-3.8745,0.9430,0.2977,195.56,-966.92,-546.33
3270,-3.8745,0.9479,0.2928,711.18,-1888.79,-1311.95
3280,-3.8745,0.9521,0.2993,1336.18,1486.21,1984.92
