timestamp_ms,ax,ay,az,gx,gy,gz
0,-3.8502,0.4589,-2.2998,976.81,859.50,89.90
10,-3.8507,0.9980,-2.5090,-1257.57,1625.85,1417.36
20,-3.8512,1.5735,-2.5461,-241.94,-1154.36,-208.07
30,-3.8517,2.0348,-2.4648,1414.31,-1903.20,948.12
40,-3.8527,2.3320,-2.3292,461.18,503.97,-145.45
50,-3.8538,2.4928,-2.1980,-1491.94,1863.89,-613.95
60,-3.8549,2.5084,-2.1125,-913.82,-1338.93,-82.46
70,-3.8556,2.3826,-2.0914,1086.18,1598.63,-1660.40
80,-3.8557,2.2112,-2.1504,976.81,301.51,42.79
90,-3.8551,2.0515,-2.2941,-960.69,754.27,-676.09
100,-3.8533,1.8658,-2.5533,-1398.19,-1636.66,1182.98
110,-3.8507,1.7008,-2.9789,-1163.82,1175.48,-83.13
120,-3.8474,1.7214,-3.4901,1711.18,-1293.58,1541.02
130,-3.8440,1.9630,-3.8726,351.81,1268.98,571.29
140,-3.8722,2.2195,-3.9886,-726.32,316.28,-898.19
150,-3.8695,2.2792,-3.9048,101.81,1457.46,-1304.69
160,-3.8673,2.1124,-3.7595,-257.57,191.89,633.00
170,-3.8658,1.8461,-3.5873,-1601.32,-1214.66,-1866.76
180,-3.8649,1.6194,-3.3871,304.93,831.73,1164.86
190,-3.8644,1.4652,-3.1736,-710.69,-1543.76,1618.35
200,-3.8643,1.3495,-2.9546,-445.07,1784.06,1306.27
210,-3.8645,1.2313,-2.7589,742.43,1815.12,-412.05
220,-3.8649,1.0632,-2.6145,1617.43,-1138.24,-36.68
230,-3.8652,0.8076,-2.4897,101.81,1345.83,354.25
240,-3.8657,0.4982,-2.3419,-616.94,1314.03,291.99
250,-3.8662,0.2371,-2.1630,-226.32,235.29,1511.05
260,-3.8668,0.1292,-1.9286,-1648.19,-858.95,-301.15
270,-3.8676,0.1995,-1.6326,539.31,1140.87,-1753.78
280,-3.8685,0.3898,-1.3489,1539.31,-968.38,621.77
290,-3.8699,0.5959,-1.1824,1898.68,-655.52,-658.94
300,-3.8712,0.6973,-1.1624,289.31,657.41,-1767.94
310,-3.8724,0.6412,-1.2253,1258.06,-779.91,-1814.82
320,-3.8733,0.4847,-1.2928,-1913.82,-842.53,1372.56
330,-3.8739,0.3147,-1.3235,-1945.07,-1483.46,-1565.06
340,-3.8743,0.1620,-1.3083,289.31,-1405.64,-518.25
350,-3.8743,0.0377,-1.2640,742.43,531.56,-1455.69
360,-3.8740,-0.0206,-1.1981,836.18,-1796.81,-1268.13
370,-3.8737,0.0043,-1.0872,1367.43,-1343.81,1075.74
380,-3.8735,0.0548,-0.9304,554.93,843.75,-1970.89
390,-3.8735,0.0551,-0.7759,-976.32,906.31,138.79
400,-3.8737,-0.0135,-0.6469,-945.07,687.56,154.72
410,-3.8737,-0.1626,-0.5460,-1726.32,1218.69,467.47
420,-3.8734,-0.3945,-0.4957,-804.44,-1875.37,-1876.10
430,-3.8728,-0.6339,-0.4630,1508.06,561.71,858.40
440,-3.8722,-0.7905,-0.4047,-1132.57,748.72,842.83
450,-3.8718,-0.8428,-0.3328,-1179.44,217.16,233.58
460,-3.8719,-0.8333,-0.2568,133.06,1420.23,-1094.42
470,-3.8722,-0.8246,-0.1938,1351.81,-861.02,61.95
480,-3.8727,-0.8444,-0.1677,-1538.82,-798.52,1421.45
490,-3.8732,-0.8724,-0.1635,-70.07,-1454.83,1093.38
