timestamp_ms,ax,ay,az,gx,gy,gz
0,-3.8730,0.6395,-0.4021,1164.31,-686.22,264.83
10,-3.8732,0.6179,-0.4315,1867.43,532.47,-1610.17
20,-3.8732,0.5844,-0.4661,-898.19,766.78,-516.48
30,-3.8730,0.5238,-0.5085,-1195.07,344.85,1639.71
40,-3.8730,0.4260,-0.5413,-945.07,-1092.77,-1688.54
50,-3.8730,0.3085,-0.5326,-1460.69,-1280.46,139.53
60,-3.8730,0.3835,-0.5078,-507.57,-171.33,-751.10
70,-3.8713,1.1504,-0.6241,1101.81,-999.27,905.21
80,-3.8676,1.8864,-0.6603,-741.94,111.57,-1735.60
90,-3.8662,1.4954,-0.3750,1461.18,-511.96,1373.66
100,-3.8695,0.6282,-0.0753,-585.69,2.87,-1953.86
110,-3.8732,0.2096,0.0092,414.31,-1639.40,-1890.81
120,-3.8746,0.4238,-0.0591,-1163.82,1172.24,-796.88
130,-3.8739,0.9105,-0.1407,-1741.94,438.29,953.00
140,-3.8728,1.1277,-0.1462,554.93,1986.15,1921.57
150,-3.8723,0.9629,-0.1121,351.81,1283.45,-62.81
160,-3.8722,0.6982,-0.1077,-741.94,1658.08,1499.76
170,-3.8723,0.5557,-0.1411,1383.06,-1779.91,-750.24
180,-3.8722,0.5144,-0.2050,-866.94,1938.54,624.69
190,-3.8721,0.4669,-0.2720,1851.81,1766.60,-859.80
200,-3.8717,0.3881,-0.3064,-226.32,1188.35,1093.20
210,-3.8715,0.3318,-0.2943,1679.93,781.98,-1531.86
220,-3.8713,0.3331,-0.2631,-1523.19,-1671.26,-438.11
230,-3.8713,0.4062,-0.2415,-1351.32,-1671.26,1483.83
240,-3.8715,0.5258,-0.2402,8.06,1094.54,265.14
250,-3.8717,0.6356,-0.2560,-695.07,1250.98,-1969.24
260,-3.8719,0.6970,-0.2717,1367.43,-764.40,1921.33
270,-3.8722,0.7074,-0.2681,1226.81,1220.09,-125.55
280,-3.8722,0.6901,-0.2507,-1445.07,1688.84,936.95
290,-3.8723,0.6714,-0.2371,336.18,-92.41,-969.30
300,-3.8723,0.6576,-0.2335,1945.56,1657.53,1515.14
310,-3.8723,0.6265,-0.2340,179.93,-1889.34,-1391.11
320,-3.8722,0.5764,-0.2272,195.56,-1951.90,-469.24
330,-3.8719,0.5348,-0.2188,1789.31,-1077.03,1296.39
340,-3.8718,0.5177,-0.2184,461.18,1.04,1124.57
350,-3.8718,0.5239,-0.2241,-1726.32,47.85,-1859.80
360,-3.8718,0.5431,-0.2292,-929.44,-686.52,1077.64
370,-3.8719,0.5614,-0.2313,1523.68,-1342.71,-344.24
380,-3.8719,0.5669,-0.2311,-132.57,-1608.34,-1094.24
390,-3.8719,0.5562,-0.2341,570.56,-1577.03,-1250.49
400,-3.8719,0.5452,-0.2296,-804.44,-1967.71,-1187.99
410,-3.8719,0.5582,-0.2274,1789.31,-1389.59,-1766.11
420,-3.8719,0.5441,-0.2621,-538.82,-1108.34,-1875.49
430,-3.8718,0.5032,-0.2959,1648.68,-1545.84,327.58
440,-3.8718,0.5079,-0.2819,414.31,-1874.02,-1438.11
450,-3.8718,0.5265,-0.2494,1023.68,-77.15,-1672.49
460,-3.8718,0.5187,-0.2328,-601.32,79.10,1280.76
470,-3.8718,0.5021,-0.2329,-1601.32,-1795.90,1312.01
480,-3.8718,0.4965,-0.2439,273.68,-1811.52,-1687.99
490,-3.8718,0.4951,-0.2577,-445.07,782.17,-437.99
500,-3.8717,0.4869,-0.2649,-616.94,-983.46,233.83
510,-3.8717,0.4779,-0.2634,-1663.82,-1905.33,655.70
520,-3.8717,0.4750,-0.2593,1179.93,-1717.83,890.08
530,-3.8717,0.4757,-0.2577,804.93,-1186.58,936.95
540,-3.8717,0.4773,-0.2550,898.68,-983.46,890.08
550,-3.8717,0.4824,-0.2456,1101.81,-639.71,515.08
560,-3.8718,0.4962,-0.2306,1758.06,563.42,-297.36
570,-3.8718,0.5155,-0.2209,-476.32,-1514.71,-1391.11
580,-3.8718,0.5264,-0.2247,1992.43,-280.27,1546.39
590,-3.8718,0.5215,-0.2371,-616.94,-764.65,921.39
600,-3.8718,0.5071,-0.2513,-1241.94,1657.23,1358.89
610,-3.8718,0.4873,-0.2622,914.31,-170.90,-813.05
620,-3.8717,0.4703,-0.2659,-1616.94,-1561.58,1327.58
630,-3.8717,0.4686,-0.2621,211.18,1969.67,-1500.55
640,-3.8717,0.4824,-0.2539,-7.57,-1546.02,-1969.30
650,-3.8717,0.4998,-0.2494,1758.06,-499.08,311.95
660,-3.8718,0.5082,-0.2504,-23.19,79.04,-1344.24
670,-3.8718,0.5057,-0.2504,1054.93,-45.90,-1969.30
680,-3.8718,0.5005,-0.2451,742.43,-45.90,-1781.80
690,-3.8718,0.4984,-0.2396,70.56,625.98,-1500.49
700,-3.8718,0.4976,-0.2412,-195.07,1329.04,-1094.24
710,-3.8718,0.4967,-0.2493,-304.44,1125.92,-437.99
720,-3.8717,0.4939,-0.2524,-413.82,94.67,280.76
730,-3.8717,0.4924,-0.2452,-773.19,-311.58,483.83
740,-3.8718,0.5023,-0.2356,-960.69,610.29,-234.86
750,-3.8718,0.5176,-0.2314,304.93,1844.73,-1344.24
760,-3.8718,0.5243,-0.2327,-1741.94,-1624.02,1702.64
770,-3.8718,0.5215,-0.2378,-882.57,-1780.27,1249.51
780,-3.8718,0.5128,-0.2446,-1241.94,1563.48,1296.39
790,-3.8718,0.5045,-0.2527,1648.68,688.48,1780.76
800,-3.8718,0.4962,-0.2593,586.18,-342.77,-1297.42
810,-3.8718,0.4860,-0.2635,-476.32,-1186.58,-391.17
820,-3.8717,0.4819,-0.2615,-1788.82,-1733.46,77.58
830,-3.8718,0.4905,-0.2565,1695.56,-1467.83,-125.55
840,-3.8718,0.5062,-0.2549,-1210.69,-827.21,-734.92
850,-3.8718,0.5150,-0.2505,804.93,-624.02,-1469.30
860,-3.8718,0.5161,-0.2477,1929.93,-61.52,1921.33
870,-3.8718,0.5160,-0.2493,-1929.44,297.85,1921.39
880,-3.8718,0.5183,-0.2490,-1945.07,94.73,-1937.99
890,-3.8718,0.5280,-0.2512,-1648.19,125.98,1421.39
900,-3.8718,0.5354,-0.2548,-413.82,-155.27,1343.20
910,-3.8718,0.5273,-0.2479,539.31,-608.34,-1719.30
920,-3.8718,0.5164,-0.2365,-491.94,266.60,-1469.24
930,-3.8718,0.5188,-0.2324,-1898.19,1735.35,-1750.49
940,-3.8718,0.5254,-0.2388,-1585.69,-1749.02,-1719.24
950,-3.8718,0.5265,-0.2522,-741.94,1438.48,-1219.24
960,-3.8718,0.5297,-0.2660,-601.32,-280.27,-625.55
970,-3.8718,0.5410,-0.2727,-195.07,1954.10,-453.67
980,-3.8718,0.5624,-0.2673,1258.06,1094.79,-1344.30
990,-3.8718,0.5846,-0.2610,-7.57,1782.29,968.20
1000,-3.8718,0.6184,-0.2706,-1163.82,-1405.15,-1219.30
1010,-3.8717,0.6526,-0.3395,-835.69,1360.53,-203.67
1020,-3.8716,0.6793,-0.4354,-460.69,548.10,1608.70
1030,-3.8718,0.7457,-0.4923,-1038.82,266.91,-422.73
1040,-3.8718,0.8564,-0.5399,-538.82,985.78,374.02
1050,-3.8716,0.9751,-0.5859,1633.06,-1107.73,1514.53
1060,-3.8713,1.0701,-0.5864,820.56,1001.89,-126.16
1070,-3.8712,1.1005,-0.5587,976.81,939.58,-110.53
1080,-3.8712,1.0306,-0.5770,867.43,486.51,-922.97
1090,-3.8712,0.8846,-0.6355,-70.07,-1857.42,686.34
1100,-3.8713,0.7288,-0.6670,1242.43,-1342.04,1326.84
1110,-3.8716,0.6212,-0.6343,1289.31,-1373.60,-470.09
1120,-3.8717,0.5873,-0.5637,-476.32,-1186.34,764.34
1130,-3.8719,0.6072,-0.4996,-820.07,-155.15,-329.28
1140,-3.8719,0.6342,-0.4342,1726.81,48.03,780.27
1150,-3.8721,0.6343,-0.3428,1179.93,423.10,-1141.48
1160,-3.8721,0.6117,-0.2399,1195.56,126.22,983.70
1170,-3.8722,0.5845,-0.1656,-1695.07,1298.03,-578.61
1180,-3.8722,0.5552,-0.1372,-1179.44,-1202.03,-937.87
1190,-3.8722,0.5135,-0.1384,-929.44,-1561.46,-328.43
1200,-3.8722,0.4583,-0.1290,1742.43,-1717.77,-500.31
1210,-3.8722,0.4097,-0.0837,-1335.69,-514.77,1734.07
1220,-3.8723,0.3855,-0.0183,445.56,1282.04,-172.06
1230,-3.8723,0.3795,0.0494,1351.81,1656.98,-656.31
1240,-3.8722,0.3849,0.1102,586.18,-1671.14,671.94
1250,-3.8721,0.4236,0.1475,1273.68,-1889.89,343.93
1260,-3.8719,0.5179,0.1497,-1773.19,-1124.21,-1765.38
1270,-3.8717,0.6587,0.1368,-1695.07,-842.77,1187.74
1280,-3.8715,0.8127,0.1429,320.56,1516.91,390.87
1290,-3.8713,0.9503,0.1793,39.31,-1701.54,-171.63
1300,-3.8711,1.0464,0.2345,1648.68,-1045.04,1937.81
1310,-3.8711,1.0806,0.2948,1945.56,-1982.36,-1124.57
1320,-3.8712,1.0618,0.3500,-1679.44,1736.45,438.05
1330,-3.8717,1.0430,0.4032,-85.69,798.89,-61.83
1340,-3.8722,1.0948,0.4741,1508.06,-388.61,-93.02
1350,-3.8727,1.2792,0.5616,148.68,689.64,-874.08
1360,-3.8730,1.5962,0.6411,-257.57,-106.93,1829.16
1370,-3.8732,1.9108,0.6869,320.56,-1934.39,63.72
1380,-3.8732,2.0691,0.6863,586.18,-74.40,673.16
1390,-3.8732,2.0588,0.6564,851.81,-152.22,-1123.72
1400,-3.8732,1.9557,0.6267,-460.69,19.59,-1514.34
1410,-3.8733,1.8390,0.6116,-1663.82,222.53,610.60
1420,-3.8737,1.7688,0.6029,-601.32,-1715.21,-686.34
1430,-3.8739,1.7471,0.5968,-1585.69,1175.29,-1701.97
1440,-3.8741,1.7278,0.5977,-366.94,393.98,-1889.47
1450,-3.8744,1.6797,0.6019,1164.31,503.36,1954.28
1460,-3.8746,1.6088,0.6058,-991.94,1050.11,1844.91
1470,-3.8749,1.5400,0.6025,1929.93,1549.99,-873.84
1480,-3.8750,1.5046,0.5751,1133.06,1127.99,-1358.22
1490,-3.8750,1.5024,0.5145,601.81,1612.30,1219.85
1500,-3.8750,1.4791,0.4486,320.56,1862.30,1922.85
1510,-3.8750,1.3928,0.4103,1336.18,1424.74,1750.85
1520,-3.8439,1.2513,0.4033,-1710.69,518.31,1891.42
1530,-3.8441,1.0637,0.4149,179.93,-372.56,860.11
