timestamp_ms,ax,ay,az,gx,gy,gz
0,-3.8730,1.1755,-1.6910,-648.19,-857.06,700.01
10,-3.8730,1.0618,-1.8092,-1523.19,-450.87,-222.11
20,-3.8727,0.8486,-1.9288,-85.69,423.89,-1691.04
30,-3.8721,0.5316,-2.0493,633.06,1111.02,-706.91
40,-3.8711,0.1394,-2.1348,54.93,1688.54,105.35
50,-3.8702,-0.2622,-2.1512,1851.81,-1249.76,542.66
60,-3.8698,-0.6028,-2.0907,-1554.44,655.70,-941.71
70,-3.8695,-0.8556,-1.9612,-1148.19,405.03,292.79
80,-3.8696,-1.0414,-1.8159,-1507.57,982.67,-1456.97
90,-3.8696,-1.1868,-1.7069,-1288.82,-423.95,-1816.10
100,-3.8695,-1.3124,-1.6283,101.81,1528.93,-1143.98
110,-3.8693,-1.4440,-1.5575,23.68,-408.81,-96.98
120,-3.8689,-1.5984,-1.4808,-820.07,653.38,1059.45
130,-3.8688,-1.7603,-1.3953,-585.69,-1534.42,981.45
140,-3.8689,-1.9064,-1.2950,-1304.44,1418.40,1106.63
150,-3.8693,-2.0269,-1.1683,-7.57,-1753.78,1997.44
160,-3.8698,-2.1063,-1.0199,570.56,-1535.22,1810.18
170,-3.8704,-2.1338,-0.8694,-1601.32,1464.60,-1423.89
180,-3.8710,-2.1216,-0.7296,-1116.94,730.16,1810.79
190,-3.8716,-2.0847,-0.6033,445.56,-1379.15,1623.54
200,-3.8721,-2.0291,-0.4912,1164.31,-1207.21,155.03
210,-3.8726,-1.9514,-0.4052,289.31,1136.66,-844.73
220,-3.8728,-1.8395,-0.3566,-1773.19,152.40,-1344.54
230,-3.8730,-1.6921,-0.3423,554.93,-1628.60,-344.48
240,-3.8732,-1.5228,-0.3602,-585.69,199.77,514.95
250,-3.8734,-1.3497,-0.4069,1086.18,1903.26,-1953.86
260,-3.8735,-1.1947,-0.4701,-757.57,-65.19,921.02
270,-3.8737,-1.0754,-0.5425,-913.82,-158.63,-1875.98
280,-3.8737,-1.0004,-0.6240,-1648.19,-1424.01,1733.28
290,-3.8737,-0.9559,-0.7096,-38.82,138.61,-673.10
300,-3.8735,-0.9087,-0.7928,1648.68,1185.61,-438.90
310,-3.8733,-0.8472,-0.8748,-304.44,-1470.58,-1892.21
320,-3.8730,-0.7874,-0.9541,-429.44,45.17,1092.04
330,-3.8729,-0.7291,-1.0348,-773.19,1889.04,-220.64
340,-3.8727,-0.6514,-1.1381,-1320.07,-438.96,-1517.70
350,-3.8724,-0.5305,-1.2806,633.06,-1657.53,-1267.88
360,-3.8721,-0.3672,-1.4597,101.81,92.71,-924.38
370,-3.8716,-0.1865,-1.6418,1008.06,1171.14,-752.87
380,-3.8710,-0.0082,-1.7742,133.06,1859.01,1074.89
390,-3.8705,0.1543,-1.8260,-1038.82,921.81,-1425.35
400,-3.8700,0.2949,-1.8073,-241.94,-1734.13,402.65
410,-3.8699,0.4242,-1.7355,1758.06,672.42,-550.42
420,-3.8699,0.5400,-1.6251,-1695.07,1860.17,-34.67
430,-3.8699,0.6211,-1.5017,1133.06,-14.59,793.64
440,-3.8700,0.6674,-1.3949,-491.94,-217.59,1153.26
450,-3.8701,0.6926,-1.3165,1429.93,1454.41,-1518.37
460,-3.8701,0.7015,-1.2572,664.31,-514.28,1403.63
470,-3.8701,0.7075,-1.2053,1804.93,-920.53,-1143.13
480,-3.8700,0.7336,-1.1531,-1429.44,1720.09,1575.74
490,-3.8700,0.7839,-1.1014,1914.31,407.65,-877.26
500,-3.8700,0.8463,-1.0447,351.81,-982.85,-861.57
510,-3.8700,0.9172,-0.9594,336.18,-1717.10,1888.55
520,-3.8701,1.0015,-0.8358,1414.31,1204.90,1716.86
530,-3.8704,1.0944,-0.6926,195.56,1017.58,1545.23
540,-3.8707,1.1895,-0.5437,86.18,-654.11,-720.15
550,-3.8710,1.2911,-0.3969,258.06,-1591.43,1248.90
560,-3.8712,1.3999,-0.2665,1273.68,1205.63,46.08
570,-3.8716,1.5033,-0.1553,-804.44,1893.31,-1172.42
580,-3.8718,1.5887,-0.0614,429.93,127.93,796.57
590,-3.8722,1.6600,0.0115,-632.57,143.68,-1156.37
600,-3.8724,1.7361,0.0647,492.43,1471.98,-1109.38
610,-3.8726,1.8247,0.1036,-1773.19,284.61,1000.12
620,-3.8728,1.9125,0.1260,1570.56,1269.17,-218.57
630,-3.8729,1.9780,0.1324,804.93,128.72,-952.88
640,-3.8730,2.0016,0.1337,1195.56,956.97,-202.88
650,-3.8730,1.9724,0.1365,211.18,1113.28,1297.12
660,-3.8732,1.8969,0.1329,476.81,1472.60,1781.49
670,-3.8733,1.7933,0.1055,-1195.07,1019.29,1203.37
680,-3.8734,1.6831,0.0414,1554.93,1503.48,953.31
690,-3.8735,1.5801,-0.0518,-554.44,1300.11,-1390.56
700,-3.8735,1.4960,-0.1537,-1741.94,1378.05,-1562.62
710,-3.8735,1.4379,-0.2466,-507.57,330.99,-562.81
720,-3.8734,1.4027,-0.3308,54.93,440.31,1093.26
730,-3.8734,1.3898,-0.4291,-445.07,1658.94,-516.30
740,-3.8733,1.3950,-0.5544,1898.68,1080.81,-1500.85
750,-3.8732,1.4088,-0.6879,-1429.44,1033.94,1436.40
760,-3.8730,1.4285,-0.7954,336.18,-44.13,295.47
770,-3.8729,1.4526,-0.8607,-1148.19,-1809.75,248.41
780,-3.8728,1.4675,-0.9097,1945.56,1830.93,1138.92
790,-3.8727,1.4657,-0.9679,-148.19,-434.69,654.42
800,-3.8727,1.4513,-1.0334,-382.57,112.18,1357.48
810,-3.8728,1.4380,-1.1141,1773.68,-278.44,-392.70
820,-3.8728,1.4387,-1.2327,70.56,1393.43,904.05
830,-3.8729,1.4468,-1.3921,164.31,-1778.44,-111.82
840,-3.8727,1.4468,-1.5769,1195.56,1815.31,169.13
850,-3.8723,1.4108,-1.7740,1195.56,-1840.94,887.51
860,-3.8717,1.2976,-1.9651,586.18,924.62,840.27
870,-3.8711,1.0830,-2.1421,-1898.19,471.25,-550.72
880,-3.8704,0.7706,-2.3044,-1366.94,1814.58,-1551.09
890,-3.8696,0.3768,-2.4165,-1351.32,1032.71,1854.86
900,-3.8689,-0.0728,-2.4330,242.43,-1311.77,1073.36
910,-3.8683,-0.5226,-2.3569,-1304.44,593.57,1042.11
920,-3.8680,-0.8773,-2.2288,1117.43,-1672.91,-426.51
930,-3.8680,-1.0641,-2.0862,-288.82,-1267.40,214.36
940,-3.8685,-1.1171,-1.9502,-195.07,982.24,-1566.59
950,-3.8690,-1.1447,-1.8221,1023.68,-1611.57,-300.72
960,-3.8691,-1.2170,-1.6962,1492.43,-1221.01,324.52
970,-3.8691,-1.3462,-1.5804,226.81,-1096.13,731.02
980,-3.8691,-1.5236,-1.4700,-304.44,1716.06,-799.99
990,-3.8691,-1.7286,-1.3450,992.43,-143.62,-737.30
1000,-3.8693,-1.9329,-1.2039,-1257.57,-144.04,-1221.44
1010,-3.8695,-2.0970,-1.0579,601.81,1918.09,-1908.63
1020,-3.8699,-2.1909,-0.9233,-413.82,605.22,1982.30
1030,-3.8704,-2.2141,-0.8049,-429.44,1823.79,-470.58
1040,-3.8707,-2.1824,-0.6888,601.81,980.04,1873.41
1050,-3.8711,-2.1067,-0.5863,664.31,-160.52,-517.03
1060,-3.8713,-2.0020,-0.5181,-1648.19,964.60,-813.66
1070,-3.8716,-1.8716,-0.4717,-241.94,1699.16,1108.34
1080,-3.8721,-1.7003,-0.4318,445.56,-363.04,-422.85
1090,-3.8726,-1.4935,-0.4097,-1632.57,746.64,-407.10
1100,-3.8729,-1.2817,-0.4219,836.18,-424.80,514.77
1110,-3.8735,-0.7703,-0.6215,-1945.07,-1095.58,1155.15
1120,-3.8735,-0.6483,-0.6816,1414.31,467.22,-1532.47
1130,-3.8734,-0.5656,-0.7242,1023.68,764.34,920.53
1140,-3.8733,-0.5043,-0.7778,-382.57,-688.66,1326.66
1150,-3.8730,-0.4385,-0.8398,-538.82,452.09,-1626.53
1160,-3.8727,-0.3690,-0.9019,-116.94,514.71,-1689.15
1170,-3.8723,-0.3059,-0.9703,773.68,577.39,451.35
1180,-3.8721,-0.2574,-1.0382,851.81,-188.11,76.17
1190,-3.8719,-0.2286,-1.0898,-945.07,-875.55,-1236.45
1200,-3.8717,-0.1963,-1.1218,-1257.57,515.14,1044.74
1210,-3.8716,-0.1396,-1.1436,-1116.94,421.45,-502.20
1220,-3.8713,-0.0690,-1.1710,-1866.94,1640.32,-1549.13
1230,-3.8711,0.0068,-1.2107,-820.07,-1875.18,1903.93
1240,-3.8708,0.0890,-1.2518,883.06,1031.25,1794.49
1250,-3.8706,0.1691,-1.2843,-601.32,-234.25,1513.12
1260,-3.8704,0.2382,-1.3048,1648.68,-390.32,653.69
1270,-3.8702,0.2921,-1.3123,-1507.57,984.80,-596.31
1280,-3.8700,0.3372,-1.3125,1398.68,31.80,-1799.44
1290,-3.8698,0.3898,-1.3085,-835.69,0.61,-1408.81
1300,-3.8694,0.4485,-1.2959,1898.68,516.36,1966.19
1310,-3.8690,0.5010,-1.2727,1414.31,-1874.15,-1174.44
1320,-3.8687,0.5405,-1.2405,133.06,1094.73,1528.75
1330,-3.8685,0.5710,-1.1992,1195.56,1219.79,-596.19
1340,-3.8684,0.6023,-1.1501,1101.81,-1498.90,372.62
1350,-3.8685,0.6514,-1.0851,1101.81,782.41,997.74
1360,-3.8688,0.7445,-0.9845,-616.94,1110.60,888.49
1370,-3.8693,0.8978,-0.8529,-695.07,1985.78,-111.33
1380,-3.8696,1.1100,-0.7183,-1070.07,-1170.17,185.79
1390,-3.8712,1.9022,-0.1533,-1351.32,-918.46,405.64
1400,-3.8716,1.9780,-0.0571,-507.57,378.66,-719.06
1410,-3.8718,2.0125,-0.0040,1195.56,691.35,-1937.62
1420,-3.8721,2.0229,0.0205,1601.81,-511.72,1578.06
1430,-3.8723,2.0292,0.0281,-1054.44,-1371.09,-1546.88
1440,-3.8724,2.0433,0.0331,-257.57,-402.34,218.75
1450,-3.8727,2.0566,0.0493,1554.93,238.34,-1296.81
1460,-3.8728,2.0448,0.0732,-741.94,-1683.53,1734.44
1470,-3.8729,1.9855,0.0825,1742.43,1378.97,187.62
1480,-3.8732,1.8773,0.0609,-1851.32,-1433.65,-1640.50
1490,-3.8733,1.7363,0.0167,304.93,-199.46,-1937.44
1500,-3.8734,1.5831,-0.0331,-1741.94,-1856.02,-31.25
1510,-3.8734,1.4436,-0.0847,-1351.32,-231.32,-359.50
1520,-3.8733,1.3383,-0.1383,789.31,1159.06,281.07
1530,-3.8733,1.2668,-0.1960,-695.07,-1700.56,827.82
1540,-3.8733,1.2133,-0.2721,-1835.69,-1091.31,1046.45
