timestamp_ms,ax,ay,az,gx,gy,gz
0,-3.8712,0.2089,-0.3230,-773.19,-1609.01,-985.05
10,-3.8712,0.2080,-0.3101,-1257.57,-1343.38,-438.17
20,-3.8711,0.2074,-0.2946,-1366.94,312.87,218.14
30,-3.8711,0.2021,-0.2854,-1445.07,-1702.76,546.26
40,-3.8711,0.1954,-0.2855,1883.06,-530.88,390.01
50,-3.8711,0.1907,-0.2883,1023.68,-546.51,61.89
60,-3.8712,0.1863,-0.2903,414.31,-905.88,-375.61
70,-3.8712,0.1737,-0.3162,-1179.44,953.43,1952.51
80,-3.8712,0.1687,-0.3246,-1757.57,-468.44,1561.83
90,-3.8712,0.1664,-0.3267,1601.81,-1546.57,874.33
100,-3.8713,0.1730,-0.3204,1304.93,-1812.19,-516.30
110,-3.8713,0.1914,-0.3108,-1851.32,-1015.32,1921.20
120,-3.8713,0.2181,-0.3068,508.06,219.12,1046.26
130,-3.8713,0.2463,-0.3108,-70.07,734.74,1015.01
140,-3.8713,0.2679,-0.3182,-460.69,219.18,1577.51
150,-3.8713,0.2754,-0.3242,-1695.07,-733.89,-1516.30
160,-3.8713,0.2677,-0.3271,-741.94,-1499.51,-578.80
170,-3.8712,0.2516,-0.3250,-1726.32,-1874.51,61.83
180,-3.8712,0.2330,-0.3191,211.18,-1593.26,46.20
190,-3.8713,0.2159,-0.3120,1836.18,-843.32,-672.55
200,-3.8713,0.2029,-0.3032,-351.32,62.87,-1484.99
210,-3.8713,0.1897,-0.2949,1976.81,1187.87,-1828.74
220,-3.8713,0.1710,-0.2891,289.31,-1749.63,-1828.74
230,-3.8713,0.1488,-0.2863,1898.68,-999.69,1936.89
240,-3.8713,0.1305,-0.2834,-945.07,-640.38,1093.14
250,-3.8715,0.1188,-0.2783,711.18,-281.01,-156.86
260,-3.8715,0.1079,-0.2783,-788.82,375.18,-1141.17
270,-3.8715,0.0973,-0.2910,1820.56,375.18,-1234.92
280,-3.8715,0.0908,-0.3134,461.18,-1249.82,-406.86
290,-3.8713,0.0905,-0.3326,-366.94,-109.25,952.45
300,-3.8713,0.0964,-0.3368,-413.82,1422.00,-1922.55
310,-3.8713,0.1055,-0.3265,351.81,890.81,-1844.42
