timestamp_ms,ax,ay,az,gx,gy,gz
0,-3.8744,0.3953,-0.0408,804.93,-421.20,1296.69
10,-3.8741,0.4110,-0.0151,-1398.19,-1218.02,-1343.87
20,-3.8738,0.4081,0.0238,617.43,-1936.71,187.44
30,-3.8735,0.4174,0.0795,242.43,-952.33,875.00
40,-3.8734,0.4460,0.1284,1429.93,-1827.33,-249.88
50,-3.8732,0.4846,0.1428,1101.81,438.35,593.99
60,-3.8730,0.5332,0.1321,-1960.69,-1717.83,1547.12
70,-3.8728,0.5901,0.1366,258.06,907.29,1156.49
80,-3.8726,0.6525,0.1807,-460.69,1485.47,-406.01
90,-3.8722,0.7076,0.2417,-476.32,-873.78,-968.44
100,-3.8718,0.7406,0.2832,-1413.82,-1061.16,1672.30
110,-3.8716,0.7600,0.2974,-1195.07,251.40,-77.58
120,-3.8712,0.7842,0.2906,1289.31,-1936.04,-1874.45
130,-3.8708,0.8223,0.2725,383.06,1204.65,141.17
140,-3.8706,0.8738,0.2695,1258.06,-1123.41,-1312.01
150,-3.8702,0.9313,0.2999,-148.19,-1498.35,78.61
160,-3.8701,0.9818,0.3469,-788.82,-1607.60,1141.17
170,-3.8701,1.0100,0.3911,1679.93,408.14,1031.92
180,-3.8702,1.0027,0.4308,1289.31,-1935.55,1047.61
190,-3.8705,0.9595,0.4496,351.81,-857.42,-889.83
200,-3.8706,0.8875,0.4078,-1179.44,1548.71,-1780.40
210,-3.8706,0.8108,0.3142,1601.81,204.83,1969.54
220,-3.8705,0.7979,0.2450,-210.69,220.28,-890.01
230,-3.8702,0.8861,0.2478,-1866.94,-639.10,-1937.07
240,-3.8701,1.0305,0.2958,1429.93,-279.54,-233.95
250,-3.8699,1.1664,0.3480,-85.69,1861.33,375.55
260,-3.8698,1.2421,0.3875,1304.93,549.13,1203.80
270,-3.8695,1.2286,0.4160,-1007.57,1596.13,188.23
280,-3.8693,1.1520,0.4559,1273.68,1252.38,-1921.08
290,-3.8689,1.0640,0.5254,-538.82,-1638.43,1016.48
300,-3.8687,0.9879,0.6199,195.56,-747.92,-514.65
310,-3.8683,0.9137,0.7152,-1538.82,-654.36,1688.66
320,-3.8680,0.8285,0.7777,961.18,-451.35,-811.16
330,-3.8678,0.7312,0.7946,-1945.07,-451.54,-1592.29
340,-3.8677,0.6245,0.7966,1601.81,1704.53,-1373.47
350,-3.8676,0.5104,0.8235,-54.44,1969.91,485.90
360,-3.8676,0.3884,0.8687,1336.18,1407.23,1314.09
370,-3.8676,0.2606,0.9011,1726.81,-811.77,-1154.60
380,-3.8674,0.1372,0.9119,1367.43,-655.76,-1529.54
390,-3.8673,0.0320,0.9113,1570.56,718.99,-1498.23
400,-3.8673,-0.0541,0.8943,101.81,640.69,-404.48
410,-3.8673,-0.1172,0.8484,1086.18,-1515.75,1657.96
420,-3.8674,-0.1515,0.7855,1008.06,609.13,-1717.10
430,-3.8676,-0.1682,0.7318,617.43,562.19,1970.28
440,-3.8677,-0.1793,0.6940,-1523.19,1687.13,173.28
450,-3.8679,-0.1805,0.6616,1054.93,843.38,485.72
460,-3.8683,-0.1576,0.6257,898.68,702.76,-639.34
470,-3.8685,-0.1064,0.5813,-163.82,109.01,1423.10
480,-3.8689,-0.0421,0.5269,-1616.94,-1578.37,-405.15
490,-3.8691,0.0211,0.4713,-1382.57,-547.00,-999.02
500,-3.8693,0.0697,0.4366,-1288.82,328.12,375.92
510,-3.8695,0.0957,0.4290,929.93,-109.25,-1592.96
520,-3.8698,0.0952,0.4352,258.06,-1093.57,-874.21
530,-3.8700,0.0605,0.4476,195.56,-296.69,-1421.08
540,-3.8702,-0.0052,0.4647,-241.94,1296.94,1578.98
550,-3.8705,-0.0846,0.4874,-663.82,-500.06,250.85
560,-3.8708,-0.1658,0.5154,1179.93,-1593.93,-1108.46
570,-3.8711,-0.2469,0.5417,-1210.69,1984.01,1485.35
580,-3.8715,-0.3177,0.5479,398.68,1358.89,-373.96
590,-3.8717,-0.3668,0.5195,-663.82,-1860.05,1126.04
600,-3.8721,-0.3925,0.4705,1054.93,-1485.11,-1374.02
610,-3.8723,-0.3922,0.4221,1773.68,233.58,1313.42
620,-3.8726,-0.3676,0.3787,1804.93,-1953.92,1172.67
630,-3.8728,-0.3291,0.3446,961.18,483.64,-1858.64
640,-3.8729,-0.2938,0.3374,1883.06,124.33,641.30
650,-3.8730,-0.2798,0.3469,-1601.32,-797.49,94.36
660,-3.8733,-0.2740,0.3326,195.56,421.33,-1468.08
670,-3.8734,-0.2539,0.3041,929.93,-1406.80,906.86
680,-3.8735,-0.2123,0.2994,-491.94,-1063.05,-1765.08
690,-3.8735,-0.1541,0.3048,836.18,-1656.68,438.05
700,-3.8737,-0.1008,0.2828,289.31,-969.06,766.17
710,-3.8738,-0.0675,0.2400,-898.19,218.51,203.67
720,-3.8740,-0.0616,0.1975,-632.57,-1265.81,-390.20
730,-3.8741,-0.0948,0.1709,117.43,1296.75,-296.51
740,-3.8741,-0.1414,0.1771,-132.57,1890.38,234.68
750,-3.8743,-0.1289,0.1787,1914.31,-1312.81,297.18
760,-3.8745,-0.0358,0.1217,-491.94,-1109.68,-280.94
770,-3.8746,0.0919,0.0144,-570.07,-406.37,-1109.19
780,-3.8748,0.2048,-0.0963,-226.32,1843.87,-1328.12
790,-3.8749,0.2726,-0.1769,-1773.19,-327.76,-890.87
800,-3.8749,0.2892,-0.2216,-1101.32,1359.86,359.01
810,-3.8750,0.2778,-0.2391,1023.68,-358.83,-672.36
820,-3.8749,0.2762,-0.2434,-429.44,1391.11,327.64
830,-3.8749,0.3046,-0.2426,-632.57,844.24,-953.61
840,-3.8748,0.3567,-0.2251,-1007.57,953.67,-1219.24
850,-3.8746,0.4150,-0.1874,1664.31,-811.83,-859.86
860,-3.8744,0.4646,-0.1537,1133.06,16.42,312.13
870,-3.8743,0.4965,-0.1337,-523.19,328.98,-1156.56
880,-3.8740,0.5076,-0.1130,-445.07,-1108.46,-1703.43
890,-3.8738,0.4976,-0.0878,976.81,1532.23,1609.13
900,-3.8735,0.4675,-0.0632,-304.44,766.54,1077.94
910,-3.8733,0.4346,-0.0227,-148.19,-92.90,1796.69
920,-3.8730,0.4238,0.0508,-366.94,1094.54,-750.06
930,-3.8728,0.4465,0.1354,-1741.94,-1499.21,-312.44
940,-3.8726,0.5042,0.1913,1164.31,1328.98,-1046.63
950,-3.8723,0.5912,0.2096,539.31,485.35,-655.88
960,-3.8719,0.6892,0.2036,-320.07,-1170.78,-1843.38
970,-3.8716,0.7778,0.1803,226.81,-1936.16,984.74
980,-3.8713,0.8496,0.1439,-429.44,-920.41,1734.68
990,-3.8711,0.9062,0.1035,758.06,-1576.48,312.74
1000,-3.8710,0.9495,0.0746,8.06,1251.77,312.68
1010,-3.8710,0.9839,0.0659,1539.31,1548.71,-1437.38
1020,-3.8708,1.0175,0.0662,1945.56,439.39,750.12
1030,-3.8708,1.0504,0.0642,-1757.57,470.70,-140.50
1040,-3.8706,1.0741,0.0704,-1538.82,220.76,578.25
1050,-3.8705,1.0750,0.0959,1492.43,1017.70,1922.00
1060,-3.8704,1.0449,0.1315,1601.81,283.33,-1671.69
1070,-3.8702,0.9945,0.1600,1758.06,830.14,-1234.13
1080,-3.8700,0.9530,0.1736,-695.07,486.27,625.31
1090,-3.8699,0.9435,0.1821,1992.43,-1779.42,-390.32
1100,-3.8696,0.9705,0.2040,773.68,-685.67,-1296.57
