timestamp_ms,ax,ay,az,gx,gy,gz
0,-3.8707,-0.4155,-0.9001,-398.19,686.71,-111.08
10,-3.8702,-0.4307,-0.9258,-1179.44,796.02,-1673.65
20,-3.8699,-0.4337,-0.9153,883.06,1514.77,451.29
30,-3.8699,-0.4558,-0.8551,492.43,-1141.48,-1345.58
40,-3.8700,-0.5151,-0.7611,1664.31,-1438.42,-1939.21
50,-3.8702,-0.6003,-0.6550,-1929.44,-1407.29,-1501.53
60,-3.8705,-0.6984,-0.5409,-835.69,170.65,-313.78
70,-3.8706,-0.8112,-0.4154,-1382.57,-1220.15,-782.35
80,-3.8706,-0.9459,-0.2893,179.93,-1157.84,686.65
90,-3.8707,-1.0988,-0.1853,-1070.07,-1017.52,-734.99
100,-3.8707,-1.2518,-0.1250,-632.57,294.68,-1281.62
110,-3.8707,-1.3795,-0.1222,-226.32,13.12,-31.49
120,-3.8706,-1.4437,-0.1628,-570.07,372.25,-531.49
130,-3.8704,-1.4124,-0.2051,-788.82,-830.99,390.26
140,-3.8702,-1.2916,-0.2170,-773.19,1762.82,421.45
150,-3.8702,-1.1228,-0.1907,-1320.07,231.81,952.70
160,-3.8704,-0.9514,-0.1450,289.31,-392.82,-1578.55
170,-3.8705,-0.8131,-0.1228,-1773.19,1451.23,-1031.56
180,-3.8705,-0.7262,-0.1423,-70.07,295.23,687.26
190,-3.8705,-0.6757,-0.1759,-945.07,1795.41,1343.44
200,-3.8704,-0.6383,-0.1997,1523.68,1498.66,265.26
210,-3.8704,-0.6050,-0.2163,-1695.07,-1548.16,-562.93
220,-3.8702,-0.5686,-0.2256,-1429.44,326.90,1890.20
230,-3.8702,-0.5321,-0.2286,-773.19,-860.53,-562.99
240,-3.8701,-0.5065,-0.2461,-101.32,-1251.10,890.14
250,-3.8701,-0.4956,-0.2864,-820.07,514.59,-1344.24
260,-3.8701,-0.4921,-0.3252,570.56,-641.60,-625.61
270,-3.8701,-0.4835,-0.3546,1023.68,-1610.35,1952.45
280,-3.8702,-0.4722,-0.3978,-1882.57,-1375.98,-1016.36
290,-3.8704,-0.4669,-0.4592,-429.44,1092.77,-485.17
300,-3.8704,-0.4612,-0.5204,242.43,1233.46,233.46
310,-3.8705,-0.4395,-0.5782,976.81,1405.33,-1719.79
320,-3.8705,-0.4044,-0.6399,-241.94,1999.08,1795.72
330,-3.8705,-0.3745,-0.6957,242.43,-1891.42,1608.09
340,-3.8705,-0.3623,-0.7299,70.56,-1031.98,701.72
350,-3.8706,-0.3663,-0.7375,1633.06,-1406.98,-1642.09
