timestamp_ms,ax,ay,az,gx,gy,gz
0,-3.8439,0.1127,-0.9811,-304.44,1125.18,1841.80
10,-3.8439,0.0972,-0.9822,-1570.07,-1577.94,-1361.33
20,-3.8439,0.0752,-0.9949,445.56,-1718.57,-111.33
30,-3.8750,0.0494,-1.0033,1633.06,656.37,1966.80
40,-3.8749,0.0277,-1.0004,-1663.82,-421.81,888.61
50,-3.8748,0.0170,-0.9946,-445.07,-46.88,435.49
60,-3.8748,0.0167,-0.9915,-1820.07,687.50,-111.33
70,-3.8746,0.0234,-0.9851,-1851.32,1093.75,-1501.95
80,-3.8746,0.0294,-0.9733,-991.94,1906.25,-33.20
90,-3.8745,0.0298,-0.9651,-226.32,-578.12,294.92
100,-3.8745,0.0269,-0.9697,-179.44,468.75,13.73
110,-3.8746,0.0223,-0.9836,-554.44,-125.00,-330.08
120,-3.8746,0.0157,-0.9948,-1132.57,-1906.25,-689.45
130,-3.8746,0.0109,-0.9941,-1976.32,671.88,-1064.45
140,-3.8746,0.0103,-0.9860,1398.68,750.00,-1533.20
150,-3.8746,0.0132,-0.9817,1320.56,1796.88,1841.80
160,-3.8746,0.0187,-0.9832,1695.56,-1656.25,1091.80
170,-3.8746,0.0232,-0.9844,-1601.32,-1843.75,154.30
180,-3.8748,0.0212,-0.9861,-1023.19,-2000.00,-1298.83
190,-3.8748,0.0155,-0.9915,-1273.19,1781.25,873.05
200,-3.8749,0.0165,-0.9900,1992.43,1093.75,-767.58
210,-3.8749,0.0275,-0.9706,-1882.57,1281.25,1998.05
220,-3.8749,0.0405,-0.9435,-476.32,-234.38,1310.55
230,-3.8749,0.0453,-0.9312,1195.56,-765.56,1841.86
240,-3.8749,0.0385,-0.9412,1804.93,812.56,-611.21
250,-3.8749,0.0249,-0.9651,929.93,-468.69,-361.27
260,-3.8749,0.0150,-0.9902,-804.44,468.75,982.48
270,-3.8750,0.0166,-1.0035,1929.93,1250.00,373.05
280,-3.8440,0.0280,-1.0045,-1866.94,-453.12,-564.51
290,-3.8441,0.0433,-1.0013,-413.82,-578.12,-752.01
300,-3.8441,0.0555,-1.0006,1554.93,-171.81,560.49
310,-3.8442,0.0586,-1.0051,-882.57,-78.06,-95.76
320,-3.8441,0.0552,-1.0088,-491.94,-656.19,1263.61
330,-3.8441,0.0510,-1.0028,-929.44,-1124.94,-236.39
340,-3.8440,0.0454,-0.9866,-1460.69,-359.31,-1720.76
350,-3.8439,0.0360,-0.9692,1820.56,1718.81,248.05
360,-3.8439,0.0226,-0.9575,617.43,-62.44,1482.42
370,-3.8439,0.0063,-0.9565,-1101.32,1437.50,-1705.02
380,-3.8439,-0.0071,-0.9648,820.56,1562.50,-689.39
390,-3.8750,-0.0112,-0.9725,-898.19,515.56,560.61
400,-3.8750,-0.0052,-0.9764,-1429.44,-468.81,1169.92
410,-3.8750,0.0066,-0.9821,-663.82,-968.81,810.55
420,-3.8750,0.0175,-0.9917,851.81,-1703.12,232.42
430,-3.8750,0.0260,-0.9972,-1757.57,1062.50,419.92
440,-3.8750,0.0325,-0.9938,-663.82,359.38,1201.17
450,-3.8750,0.0347,-0.9919,164.31,796.94,1716.80
460,-3.8750,0.0344,-0.9943,445.56,1031.31,1873.05
470,-3.8750,0.0356,-0.9941,414.31,734.44,1857.42
480,-3.8750,0.0387,-0.9930,570.56,750.06,1701.17
490,-3.8750,0.0416,-0.9928,961.18,890.69,1310.55
500,-3.8750,0.0415,-0.9941,1336.18,921.94,748.05
510,-3.8750,0.0372,-0.9934,1320.56,750.06,310.55
520,-3.8439,0.0328,-0.9897,773.68,843.81,-1.95
530,-3.8439,0.0323,-0.9868,211.18,1312.56,-345.70
540,-3.8439,0.0355,-0.9835,148.68,1687.56,-720.70
550,-3.8439,0.0422,-0.9813,554.93,-1890.56,-1517.58
560,-3.8439,0.0510,-0.9869,1414.31,-1609.31,1201.17
570,-3.8439,0.0612,-0.9991,-1460.69,1671.94,154.30
580,-3.8440,0.0724,-1.0073,-163.82,109.44,-330.08
590,-3.8440,0.0811,-1.0083,1273.68,-937.38,-689.51
600,-3.8440,0.0828,-1.0076,-1616.94,-1062.38,-1439.51
610,-3.8440,0.0730,-1.0062,-1398.19,-968.63,1029.24
620,-3.8441,0.0514,-1.0020,1351.81,-796.75,-1298.89
630,-3.8441,0.0229,-1.0027,-1413.82,-249.94,497.99
640,-3.8442,-0.0074,-1.0133,-1054.44,-343.75,-470.76
650,-3.8441,-0.0338,-1.0179,-945.07,-1687.56,169.86
660,-3.8441,-0.0497,-1.0060,-320.07,1718.63,-1830.14
670,-3.8440,-0.0542,-0.9856,1648.68,-750.12,1294.86
680,-3.8439,-0.0497,-0.9707,1070.56,1859.25,935.55
690,-3.8750,-0.0382,-0.9705,1648.68,-234.50,373.05
700,-3.8750,-0.0254,-0.9758,-882.57,-203.25,-986.33
710,-3.8749,-0.0168,-0.9747,758.06,-890.69,419.92
720,-3.8749,-0.0140,-0.9706,1851.81,-750.06,513.67
730,-3.8750,-0.0129,-0.9656,-1788.82,-218.81,-314.45
740,-3.8750,-0.0103,-0.9612,-1648.19,421.81,-1751.89
750,-3.8750,-0.0083,-0.9600,-1304.44,984.31,169.98
760,-3.8439,-0.0073,-0.9623,-1054.44,1140.56,1654.36
770,-3.8440,-0.0006,-0.9679,-929.44,843.69,-861.27
780,-3.8440,0.0149,-0.9711,-70.07,124.94,1232.48
790,-3.8440,0.0325,-0.9703,1914.31,-296.88,154.30
800,-3.8441,0.0453,-0.9724,164.31,-203.06,-626.95
810,-3.8441,0.0552,-0.9775,1804.93,-468.69,-1533.20
820,-3.8441,0.0648,-0.9801,-929.44,-1124.94,1498.05
830,-3.8441,0.0713,-0.9824,304.93,-1453.00,607.42
840,-3.8442,0.0760,-0.9857,1133.06,-1749.88,-283.20
850,-3.8442,0.0830,-0.9856,1742.43,1828.25,-1392.58
860,-3.8442,0.0917,-0.9844,-1366.94,1843.87,1169.92
870,-3.8444,0.0977,-0.9844,-257.57,-1999.88,-408.20
880,-3.8444,0.0972,-0.9873,508.06,-1999.82,-1564.45
